drug,agegroup,prescriptions,pubs,l1,l2,l3,l4,is_first,cui
Azelastine,Total,205357,79,"R, RESPIRATORY SYSTEM","R01, NASAL PREPARATIONS","R01A, DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE","R01AC, Antiallergic nasal preparations for topical use, excl. corticosteroids",0,C0771004
Azilsartan Medoxomil,0-2,0,4,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09C, ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","C09CA, Angiotensin II receptor blockers (ARBs), plain",1,C2698291
Azilsartan Medoxomil,11-17,5,4,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09C, ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","C09CA, Angiotensin II receptor blockers (ARBs), plain",1,C2698291
Azilsartan Medoxomil,3-10,0,4,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09C, ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","C09CA, Angiotensin II receptor blockers (ARBs), plain",1,C2698291
Azilsartan Medoxomil,Total,5,4,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09C, ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","C09CA, Angiotensin II receptor blockers (ARBs), plain",1,C2698291
Aztreonam,0-2,42,199,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01D, OTHER BETA-LACTAM ANTIBACTERIALS in ATC","J01DF, Monobactams",1,C0004521
Aztreonam,11-17,1544,199,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01D, OTHER BETA-LACTAM ANTIBACTERIALS in ATC","J01DF, Monobactams",1,C0004521
Aztreonam,3-10,659,199,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01D, OTHER BETA-LACTAM ANTIBACTERIALS in ATC","J01DF, Monobactams",1,C0004521
Aztreonam,Total,2245,199,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01D, OTHER BETA-LACTAM ANTIBACTERIALS in ATC","J01DF, Monobactams",1,C0004521
Bacitracin,0-2,0,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",1,
Bacitracin,0-2,0,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,
Bacitracin,0-2,0,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",0,
Bacitracin,0-2,0,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",0,
Bacitracin,0-2,2151,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,C0004599
Bacitracin,0-2,2151,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",0,C0004599
Bacitracin,0-2,2151,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",0,C0004599
Bacitracin,0-2,2151,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",0,C0004599
Bacitracin,11-17,0,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",1,C0004599
Bacitracin,11-17,0,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,C0004599
Bacitracin,11-17,0,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",0,C0004599
Bacitracin,11-17,0,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",0,C0004599
Bacitracin,11-17,2972,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",0,C0004599
Bacitracin,11-17,2972,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,C0004599
Bacitracin,11-17,2972,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",0,C0004599
Bacitracin,11-17,2972,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",0,C0004599
Bacitracin,3-10,1,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",1,C0004599
Bacitracin,3-10,1,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",0,C0004599
Bacitracin,3-10,1,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",0,C0004599
Bacitracin,3-10,1,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,C0004599
Bacitracin,3-10,3800,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",0,C0004599
Bacitracin,3-10,3800,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",0,C0004599
Bacitracin,3-10,3800,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,C0004599
Bacitracin,3-10,3800,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",0,C0004599
Bacitracin,Total,1,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",1,C0004599
Bacitracin,Total,1,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,C0004599
Bacitracin,Total,1,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",0,C0004599
Bacitracin,Total,1,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",0,C0004599
Bacitracin,Total,8923,127,"D, DERMATOLOGICALS","D06, ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","D06A, ANTIBIOTICS FOR TOPICAL USE","D06AX, Other antibiotics for topical use in ATC",0,C0004599
Bacitracin,Total,8923,127,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J01, ANTIBACTERIALS FOR SYSTEMIC USE","J01X, OTHER ANTIBACTERIALS in ATC","J01XX, Other antibacterials in ATC",0,C0004599
Bacitracin,Total,8923,127,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AB, Antibiotic throat preparations",0,C0004599
Bacitracin,Total,8923,127,"S, SENSORY ORGAN DRUGS","S01, OPHTHALMOLOGICALS","S01A, ANTIINFECTIVE OPHTHALMOLOGICS","S01AA, Antibiotics, ophthalmologic",0,C0004599
Baclofen,0-2,3308,399,"M, MUSCULO-SKELETAL SYSTEM DRUGS","M03, MUSCLE RELAXANTS","M03B, MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","M03BX, Other centrally acting agents in ATC",1,C0004609
Baclofen,11-17,49566,399,"M, MUSCULO-SKELETAL SYSTEM DRUGS","M03, MUSCLE RELAXANTS","M03B, MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","M03BX, Other centrally acting agents in ATC",1,C0004609
Baclofen,3-10,29116,399,"M, MUSCULO-SKELETAL SYSTEM DRUGS","M03, MUSCLE RELAXANTS","M03B, MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","M03BX, Other centrally acting agents in ATC",1,C0004609
Baclofen,Total,81990,399,"M, MUSCULO-SKELETAL SYSTEM DRUGS","M03, MUSCLE RELAXANTS","M03B, MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","M03BX, Other centrally acting agents in ATC",1,C0004609
Baloxavir Marboxil,0-2,5,32,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AX, Other antivirals in ATC",1,C4688747
Baloxavir Marboxil,11-17,10916,32,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AX, Other antivirals in ATC",1,C4688747
Baloxavir Marboxil,3-10,1486,32,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AX, Other antivirals in ATC",1,C4688747
Baloxavir Marboxil,Total,12407,32,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AX, Other antivirals in ATC",1,C4688747
Balsalazide,0-2,44,4,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07E, INTESTINAL ANTIINFLAMMATORY AGENTS","A07EC, Aminosalicylic acid and similar agents",1,C0595398
Balsalazide,11-17,4446,4,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07E, INTESTINAL ANTIINFLAMMATORY AGENTS","A07EC, Aminosalicylic acid and similar agents",1,C0595398
Balsalazide,3-10,1371,4,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07E, INTESTINAL ANTIINFLAMMATORY AGENTS","A07EC, Aminosalicylic acid and similar agents",1,C0595398
Balsalazide,Total,5861,4,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A07, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS","A07E, INTESTINAL ANTIINFLAMMATORY AGENTS","A07EC, Aminosalicylic acid and similar agents",1,C0595398
Baricitinib,0-2,15,27,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AF, Janus-associated kinase (JAK) inhibitors (L04AF)",1,C4044947
Baricitinib,11-17,266,27,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AF, Janus-associated kinase (JAK) inhibitors (L04AF)",1,C4044947
Baricitinib,3-10,76,27,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AF, Janus-associated kinase (JAK) inhibitors (L04AF)",1,C4044947
Baricitinib,Total,357,27,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AF, Janus-associated kinase (JAK) inhibitors (L04AF)",1,C4044947
Becaplermin,0-2,36,64,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A01, STOMATOLOGICAL PREPARATIONS","A01A, STOMATOLOGICAL PREPARATIONS","A01AD, Other agents for local oral treatment in ATC",1,C0379135
Becaplermin,0-2,36,64,"D, DERMATOLOGICALS","D03, PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS","D03A, CICATRIZANTS","D03AX, Other cicatrizants in ATC",0,C0379135
Becaplermin,11-17,19,64,"D, DERMATOLOGICALS","D03, PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS","D03A, CICATRIZANTS","D03AX, Other cicatrizants in ATC",1,C0379135
Becaplermin,11-17,19,64,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A01, STOMATOLOGICAL PREPARATIONS","A01A, STOMATOLOGICAL PREPARATIONS","A01AD, Other agents for local oral treatment in ATC",0,C0379135
Becaplermin,3-10,11,64,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A01, STOMATOLOGICAL PREPARATIONS","A01A, STOMATOLOGICAL PREPARATIONS","A01AD, Other agents for local oral treatment in ATC",1,C0379135
Becaplermin,3-10,11,64,"D, DERMATOLOGICALS","D03, PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS","D03A, CICATRIZANTS","D03AX, Other cicatrizants in ATC",0,C0379135
Becaplermin,Total,66,64,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A01, STOMATOLOGICAL PREPARATIONS","A01A, STOMATOLOGICAL PREPARATIONS","A01AD, Other agents for local oral treatment in ATC",1,C0379135
Becaplermin,Total,66,64,"D, DERMATOLOGICALS","D03, PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS","D03A, CICATRIZANTS","D03AX, Other cicatrizants in ATC",0,C0379135
Bedaquiline,0-2,0,33,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J04, ANTIMYCOBACTERIALS","J04A, DRUGS FOR TREATMENT OF TUBERCULOSIS","J04AK, Other drugs for treatment of tuberculosis in ATC",1,C3530515
Bedaquiline,11-17,19,33,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J04, ANTIMYCOBACTERIALS","J04A, DRUGS FOR TREATMENT OF TUBERCULOSIS","J04AK, Other drugs for treatment of tuberculosis in ATC",1,C3530515
Bedaquiline,3-10,0,33,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J04, ANTIMYCOBACTERIALS","J04A, DRUGS FOR TREATMENT OF TUBERCULOSIS","J04AK, Other drugs for treatment of tuberculosis in ATC",1,C3530515
Bedaquiline,Total,19,33,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J04, ANTIMYCOBACTERIALS","J04A, DRUGS FOR TREATMENT OF TUBERCULOSIS","J04AK, Other drugs for treatment of tuberculosis in ATC",1,C3530515
Belimumab,0-2,0,31,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AG, Monoclonal antibodies",1,C1723401
Belimumab,11-17,356,31,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AG, Monoclonal antibodies",1,C1723401
Belimumab,3-10,2,31,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AG, Monoclonal antibodies",1,C1723401
Belimumab,Total,358,31,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AG, Monoclonal antibodies",1,C1723401
Belumosudil,0-2,0,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C5418179
Belumosudil,11-17,24,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C5418179
Belumosudil,3-10,10,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C5418179
Belumosudil,Total,34,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C5418179
Belzutifan,0-2,0,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01X, OTHER ANTINEOPLASTIC AGENTS in ATC","L01XX, Other antineoplastic agents in ATC",1,C5418188
Belzutifan,11-17,33,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01X, OTHER ANTINEOPLASTIC AGENTS in ATC","L01XX, Other antineoplastic agents in ATC",1,C5418188
Belzutifan,3-10,0,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01X, OTHER ANTINEOPLASTIC AGENTS in ATC","L01XX, Other antineoplastic agents in ATC",1,C5418188
Belzutifan,Total,33,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01X, OTHER ANTINEOPLASTIC AGENTS in ATC","L01XX, Other antineoplastic agents in ATC",1,C5418188
Benazepril,0-2,19,9,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09A, ACE INHIBITORS, PLAIN","C09AA, ACE inhibitors, plain",1,C0770917
Benazepril,11-17,469,9,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09A, ACE INHIBITORS, PLAIN","C09AA, ACE inhibitors, plain",1,C0770917
Benazepril,3-10,8,9,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09A, ACE INHIBITORS, PLAIN","C09AA, ACE inhibitors, plain",1,C0770917
Benazepril,Total,496,9,"C, CARDIOVASCULAR SYSTEM DRUGS","C09, AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","C09A, ACE INHIBITORS, PLAIN","C09AA, ACE inhibitors, plain",1,C0770917
Benralizumab,0-2,0,24,"R, RESPIRATORY SYSTEM","R03, DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","R03D, OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC","R03DX, Other systemic drugs for obstructive airway diseases in ATC",1,C2982078
Benralizumab,11-17,802,24,"R, RESPIRATORY SYSTEM","R03, DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","R03D, OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC","R03DX, Other systemic drugs for obstructive airway diseases in ATC",1,C2982078
Benralizumab,3-10,0,24,"R, RESPIRATORY SYSTEM","R03, DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","R03D, OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC","R03DX, Other systemic drugs for obstructive airway diseases in ATC",1,C2982078
Benralizumab,Total,802,24,"R, RESPIRATORY SYSTEM","R03, DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","R03D, OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC","R03DX, Other systemic drugs for obstructive airway diseases in ATC",1,C2982078
Benznidazole,0-2,0,105,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P01, ANTIPROTOZOALS","P01C, AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS","P01CA, Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",1,C0053230
Benznidazole,11-17,2,105,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P01, ANTIPROTOZOALS","P01C, AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS","P01CA, Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",1,C0053230
Benznidazole,3-10,0,105,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P01, ANTIPROTOZOALS","P01C, AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS","P01CA, Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",1,C0053230
Benznidazole,Total,2,105,"P, ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P01, ANTIPROTOZOALS","P01C, AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS","P01CA, Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",1,C0053230
Benzocaine,0-2,18,83,"D, DERMATOLOGICALS","D04, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04A, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04AB, Anesthetics for topical use",1,C0005059
Benzocaine,0-2,18,83,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AD, local anesthetic throat preparations",0,C0005059
Benzocaine,0-2,18,83,"N, NERVOUS SYSTEM DRUGS","N01, ANESTHETICS","N01B, ANESTHETICS, LOCAL","N01BA, Esters of aminobenzoic acid for local anesthesia",0,C0005059
Benzocaine,0-2,18,83,"C, CARDIOVASCULAR SYSTEM DRUGS","C05, VASOPROTECTIVES","C05A, AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","C05AD, Local anesthetics for treatment of hemorrhoids and anal fissures for topical use",0,C0005059
Benzocaine,11-17,19,83,"D, DERMATOLOGICALS","D04, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04A, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04AB, Anesthetics for topical use",1,C0005059
Benzocaine,11-17,19,83,"C, CARDIOVASCULAR SYSTEM DRUGS","C05, VASOPROTECTIVES","C05A, AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","C05AD, Local anesthetics for treatment of hemorrhoids and anal fissures for topical use",0,C0005059
Benzocaine,11-17,19,83,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AD, local anesthetic throat preparations",0,C0005059
Benzocaine,11-17,19,83,"N, NERVOUS SYSTEM DRUGS","N01, ANESTHETICS","N01B, ANESTHETICS, LOCAL","N01BA, Esters of aminobenzoic acid for local anesthesia",0,C0005059
Benzocaine,3-10,23,83,"C, CARDIOVASCULAR SYSTEM DRUGS","C05, VASOPROTECTIVES","C05A, AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","C05AD, Local anesthetics for treatment of hemorrhoids and anal fissures for topical use",1,C0005059
Benzocaine,3-10,23,83,"D, DERMATOLOGICALS","D04, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04A, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04AB, Anesthetics for topical use",0,C0005059
Benzocaine,3-10,23,83,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AD, local anesthetic throat preparations",0,C0005059
Benzocaine,3-10,23,83,"N, NERVOUS SYSTEM DRUGS","N01, ANESTHETICS","N01B, ANESTHETICS, LOCAL","N01BA, Esters of aminobenzoic acid for local anesthesia",0,C0005059
Benzocaine,Total,60,83,"D, DERMATOLOGICALS","D04, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04A, ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04AB, Anesthetics for topical use",1,C0005059
Benzocaine,Total,60,83,"N, NERVOUS SYSTEM DRUGS","N01, ANESTHETICS","N01B, ANESTHETICS, LOCAL","N01BA, Esters of aminobenzoic acid for local anesthesia",0,C0005059
Benzocaine,Total,60,83,"C, CARDIOVASCULAR SYSTEM DRUGS","C05, VASOPROTECTIVES","C05A, AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","C05AD, Local anesthetics for treatment of hemorrhoids and anal fissures for topical use",0,C0005059
Benzocaine,Total,60,83,"R, RESPIRATORY SYSTEM","R02, THROAT PREPARATIONS","R02A, THROAT PREPARATIONS","R02AD, local anesthetic throat preparations",0,C0005059
Benzonatate,0-2,78,9,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05D, COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS","R05DB, Other cough suppressants in ATC",1,C0053229
Benzonatate,11-17,259056,9,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05D, COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS","R05DB, Other cough suppressants in ATC",1,C0053229
Benzonatate,3-10,16841,9,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05D, COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS","R05DB, Other cough suppressants in ATC",1,C0053229
Benzonatate,Total,275975,9,"R, RESPIRATORY SYSTEM","R05, COUGH AND COLD PREPARATIONS","R05D, COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS","R05DB, Other cough suppressants in ATC",1,C0053229
