Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
pneumococcal conjugate vaccine,pneumococcal conjugate vaccine,pneumococcal conjugate vaccine,,,
pneumococcal vaccine polyvalent nos,pneumococcal vaccine polyvalent nos,pneumococcal vaccine polyvalent nos,,,
polaramin,polaramin,polaramin,C1110621,Polaramine,BN
polaramine,polaramine,polaramine,C1110621,Polaramine,BN
polatuzumab vedotin,polatuzumab vedotin,polatuzumab vedotin,C4078806,polatuzumab vedotin,IN
poliomyelitis vaccine nos,poliomyelitis vaccine nos,poliomyelitis vaccine nos,,,
poly b sulfatetrimethoprim,poly b sulfatetrimethoprim,poly b sulfatetrimethoprim,C0041041,trimethoprim,IN
polydexa,polydexa,polydexa,,,
polyethylene glycol,polyethylene glycol,polyethylene glycol,C0032483,polyethylene glycols,IN
polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,C0724672,polyethylene glycol 3350,IN
polyethylene glycol 3350 nf powder for solution laxative,polyethylene glycol 3350 nf powder for laxative,polyethylene glycol 3350 nf powder for laxative,C0015075,ethylene,IN
polyethylene glycol 400,polyethylene glycol 400,polyethylene glycol 400,C0032478,polyethylene glycol 400,IN
polyethylene glycol 4000,polyethylene glycol 4000,polyethylene glycol 4000,C0032479,polyethylene glycol 4000,IN
polyethylene glycols,polyethylene glycols,polyethylene glycols,C0032483,polyethylene glycols,IN
polyglobin,polyglobin,polyglobin,,,
polymixinb,polymixinb,polymixinb,,,
polymyxin b,polymyxin b,polymyxin b,C0032535,polymyxin B,IN
polymyxin b manufacturer unknown,polymyxin b manufacturer unknown,polymyxin b manufacturer unknown,C0032535,polymyxin B,IN
polymyxin band trimethoprim,polymyxin band trimethoprim,polymyxin band trimethoprim,C0722704,polymyxin B / trimethoprim,MIN
polymyxintrimethoprim unk,polymyxintrimethoprim unk,polymyxintrimethoprim unk,C0041041,trimethoprim,IN
polyvinyl alcohol,polyvinyl alcohol,polyvinyl alcohol,C0032623,polyvinyl alcohol,IN
polyvitamin with iron,polyvitamin with iron,polyvitamin with iron,C0302583,iron,IN
pomalyst,pomalyst,pomalyst,C3535787,Pomalyst,BN
ponatinib,ponatinib,ponatinib,C2987417,ponatinib,IN
poractant alfa,poractant alfa,poractant alfa,C0771648,poractant alfa,IN
posaconazol,posaconazol,posaconazol,C0936148,posaconazole,IN
posaconazole,posaconazole,posaconazole,C0936148,posaconazole,IN
potassium acetate,potassium acetate,,C0137984,potassium acetate,IN
potassium bromide,potassium bromide,,C0071754,potassium bromide,IN
potassium chloride,potassium chloride,chloride,C0032825,potassium chloride,IN
potassium chloride manufacturer unknown,potassium chloride manufacturer unknown,chloride manufacturer unknown,C0006686,calcium chloride,IN
potassium citrate,potassium citrate,citrate,C0137996,potassium citrate,IN
potassium gluconate,potassium gluconate,gluconate,C0301527,potassium gluconate,IN
potassium permanganate tablets,potassium permanganate,permanganate,C0032838,potassium permanganate,IN
potassium phosphate,potassium phosphate,,C0071778,potassium phosphate,IN
potassium phosphate 136 manufacturer unknown,potassium phosphate 136 manufacturer unknown,136 manufacturer unknown,C0032821,potassium,IN
potassium phosphate dibasic,potassium phosphate dibasic,dibasic,C0138037,dibasic potassium phosphate,IN
potassium phosphate monobasic,potassium phosphate monobasic,monobasic,C0138038,monobasic potassium phosphate,PIN
pradaxa,pradaxa,pradaxa,C2940579,Pradaxa,BN
pradaxar,pradaxar,pradaxar,C2940579,Pradaxa,BN
pralidoxime,pralidoxime,pralidoxime,C0071808,pralidoxime,IN
praluent,praluent,praluent,C4046859,Praluent,BN
pramipexole,pramipexole,pramipexole,C0074710,pramipexole,IN
prazepam,prazepam,prazepam,C0032910,prazepam,IN
prazosin,prazosin,prazosin,C0032912,prazosin,IN
pre trial therapy,pre trial therapy,pre trial therapy,,,
precedex,precedex,precedex,C0876757,Precedex,BN
pred forte,pred forte,pred forte,C0699633,Pred Forte,BN
prednefrin forte,prednefrin forte,prednefrin forte,,,
prednicarbate,prednicarbate,prednicarbate,C0071836,prednicarbate,IN
prednisolon,prednisolon,prednisolon,C0032950,prednisolone,IN
prednisolon 00016201,prednisolon 00016201,prednisolon 00016201,C0722742,Prednisol,BN
prednisolon sandoz,prednisolon sandoz,prednisolon sandoz,C0722742,Prednisol,BN
prednisolon prednisone,prednisolon prednisone,prednisolon prednisone,C0722742,Prednisol,BN
prednisolona,prednisolona,prednisolona,C0032950,prednisolone,IN
prednisolone,prednisolone,prednisolone,C0032950,prednisolone,IN
prednisolone prednisolone prednisolone,prednisolone prednisolone prednisolone,prednisolone prednisolone prednisolone,C2938847,{21 (prednisolone 5 MG Oral Tablet) } Pack,GPCK
prednisolone mylan 20 mg comprim orodispersible,prednisolone mylan 20 mg comprim orodispersible,prednisolone mylan 20 mg comprim orodispersible,C0722742,Prednisol,BN
prednisolone ratiopharm,prednisolone ratiopharm,prednisolone ratiopharm,C0722742,Prednisol,BN
prednisolone sodium metazoate,prednisolone sodium metazoate,prednisolone metazoate,C0722742,Prednisol,BN
prednisolone sodium phosphate,prednisolone sodium phosphate,prednisolone,C0138273,prednisolone sodium phosphate,PIN
prednisolone steaglate,prednisolone steaglate,prednisolone steaglate,C0722742,Prednisol,BN
prednison,prednison,prednison,C0032952,prednisone,IN
prednisona,prednisona,prednisona,C0032952,prednisone,IN
prednisone,prednisone,prednisone,C0032952,prednisone,IN
prednisone prednisone,prednisone prednisone,prednisone prednisone,C2343329,{12 (prednisone 5 MG Oral Tablet) } Pack,GPCK
prednisone acetate,prednisone acetate,prednisone,C0071839,prednisolone acetate,PIN
prednisone sandoz,prednisone sandoz,prednisone sandoz,C0032952,prednisone,IN
prednisone tablets,prednisone,prednisone,C0032952,prednisone,IN
prednitop prednicarbate,prednitop prednicarbate,prednitop prednicarbate,C0876742,Icar,BN
predonine,predonine,predonine,,,
predonine prednisolone sodium succinate,predonine prednisolone sodium succinate,predonine prednisolone,C0138274,prednisolone sodium succinate,PIN
pregabalin,pregabalin,pregabalin,C0657912,pregabalin,IN
pregabaline capsule 150mg brand name not specified,pregabaline 150mg brand name not specified,pregabaline 150mg brand name not specified,C0657912,pregabalin,IN
premasol sulfitefree amino acid,premasol sulfitefree amino acid,premasol sulfitefree amino acid,C1655356,PremaSol,BN
prenatal vitamin,prenatal vitamin,prenatal vitamin,C1657061,"Prenatal Rx 1, Prenatal Vitamin with Minerals and Folic Acid greater than 0.8 MG Oral Tablet",SY
prenatal vitamins,prenatal vitamins,prenatal vitamins,,,
prenatal vitamins 02014401,prenatal vitamins 02014401,prenatal vitamins 02014401,,,
prenatal vitamins 07499601,prenatal vitamins 07499601,prenatal vitamins 07499601,,,
presinol,presinol,presinol,C2370068,Resinol,BN
pretomanid,pretomanid,pretomanid,C4310440,pretomanid,IN
prevacid,prevacid,prevacid,C0286036,Prevacid,BN
prevacid solutab,prevacid solutab,prevacid solutab,C0286036,Prevacid,BN
prevenar,prevenar,prevenar,C0876134,Prevnar,BN
prevnar,prevnar,prevnar,C0876134,Prevnar,BN
prevnar 13,prevnar 13,prevnar 13,C2756364,Prevnar 13,BN
prevnar 20,prevnar 20,prevnar 20,C5550571,Prevnar 20,BN
prevymis,prevymis,prevymis,C4530613,Prevymis,BN
prezcobix,prezcobix,prezcobix,C3883381,Prezcobix,BN
prezista,prezista,prezista,C1721345,Prezista,BN
prezistanaive,prezistanaive,prezistanaive,C1721345,Prezista,BN
priadel 00033702,priadel 00033702,priadel 00033702,,,
prialt,prialt,prialt,C1530575,Prialt,BN
prilocaine,prilocaine,prilocaine,C0033124,prilocaine,IN
prilosec,prilosec,prilosec,C0700777,Prilosec,BN
prim ne 10,prim ne 10,prim ne 10,,,
primalan,primalan,primalan,,,
primaxin iv,primaxin iv,primaxin iv,C0733696,Primaxin,BN
primene,primene,primene,,,
primene 10 solution injectable pour perfusion,primene 10 injectable pour perfusion,primene 10 injectable pour perfusion,C0991511,Injectable Solution,DF
primidone,primidone,primidone,C0033148,primidone,IN
primperan,primperan,primperan,C0242395,Primperan,BN
prinivil,prinivil,prinivil,C0701176,Prinivil,BN
priorix,priorix,priorix,C0732248,Priorix,BN
priorix tetra,priorix tetra,priorix tetra,C0732248,Priorix,BN
pristiq extended release,pristiq extended release,pristiq extended release,C4018223,Pristiq 25 MG Extended Release Oral Tablet,SY
pristiq extendedrelease,pristiq extendedrelease,pristiq extendedrelease,C1871864,Pristiq,BN
privigen,privigen,privigen,C2342400,Privigen,BN
proair hfa,proair hfa,proair hfa,C3536832,air,IN
proair respiclick,proair respiclick,proair respiclick,C3536832,air,IN
probenecid,probenecid,probenecid,C0033209,probenecid,IN
probucol,probucol,probucol,C0033215,probucol,IN
procainamide,procainamide,procainamide,C0033216,procainamide,IN
procaine benzylpenicillin,procaine benzylpenicillin,procaine benzylpenicillin,C0053286,benzyl acetate,PIN
procarbazine,procarbazine,procarbazine,C0033223,procarbazine,IN
procaterol hydrochloride,procaterol hydrochloride,procaterol,C0162685,procaterol hydrochloride,PIN
procoralan,procoralan,procoralan,C0991533,Oral Capsule,DF
procrit,procrit,procrit,C0733467,Procrit,BN
procyclidine,procyclidine,procyclidine,C0033254,procyclidine,IN
procysbi,procysbi,procysbi,C3643643,Procysbi,BN
procysbi delayedrelease,procysbi delayedrelease,procysbi delayedrelease,C3643643,Procysbi,BN
procytox,procytox,procytox,,,
procytox cyclophosphamide 2000mgvial,procytox cyclophosphamide 2000mgvial,procytox cyclophosphamide 2000mgvial,C0010583,cyclophosphamide,IN
procytox 2000mgvial,procytox 2000mgvial,procytox 2000mgvial,,,
prodilantin,prodilantin,prodilantin,C0040238,tin,IN
progestan,progestan,progestan,,,
progesterone,progesterone,progesterone,C0033308,progesterone,IN
proglycem,proglycem,proglycem,C0699325,Proglycem,BN
proglycem 50 mgml,proglycem 50 mgml,proglycem 50 mgml,C1367495,calcium phosphate 50 MG,SCDC
prograf,prograf,prograf,C0678125,Prograf,BN
prograf tacrolimus,prograf tacrolimus,prograf tacrolimus,C4719422,tacrolimus 0.2 MG [Prograf],SBDC
prohippur,prohippur,prohippur,,,
proleukin,proleukin,proleukin,C0701339,Proleukin,BN
prolia,prolia,prolia,C2917754,Prolia,BN
promacta,promacta,promacta,C2369319,Promacta,BN
promethazine,promethazine,promethazine,C0033405,promethazine,IN
promethazine hcl,promethazine hcl,promethazine,C0033405,promethazine,IN
promethazine hydrochloride,promethazine hydrochloride,promethazine,C0546876,promethazine hydrochloride,PIN
propafenone,propafenone,propafenone,C0033429,propafenone,IN
propanolol hydrochloride,propanolol hydrochloride,propanolol,C0282321,propranolol hydrochloride,PIN
propess,propess,propess,,,
propess dinoprostone vaginal delivery system,propess dinoprostone vaginal delivery system,propess dinoprostone vaginal delivery system,C0012471,dinoprost,IN
propofol,propofol,propofol,C0033487,propofol,IN
propofol manufacturer unknown propofol propofol,propofol manufacturer unknown propofol propofol,propofol manufacturer unknown propofol propofol,C0033487,propofol,IN
propofol manufacturer unknown,propofol manufacturer unknown,propofol manufacturer unknown,C0033487,propofol,IN
propofol lipuro,propofol lipuro,propofol lipuro,C0033487,propofol,IN
propofol norameda,propofol norameda,propofol norameda,C0721623,Meda Cap,BN
propoxyphene,propoxyphene,propoxyphene,C0033493,propoxyphene,IN
propranolol,propranolol,propranolol,C0033497,propranolol,IN
propranolol propranolol,propranolol propranolol,propranolol propranolol,C0774580,1 ML propranolol hydrochloride 1 MG/ML Injection,SCD
propranolol hydrochloride,propranolol hydrochloride,propranolol,C0282321,propranolol hydrochloride,PIN
propranolol hydrochloride manufacturer unknown propranolol hydrochloride,propranolol hydrochloride manufacturer unknown propranolol hydrochloride,propranolol manufacturer unknown propranolol,C0033497,propranolol,IN
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,propranolol propranolol propranolol,C1591303,24 HR HCTZ 50 MG / Propranolol Hydrochloride 120 MG Extended Release Oral Capsule,SY
propranolol hydrochloride manufacturer unknown,propranolol hydrochloride manufacturer unknown,propranolol manufacturer unknown,C0006686,calcium chloride,IN
propranolol hydrochloride ir,propranolol hydrochloride,propranolol,C0282321,propranolol hydrochloride,PIN
propranolol hydrochloride tablets usp,propranolol hydrochloride usp,propranolol usp,C0282321,propranolol hydrochloride,PIN
propranolol oral solution,propranolol oral,propranolol oral,C1247721,propranolol Oral Solution,SCDF
propylthiouracil,propylthiouracil,propylthiouracil,C0033511,propylthiouracil,IN
proquad,proquad,proquad,C1656276,ProQuad,BN
prostaglandin e1,prostaglandin e1,prostaglandin e1,,,
prostavasin,prostavasin,prostavasin,,,
prostin,prostin,prostin,C0699579,Prostin E2,BN
protamine,protamine,protamine,C0033603,protamine,SY
protamine sulfate injection usp,protamine sulfate usp,protamine usp,C0033602,protamine sulfate (USP),IN
protaphane,protaphane,protaphane,,,
prothipendyl hydrochloride,prothipendyl hydrochloride,prothipendyl,C0772014,prothipendyl hydrochloride,PIN
prothrombin,prothrombin,prothrombin,C0033706,prothrombin,IN
prothrombin complex concentrate nos,prothrombin complex concentrate nos,prothrombin complex concentrate nos,C0033706,prothrombin,IN
protopic,protopic,protopic,C0939455,Protopic,BN
protropin,protropin,protropin,C0699978,Protropin,BN
proventil,proventil,proventil,C0699770,Proventil,BN
provigil,provigil,provigil,C0722882,Provigil,BN
prozac,prozac,prozac,C0162373,Prozac,BN
prozac weekly,prozac weekly,prozac weekly,C0162373,PROzac,TMSY
prucalopride,prucalopride,prucalopride,C0913506,prucalopride,IN
pulmicort,pulmicort,pulmicort,C0678162,Pulmicort,BN
pulmicort flexhaler,pulmicort flexhaler,pulmicort flexhaler,C0678162,Pulmicort,BN
pulmicort repules,pulmicort repules,pulmicort repules,C0678162,Pulmicort,BN
pulmicort respules,pulmicort respules,pulmicort respules,C0678162,Pulmicort,BN
pulmicort turbuhaler,pulmicort turbuhaler,pulmicort turbuhaler,C0678162,Pulmicort,BN
pulmozyme,pulmozyme,pulmozyme,C0251564,Pulmozyme,BN
purinethol,purinethol,purinethol,C0722911,Purinethol,BN
purixan,purixan,purixan,C3819063,Purixan,BN
pylera,pylera,pylera,C1948530,Pylera,BN
pyrazinamide,pyrazinamide,pyrazinamide,C0034239,pyrazinamide,IN
pyridostigmine,pyridostigmine,pyridostigmine,C0034261,pyridostigmine,IN
pyridoxal 5phosphate,pyridoxal 5phosphate,pyridoxal 5phosphate,C0034266,pyridoxal phosphate,PIN
pyridoxal phosphate,pyridoxal phosphate,pyridoxal,C0034266,pyridoxal phosphate,PIN
pyridoxal phosphate anhydrous,pyridoxal phosphate anhydrous,pyridoxal anhydrous,C3872000,pyridoxal phosphate anhydrous,PIN
pyridoxal phosphatepyridoxal phosphate calcium,pyridoxal phosphatepyridoxal phosphate calcium,pyridoxal phosphatepyridoxal,C0006675,calcium,IN
pyridoxine,pyridoxine,pyridoxine,C0034272,pyridoxine,IN
pyridoxine hydrochloride,pyridoxine hydrochloride,pyridoxine,C0700496,pyridoxine hydrochloride,PIN
pyridoxine phosphate,pyridoxine phosphate,pyridoxine,C0034272,pyridoxine,IN
pyrimethamine,pyrimethamine,pyrimethamine,C0034283,pyrimethamine,IN
paclitaxel accord,paclitaxel accord,paclitaxel accord,C0144576,paclitaxel,IN
palladon retard,palladon retard,palladon retard,,,
pamidronate disodium injection 074501,pamidronate disodium 074501,pamidronate disodium 074501,C0356588,pamidronate disodium,PIN
paracetamol unknown,paracetamol unknown,paracetamol unknown,C0718194,Aceta,BN
paracetamol powder for oral solution,paracetamol powder for oral,paracetamol powder for oral,C0718194,Aceta,BN
paracetamol tablet,paracetamol,paracetamol,C0718194,Aceta,BN
paracetamol oral solution,paracetamol oral,paracetamol oral,C0718194,Aceta,BN
paracetamolo,paracetamolo,paracetamolo,C0718194,Aceta,BN
paroxetine hcl,paroxetine hcl,paroxetine,C0070122,paroxetine,IN
paroxetine hydrochloride unknown,paroxetine hydrochloride unknown,paroxetine unknown,C0771019,paroxetine hydrochloride,PIN
paroxetine hydrochloride hydrate,paroxetine hydrochloride hydrate,paroxetine hydrate,C0771019,paroxetine hydrochloride,PIN
pegylated liposomal irinotecan,pegylated liposomal irinotecan,pegylated liposomal irinotecan,C0123931,irinotecan,IN
pentasa xtend,pentasa xtend,pentasa xtend,C0678171,Pentasa,BN
pharmorubicin,pharmorubicin,pharmorubicin,,,
piperacillintazobactam injection,piperacillintazobactam,piperacillintazobactam,C0250480,piperacillin / tazobactam,MIN
plerixafor,plerixafor,plerixafor,C1955474,plerixafor,IN
podomexef,podomexef,podomexef,,,
polymyxin b for injection usp,polymyxin b for usp,polymyxin b for usp,C0032535,polymyxin B,IN
potassium,potassium,,C0032821,potassium,IN
potassium chloride 10,potassium chloride 10,chloride 10,C0032825,potassium chloride,IN
prednisolone tablets 1hoei,prednisolone 1hoei,prednisolone 1hoei,C0722742,Prednisol,BN
prednisone unknown,prednisone unknown,prednisone unknown,C0032952,prednisone,IN
premasol 6,premasol 6,premasol 6,C1655356,PremaSol,BN
prilocaine and lidocaine,prilocaine and lidocaine,prilocaine and lidocaine,C0617623,lidocaine / prilocaine,MIN
prolutex 25 mg injektionslosung,prolutex 25 mg injektionslosung,prolutex 25 mg injektionslosung,,,
propofol injectable emulsion,propofol injectable emulsion,propofol injectable emulsion,C1251712,propofol Injectable Suspension,SCDF
propranolol watson laboratories,propranolol watson laboratories,propranolol watson laboratories,C0033497,propranolol,IN
propylthiouracil unknown,propylthiouracil unknown,propylthiouracil unknown,C0072214,propyl acetate,IN
prostine e2,prostine e2,prostine e2,C0699579,Prostin E2,BN
prostine vr,prostine vr,prostine vr,C0592016,Prostin VR,BN
protaphane flexpen,protaphane flexpen,protaphane flexpen,,,
prothionamide,prothionamide,prothionamide,C0033705,prothionamide,IN
qarziba,qarziba,qarziba,,,
qbrexza,qbrexza,qbrexza,C4719661,Qbrexza,BN
qelbree,qelbree,qelbree,C5449042,Qelbree,BN
qi hong,qi hong,qi hong,,,
qixian,qixian,qixian,,,
qsymia,qsymia,qsymia,C3497630,Qsymia,BN
qti571,qti571,qti571,,,
quazepam,quazepam,quazepam,C0072828,quazepam,IN
quensyl,quensyl,quensyl,,,
questran,questran,questran,C0699311,Questran,BN
quetiapin retard,quetiapin retard,quetiapin retard,,,
quetiapin retard sandoz,quetiapin retard sandoz,quetiapin retard sandoz,,,
quetiapin hexal,quetiapin hexal,quetiapin hexal,,,
quetiapina 1136a,quetiapina 1136a,quetiapina 1136a,,,
quetiapine,quetiapine,quetiapine,C0123091,quetiapine,IN
quetiapine unknown,quetiapine unknown,quetiapine unknown,C0123091,quetiapine,IN
quetiapine aurobindo,quetiapine aurobindo,quetiapine aurobindo,C0123091,quetiapine,IN
quetiapine fumarate,quetiapine fumarate,quetiapine,C0724680,quetiapine fumarate,PIN
quetiapine ir,quetiapine,quetiapine,C0123091,quetiapine,IN
quetiapine tablet fo 25mg brand name not specified,quetiapine fo 25mg brand name not specified,quetiapine fo 25mg brand name not specified,C0123091,quetiapine,IN
quetiapine xr,quetiapine,quetiapine,C0123091,quetiapine,IN
quetiapine teva,quetiapine teva,quetiapine teva,C0123091,quetiapine,IN
quetiapinequetiapine fumarate,quetiapinequetiapine fumarate,quetiapinequetiapine,C0220833,fumarate,IN
quillichew er,quillichew,quillichew,C4060048,QuilliChew,BN
quilonorm 00033702,quilonorm 00033702,quilonorm 00033702,,,
quilonum,quilonum,quilonum,,,
quilonum lithium carbonate,quilonum lithium carbonate,quilonum lithium carbonate,C0006681,calcium carbonate,IN
quilonum retard,quilonum retard,quilonum retard,,,
quinidine,quinidine,quinidine,C0034414,quinidine,IN
quinine,quinine,quinine,C0034417,quinine,IN
qvar,qvar,qvar,C0731268,Qvar,BN
qvar efa,qvar efa,qvar efa,C0731268,Qvar,BN
qvar redihaler,qvar redihaler,qvar redihaler,C0731268,Qvar,BN
qlaira filmtabletten,qlaira filmtabletten,qlaira filmtabletten,C3536832,air,IN
quetiapin aurobindo,quetiapin aurobindo,quetiapin aurobindo,,,
quetiapin ret,quetiapin ret,quetiapin ret,,,
quetiapine 100mg,quetiapine 100mg,quetiapine 100mg,C1145937,QUEtiapine 100 MG,TMSY
quetiapine 25mg,quetiapine 25mg,quetiapine 25mg,C1145939,QUEtiapine 25 MG,TMSY
quetiapine 300mg,quetiapine 300mg,quetiapine 300mg,C1127525,QUEtiapine 300 MG,TMSY
quetiapine fumarate 50 mg 100 mg 200 mg 300 mg and 400 mg,quetiapine fumarate 50 mg 100 mg 200 mg 300 mg and 400 mg,quetiapine 50 mg 100 mg 200 mg 300 mg and 400 mg,C0220833,fumarate,IN
quetiapine fumarate extended release,quetiapine fumarate extended release,quetiapine extended release,C2731595,QUEtiapine fumarate 150 MG 24HR Extended Release Oral Tablet,PSN
quillivant xr,quillivant,quillivant,C3499671,Quillivant,BN
rgene,rgene,rgene,,,
rabeprazole,rabeprazole,rabeprazole,C0378482,rabeprazole,IN
rabies vaccine nos,rabies vaccine nos,rabies vaccine nos,,,
racepinefrine hydrochloride,racepinefrine hydrochloride,racepinefrine,C0982139,racepinephrine hydrochloride,PIN
racepinephrine,racepinephrine,racepinephrine,C0205758,racepinephrine,IN
rad001o,rad001o,rad001o,,,
radiotherapy,radiotherapy,radiotherapy,,,
raltegravir,raltegravir,raltegravir,C1871526,raltegravir,IN
raltegravir potassium,raltegravir potassium,raltegravir,C1966407,raltegravir potassium,PIN
ramipril,ramipril,ramipril,C0072973,ramipril,IN
ramipril ramipril,ramipril ramipril,ramipril ramipril,C1276887,felodipine / ramipril,MIN
ranibizumab,ranibizumab,ranibizumab,C1566537,ranibizumab,IN
ranitidina 2a,ranitidina 2a,ranitidina 2a,,,
ranitidine,ranitidine,ranitidine,C0034665,ranitidine,IN
ranitidine ranitidine unknown,ranitidine ranitidine unknown,ranitidine ranitidine unknown,C0034665,ranitidine,IN
ranitidine 15mgml hitech,ranitidine 15mgml hitech,ranitidine 15mgml hitech,C0034665,ranitidine,IN
ranitidine hydrochloride,ranitidine hydrochloride,ranitidine,C0700466,ranitidine hydrochloride,PIN
rapamune,rapamune,rapamune,C0813828,Rapamune,BN
rapifen alfentanil hydrochloride,rapifen alfentanil hydrochloride,rapifen alfentanil,C0700562,alfentanil hydrochloride,PIN
rapifen ibuprofen,rapifen ibuprofen,rapifen ibuprofen,C0721022,Ibu,BN
rapivab,rapivab,rapivab,C3872103,Rapivab,BN
rasagiline,rasagiline,rasagiline,C0525678,rasagiline,IN
ratg,ratg,ratg,,,
ravicti,ravicti,ravicti,C3535796,Ravicti,BN
ravicti glycerol phenylbutyrate oral liquid,ravicti glycerol phenylbutyrate oral liquid,ravicti glycerol phenylbutyrate oral liquid,C4741732,glycerol phenylbutyrate Oral Solution [Ravicti],SBDF
rebetol,rebetol,rebetol,C1170576,Rebetol,BN
rebif,rebif,rebif,C0752980,Rebif,BN
rebinyn,rebinyn,rebinyn,C4534872,Rebinyn,BN
reblozyl,reblozyl,reblozyl,C5211086,Reblozyl,BN
recombinant human thrombopoietin,recombinant human thrombopoietin,recombinant human thrombopoietin,,,
recombinate,recombinate,recombinate,C0218182,Recombinate,BN
recombinate 1000 iu pulver och v tska till injektionsv tska l sning,recombinate 1000 iu pulver och v tska till injektionsv tska l sning,recombinate 1000 iu pulver och v tska till injektionsv tska l sning,C0218182,Recombinate,BN
recombivax hb,recombivax hb,recombivax hb,C0140114,Recombivax,BN
rectodelt,rectodelt,rectodelt,,,
regencov,regencov,regencov,C5443211,Regen-Cov,BN
reglan,reglan,reglan,C0034977,Reglan,BN
regorafenib,regorafenib,regorafenib,C2980094,regorafenib,IN
reguneal lca,reguneal lca,reguneal lca,,,
relpax,relpax,relpax,C1171655,Relpax,BN
remdesivir,remdesivir,remdesivir,C4726677,remdesivir,IN
remergil,remergil,remergil,,,
remeron,remeron,remeron,C0525726,Remeron,BN
remestemcell,remestemcell,remestemcell,C1879680,remestemcel-L,IN
remicade,remicade,remicade,C0723012,Remicade,BN
remifentanil,remifentanil,remifentanil,C0246631,remifentanil,IN
remifentanil hydrochloride,remifentanil hydrochloride,remifentanil,C0771827,remifentanil hydrochloride,PIN
remifentanil mylan,remifentanil mylan,remifentanil mylan,C0246631,remifentanil,IN
remodulin,remodulin,remodulin,C1101501,Remodulin,BN
remodulin 1 milligrammilliliters injection for infusion treprostinil sodium,remodulin 1 milligrammilliliters for infusion treprostinil sodium,remodulin 1 milligrammilliliters for infusion treprostinil,C1101501,Remodulin,BN
renflexis,renflexis,renflexis,C4490037,Renflexis,BN
rennie,rennie,rennie,,,
renvela,renvela,renvela,C1968327,Renvela,BN
repaglinide,repaglinide,repaglinide,C0246689,repaglinide,IN
repatha,repatha,repatha,C4051252,Repatha,BN
repevax,repevax,repevax,,,
requip,requip,requip,C0593342,Requip,BN
respia,respia,respia,,,
retifanlimab,retifanlimab,retifanlimab,C5401615,retifanlimab,IN
retinol,retinol,retinol,C0073109,retinol acetate,PIN
retrovir,retrovir,retrovir,C0699576,Retrovir,BN
revatio,revatio,revatio,C1614029,Revatio,BN
revcovi,revcovi,revcovi,C4731742,Revcovi,BN
revellex,revellex,revellex,,,
revia,revia,revia,C0591842,ReVia,BN
revlimid,revlimid,revlimid,C1135145,Revlimid,BN
revolade,revolade,revolade,,,
revolade tab,revolade,revolade,,,
revuforj,revuforj,revuforj,C5966309,Revuforj,BN
rexulti,rexulti,rexulti,C4033609,Rexulti,BN
reyataz,reyataz,reyataz,C1258207,Reyataz,BN
rfixfc,rfixfc,rfixfc,,,
rho d immune globulin,rho d immune globulin,rho d immune globulin,C0073188,Rho(D) immune globulin,IN
rhogam ultrafiltered plus,rhogam ultrafiltered plus,rhogam ultrafiltered plus,C0702053,RhoGAM,BN
rhophylac,rhophylac,rhophylac,C1617586,Rhophylac,BN
rhopressa,rhopressa,rhopressa,C4535723,Rhopressa,BN
rhumabe25,rhumabe25,rhumabe25,,,
riabni,riabni,riabni,C5433068,Riabni,BN
ribavirin,ribavirin,ribavirin,C0035525,ribavirin,IN
ribociclib,ribociclib,ribociclib,C4045494,ribociclib,IN
riboflavin,riboflavin,riboflavin,C0035527,riboflavin,IN
rifabutin,rifabutin,rifabutin,C0140575,rifabutin,IN
rifadin,rifadin,rifadin,C0699924,Rifadin,BN
rifadine,rifadine,rifadine,C0699924,Rifadin,BN
rifampicin,rifampicin,rifampicin,C0035608,rifampicin,SY
rifampicinisoniazid sandoz,rifampicinisoniazid sandoz,rifampicinisoniazid sandoz,C0022209,isoniazid,IN
rifampicin isoniazid pyrazinamide ethambutol hydrochloride,rifampicin isoniazid pyrazinamide ethambutol hydrochloride,rifampicin isoniazid pyrazinamide ethambutol,C0006686,calcium chloride,IN
rifampin,rifampin,rifampin,C0035608,rifampin,IN
rifampin manufacturer unknown,rifampin manufacturer unknown,rifampin manufacturer unknown,C0035608,rifampin,IN
rifamycine chibret,rifamycine chibret,rifamycine chibret,C0721859,Myci,BN
rifaximin,rifaximin,rifaximin,C0073374,rifaximin,IN
rifinah,rifinah,rifinah,,,
rilpivirine,rilpivirine,rilpivirine,C1566826,rilpivirine,IN
rinvoq,rinvoq,rinvoq,C5196212,Rinvoq,BN
riociguat guanylate cyclase stimulator,riociguat guanylate cyclase stimulator,riociguat guanylate cyclase stimulator,C2717561,riociguat,IN
riopan magaldrat,riopan magaldrat,riopan magaldrat,C0723090,Riopan,BN
risdiplam,risdiplam,risdiplam,C5139676,risdiplam,IN
risperdal,risperdal,risperdal,C0592071,Risperdal,BN
risperdal consta,risperdal consta,risperdal consta,C1320099,RisperDAL CONSTA 25 MG Injection,PSN
risperdal mtab,risperdal mtab,risperdal mtab,C0592071,RisperDAL,TMSY
risperidal,risperidal,risperidal,C0592071,RisperDAL,TMSY
risperidon,risperidon,risperidon,C0073393,risperidone,IN
