Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
Cladosporium cladosporioides Allergen Extract,cladosporium cladosporioides allergen extract,cladosporium cladosporioides allergen extract,C2918538,Cladosporium cladosporioides allergenic extract,IN
Clarithromycin,clarithromycin,clarithromycin,C0055856,clarithromycin,IN
Clascoterone,clascoterone,clascoterone,C4730996,clascoterone,IN
Cleanser,cleanser,cleanser,C3709517,allantoin / benzethonium Topical Solution [Berberex Wound Cleanser],SBDF
Cleanser and Moisturizer,cleanser and moisturizer,cleanser and moisturizer,,,
"Cleanser;Cream, Multi Ingredient",cleanser multi ingredient,cleanser multi ingredient,,,
Clemastine Fumarate,clemastine fumarate,clemastine,C0546858,clemastine fumarate,PIN
Clindamycin Hydrochloride,clindamycin hydrochloride,clindamycin,C0282105,clindamycin hydrochloride,PIN
Clindamycin Palmitate Hydrochloride,clindamycin palmitate hydrochloride,clindamycin palmitate,C0304311,clindamycin palmitate hydrochloride,PIN
Clindamycin Phosphate,clindamycin phosphate,clindamycin,C0055881,clindamycin phosphate,PIN
Clindamycin Phosphate;Cleanser,clindamycin phosphate cleanser,clindamycin cleanser,C0055881,clindamycin phosphate,PIN
Clindamycin Phosphate;Cleanser and Moisturizer,clindamycin phosphate cleanser and moisturizer,clindamycin cleanser and moisturizer,C0008947,clindamycin,IN
Clindamycin Phosphate/Tretinoin,clindamycin phosphate/tretinoin,clindamycin phosphate/tretinoin,C0008947,clindamycin,IN
Clioquinol/Hydrocortisone,clioquinol/hydrocortisone,clioquinol/hydrocortisone,C0359048,clioquinol / hydrocortisone,MIN
"Clioquinol/Hydrocortisone;Gel, Multi Ingredient",clioquinol/hydrocortisone gel multi ingredient,clioquinol/hydrocortisone gel multi ingredient,C0021978,clioquinol,IN
Clobazam,clobazam,clobazam,C0055891,clobazam,IN
Clobetasol Propionate,clobetasol propionate,clobetasol propionate,C0055895,clobetasol propionate,PIN
"Clobetasol Propionate, Micronized",clobetasol propionate micronized,clobetasol propionate micronized,C0008992,clobetasol,IN
"Clobetasol Propionate;Lotion, Multi Ingredient",clobetasol propionate lotion multi ingredient,clobetasol propionate lotion multi ingredient,C0008992,clobetasol,IN
Clocortolone Pivalate,clocortolone pivalate,clocortolone pivalate,C0055900,clocortolone pivalate,PIN
Clomiphene Citrate,clomiphene citrate,clomiphene citrate,C0546859,clomiphene citrate,PIN
Clomipramine Hydrochloride,clomipramine hydrochloride,clomipramine,C0282107,clomipramine hydrochloride,PIN
Clonazepam,clonazepam,clonazepam,C0009011,clonazepam,IN
Clonidine,clonidine,clonidine,C0009014,clonidine,IN
Clonidine Hydrochloride,clonidine hydrochloride,clonidine,C0546860,clonidine hydrochloride,PIN
Clopidogrel Hydrogen Sulfate,clopidogrel hydrogen sulfate,clopidogrel hydrogen,C0070166,clopidogrel,IN
Clorazepate Dipotassium,clorazepate dipotassium,clorazepate dipotassium,C0009033,clorazepate dipotassium,PIN
Clotrimazole,clotrimazole,clotrimazole,C0009074,clotrimazole,IN
Clotrimazole;Clotrimazole,clotrimazole clotrimazole,clotrimazole clotrimazole,C2980723,Atopalm Clotrimazole Antifungal,BN
Clozapine,clozapine,clozapine,C0009079,clozapine,IN
Coagulation Factor IX Recombinant,coagulation factor ix recombinant,coagulation factor ix recombinant,C3883805,"coagulation factor IX (recombinant), glycopegylated",PIN
"Coagulation Factor IX Recombinant, GlycoPEGylated",coagulation factor ix recombinant glycopegylated,coagulation factor ix recombinant glycopegylated,C3883805,"coagulation factor IX (recombinant), glycopegylated",PIN
Coagulation Factor VIIa,coagulation factor viia,coagulation factor viia,C0015502,coagulation factor VII,SY
Coagulation Factor VIIa-jncw,coagulation factor viia-jncw,coagulation factor viia-jncw,C0015502,factor VII,IN
Coal Tar,coal tar,coal tar,C0009137,coal tar,IN
Coal Tar/Salicylic Acid/Sulfur,coal tar/salicylic acid/sulfur,coal tar/salicylic acid/sulfur,C1445730,coal tar / salicylic acid / sulfur,MIN
Cobicistat/Darunavir,cobicistat/darunavir,cobicistat/darunavir,C3871454,cobicistat / darunavir,MIN
Cobimetinib,cobimetinib,cobimetinib,C4049146,cobimetinib,IN
Cocaine Hydrochloride,cocaine hydrochloride,cocaine,C0282108,cocaine hydrochloride,PIN
Cocoa Butter,cocoa butter,cocoa butter,C0056057,cocoa butter,IN
Cocoa Butter/Phenylephrine Hydrochloride,cocoa butter/phenylephrine hydrochloride,cocoa butter/phenylephrine,C0006686,calcium chloride,IN
Cocoglycerides,cocoglycerides,cocoglycerides,C3256135,coco-glycerides,IN
Codeine Phos/Dexbrompheniramine Maleate/PSE HCl,codeine phos/dexbrompheniramine maleate/pse hcl,codeine phos/dexbrompheniramine maleate/pse,C0006246,brompheniramine,IN
Codeine Phos/Dexchlorpheniramine Mal/Phenyleph HCl,codeine phos/dexchlorpheniramine mal/phenyleph hcl,codeine phos/dexchlorpheniramine mal/phenyleph,C0008281,chlorpheniramine,IN
Codeine Phos/guaiFENesin/PSE HCl,codeine phos/guaifenesin/pse hcl,codeine phos/guaifenesin/pse,C0009214,codeine,IN
Codeine Phos/Phenyleph HCl/Promethazine HCl,codeine phos/phenyleph hcl/promethazine hcl,codeine phos/phenyleph hcl/promethazine,C0009214,codeine,IN
Codeine Phos/Phenyleph HCl/Triprolidine HCl,codeine phos/phenyleph hcl/triprolidine hcl,codeine phos/phenyleph hcl/triprolidine,C0009214,codeine,IN
Codeine Phosphate/Guaifenesin,codeine phosphate/guaifenesin,codeine phosphate/guaifenesin,C0009214,codeine,IN
Codeine Phosphate/Promethazine Hydrochloride,codeine phosphate/promethazine hydrochloride,codeine phosphate/promethazine,C4730858,codeine phosphate / promethazine hydrochloride Oral Solution,SCDFP
Codeine Sulfate,codeine sulfate,codeine,C0304352,codeine sulfate,PIN
Coenzyme Q10,coenzyme q10,coenzyme q10,C4056433,"coenzyme Q10, (2Z)-",PIN
Coenzyme Q10/Vitamin E,coenzyme q10/vitamin e,coenzyme q10/vitamin e,C0042874,vitamin E,IN
Colchicine,colchicine,colchicine,C0009262,colchicine,IN
Colchicine/Probenecid,colchicine/probenecid,colchicine/probenecid,C0717652,colchicine / probenecid,MIN
Colesevelam Hydrochloride,colesevelam hydrochloride,colesevelam,C0541154,colesevelam hydrochloride,PIN
Colestipol Hydrochloride,colestipol hydrochloride,colestipol,C0354648,colestipol hydrochloride,PIN
"Colestipol Hydrochloride, Micronized",colestipol hydrochloride micronized,colestipol micronized,C0354648,colestipol hydrochloride,PIN
Colistimethate Sodium,colistimethate sodium,colistimethate,C0110462,colistimethate sodium,PIN
Collagenase,collagenase,collagenase,C0162745,collagenase,IN
"Collagenase, Clostridium histolyticum",collagenase clostridium histolyticum,collagenase clostridium histolyticum,C0009053,collagenase Clostridium histolyticum,IN
Collodion,collodion,collodion,C3848571,bromide ion,IN
Colloidal Sulfur/Sulfacetamide Sodium,colloidal sulfur/sulfacetamide sodium,colloidal sulfur/sulfacetamide,C0718194,Aceta,BN
Color Additive,color additive,color additive,,,
Condom,condom,condom,,,
Conjugated Estrogens,conjugated estrogens,conjugated estrogens,C0014938,conjugated estrogens,SY
Conjugated Estrogens Synthetic B,conjugated estrogens synthetic b,conjugated estrogens synthetic b,C1699236,"synthetic conjugated estrogens, B",IN
Conjugated Estrogens;Conjugated Estrogens/Medroxyp,conjugated estrogens conjugated estrogens/medroxyp,conjugated estrogens conjugated estrogens/medroxyp,C0014938,conjugated estrogens,SY
Conjugated Estrogens/Medroxyprogesterone Acetate,conjugated estrogens/medroxyprogesterone acetate,conjugated estrogens/medroxyprogesterone,C0000975,acetate,IN
Contact Lens Product,contact lens product,contact lens product,C2962221,TAC,BN
"Container, Evacuated",container evacuated,container evacuated,,,
Copper,copper,copper,C0009968,copper,IN
Copper Chloride,copper chloride,copper chloride,C0589330,copper chloride,IN
Copper/Folic Acid/Niacin/Zinc,copper/folic acid/niacin/zinc,copper/folic acid/niacin/zinc,C0009968,copper,IN
Corn Oil,corn oil,corn oil,C0010029,corn oil,IN
"Corticotropin, Repository",corticotropin repository,corticotropin repository,C0875999,Cortic,BN
Cortisone Acetate,cortisone acetate,cortisone,C0056391,cortisone acetate,PIN
"Cortisone Acetate, Micronized",cortisone acetate micronized,cortisone micronized,C0718194,Aceta,BN
Cosyntropin,cosyntropin,cosyntropin,C0010192,cosyntropin,IN
Cottonseed Oil,cottonseed oil,cottonseed oil,C0010198,cottonseed oil,IN
Cough/Cold Combination,cough/cold combination,cough/cold combination,C3848571,bromide ion,IN
"COVID-19 Vaccine, Adenovirus 26 Vector (Janssen)",covid-19 vaccine adenovirus 26 vector janssen,covid-19 vaccine adenovirus 26 vector janssen,,,
"COVID-19 Vaccine, mRNA Bivalent (Moderna)",covid-19 vaccine mrna bivalent moderna,covid-19 vaccine mrna bivalent moderna,,,
"COVID-19 Vaccine, mRNA Bivalent (Pfizer)",covid-19 vaccine mrna bivalent pfizer,covid-19 vaccine mrna bivalent pfizer,,,
Cr/Cu/Folic Acid/Niacinamide/Se/Zinc,cr/cu/folic acid/niacinamide/se/zinc,cr/cu/folic acid/niacinamide/se/zinc,C0016410,folic acid,IN
Cranberry,cranberry,cranberry,C2740793,cranberry allergenic extract,IN
Cream Base,base,base,C4027240,4XLA Base,BN
"Cream, Multi Ingredient",multi ingredient,multi ingredient,,,
"Cream, Multi Ingredient;Gel, Multi Ingredient",multi ingredient gel multi ingredient,multi ingredient gel multi ingredient,,,
Creatine,creatine,creatine,C0010286,creatine,IN
Cresol,cresol,cresol,C0174883,cresol,IN
Crisaborole,crisaborole,crisaborole,C4301781,crisaborole,IN
Crizanlizumab-tmca,crizanlizumab-tmca,crizanlizumab-tmca,C5211092,crizanlizumab-tmca,PIN
Crizotinib,crizotinib,crizotinib,C2974289,crizotinib,IN
Cromolyn Sodium,cromolyn sodium,cromolyn,C0012694,cromolyn sodium,PIN
Crotamiton,crotamiton,crotamiton,C0056519,crotamiton,IN
Cu/Folic Acid/Vitamin B3/Pyridoxine HCl/Zinc,cu/folic acid/vitamin b3/pyridoxine hcl/zinc,cu/folic acid/vitamin b3/pyridoxine hcl/zinc,C0016410,folic acid,IN
Curcumin,curcumin,curcumin,C0010467,curcumin,IN
"Cutter, Syringe And Needle",cutter syringe and needle,cutter syringe and needle,,,
Cyanocobalamin,cyanocobalamin,cyanocobalamin,C0304961,cyanocobalamin Co57,IN
Cyanocobalamin;Isopropyl Alcohol,cyanocobalamin isopropyl alcohol,cyanocobalamin isopropyl alcohol,C0124168,isopropyl acetate,IN
Cyanocobalamin/Folic Acid,cyanocobalamin/folic acid,cyanocobalamin/folic acid,C0016410,folic acid,IN
Cyanocobalamin/Folic Acid/Iron Polysaccharide,cyanocobalamin/folic acid/iron polysaccharide,cyanocobalamin/folic acid/iron polysaccharide,C0016410,folic acid,IN
Cyanocobalamin/Folic Acid/Pyridoxine,cyanocobalamin/folic acid/pyridoxine,cyanocobalamin/folic acid/pyridoxine,C0016410,folic acid,IN
Cyanocobalamin/Levomefolate Calcium/Pyridoxine,cyanocobalamin/levomefolate calcium/pyridoxine,cyanocobalamin/levomefolate calcium/pyridoxine,C0006675,calcium,IN
Cyanocobalamin/Salcaprozate Sodium,cyanocobalamin/salcaprozate sodium,cyanocobalamin/salcaprozate,C5207660,salcaprozate,IN
Cyclobenzaprine HCl;Flurbiprofen;Cream Base,cyclobenzaprine hcl flurbiprofen base,cyclobenzaprine flurbiprofen base,C0718903,Benza,BN
Cyclobenzaprine Hydrochloride,cyclobenzaprine hydrochloride,cyclobenzaprine,C0125988,cyclobenzaprine hydrochloride,PIN
Cyclopentolate HCl/Phenyleph HCl,cyclopentolate hcl/phenyleph hcl,cyclopentolate hcl/phenyleph,C0010582,cyclopentolate,IN
Cyclopentolate Hydrochloride,cyclopentolate hydrochloride,cyclopentolate,C0357664,cyclopentolate hydrochloride,PIN
Cyclophosphamide,cyclophosphamide,cyclophosphamide,C0010583,cyclophosphamide,IN
Cycloserine,cycloserine,cycloserine,C0010590,cycloserine,IN
Cyclosporine,cyclosporine,cyclosporine,C0010592,cyclosporine,IN
"Cyclosporine, Modified",cyclosporine modified,cyclosporine modified,C0771305,"cyclosporine, modified",PIN
Cyproheptadine Hydrochloride,cyproheptadine hydrochloride,cyproheptadine,C0354872,cyproheptadine hydrochloride,PIN
Cysteamine,cysteamine,cysteamine,C0010648,cysteamine,IN
Cysteamine Bitartrate,cysteamine bitartrate,cysteamine,C0282119,cysteamine bitartrate,PIN
Cysteine Hydrochloride,cysteine hydrochloride,cysteine,C0724565,cysteine hydrochloride,PIN
Cytarabine,cytarabine,cytarabine,C0010711,cytarabine,IN
"Cytomegalovirus Immune Globulin, Human",cytomegalovirus immune globulin human,cytomegalovirus immune globulin human,C4281720,"cytomegalovirus immune globulin, human",PIN
Dabigatran Etexilate Mesylate,dabigatran etexilate mesylate,dabigatran etexilate,C2343849,dabigatran etexilate mesylate,PIN
Dabrafenib Mesylate,dabrafenib mesylate,dabrafenib,C3644554,dabrafenib mesylate,PIN
Dacarbazine,dacarbazine,dacarbazine,C0010927,dacarbazine,IN
Daclatasvir,daclatasvir,daclatasvir,C3252090,daclatasvir,IN
Dalbavancin,dalbavancin,dalbavancin,C1172636,dalbavancin,IN
Dalfampridine,dalfampridine,dalfampridine,C0000477,dalfampridine,IN
Dalfopristin/Quinupristin,dalfopristin/quinupristin,dalfopristin/quinupristin,C0526513,dalfopristin / quinupristin,MIN
Dalteparin Sodium,dalteparin sodium,dalteparin,C0282471,dalteparin sodium,PIN
Danazol,danazol,danazol,C0010961,danazol,IN
Dantrolene Sodium,dantrolene sodium,dantrolene,C0010977,dantrolene sodium,PIN
Dapagliflozin Propanediol,dapagliflozin propanediol,dapagliflozin propanediol,C3555622,dapagliflozin propanediol,PIN
Dapagliflozin Propanediol/Metformin Hydrochloride,dapagliflozin propanediol/metformin hydrochloride,dapagliflozin propanediol/metformin,C0006686,calcium chloride,IN
Dapsone,dapsone,dapsone,C0010980,dapsone,IN
Daptomycin,daptomycin,daptomycin,C0057144,daptomycin,IN
Darbepoetin Alfa,darbepoetin alfa,darbepoetin alfa,C0937950,darbepoetin alfa,IN
Daridorexant,daridorexant,daridorexant,C5227711,daridorexant,IN
Darifenacin Hydrobromide,darifenacin hydrobromide,darifenacin hydrobromide,C1577176,darifenacin hydrobromide,PIN
Darunavir Ethanolate,darunavir ethanolate,darunavir ethanolate,C1725651,darunavir ethanolate,PIN
Dasabuvir;Ombitasvir/Paritaprevir/Ritonavir,dasabuvir ombitasvir/paritaprevir/ritonavir,dasabuvir ombitasvir/paritaprevir/ritonavir,C3882783,dasabuvir / ombitasvir / paritaprevir / ritonavir,MIN
Dasatinib,dasatinib,dasatinib,C1455147,dasatinib,IN
Dasiglucagon,dasiglucagon,dasiglucagon,C5139868,dasiglucagon,IN
Daunorubicin Hydrochloride,daunorubicin hydrochloride,daunorubicin,C0282123,daunorubicin hydrochloride,PIN
Deferasirox,deferasirox,deferasirox,C1619629,deferasirox,IN
Deferiprone,deferiprone,deferiprone,C0043832,deferiprone,IN
Deferoxamine Mesylate,deferoxamine mesylate,deferoxamine,C0011148,deferoxamine mesylate,PIN
Deflazacort,deflazacort,deflazacort,C0057258,deflazacort,IN
Dehydrated Alcohol,dehydrated alcohol,dehydrated alcohol,C2825044,dehydrated alcohol,PIN
Dehydroepiandrosterone,dehydroepiandrosterone,dehydroepiandrosterone,C0693513,dehydroepiandrosterone 1 % Topical Cream,SY
Delafloxacin,delafloxacin,delafloxacin,C2828290,delafloxacin,IN
Demeclocycline Hydrochloride,demeclocycline hydrochloride,demeclocycline,C0282125,demeclocycline hydrochloride,PIN
Denosumab,denosumab,denosumab,C1690432,denosumab,IN
Deoxy-D-Glucose,deoxy-d-glucose,deoxy-d-glucose,C0719614,D-G,BN
Dermatophagoides Farinae Extract,dermatophagoides farinae extract,dermatophagoides farinae extract,C3194702,Dermatophagoides farinae allergenic extract,SY
Dermatophagoides Pteronyssinus Extract,dermatophagoides pteronyssinus extract,dermatophagoides pteronyssinus extract,C3194704,Dermatophagoides pteronyssinus allergenic extract,SY
Desipramine Hydrochloride,desipramine hydrochloride,desipramine,C0700529,desipramine hydrochloride,PIN
Desloratadine,desloratadine,desloratadine,C0908935,desloratadine,IN
Desloratadine/Pseudoephedrine Sulfate,desloratadine/pseudoephedrine sulfate,desloratadine/pseudoephedrine,C5846823,desloratadine / pseudoephedrine sulfate Pill,SCDGP
Desmopressin Acetate,desmopressin acetate,desmopressin,C0086135,desmopressin acetate,PIN
Desogestrel/Ethinyl Estradiol;Desogestrel/Ethinyl,desogestrel/ethinyl estradiol desogestrel/ethinyl,desogestrel/ethinyl estradiol desogestrel/ethinyl,C1877639,Triphasic Regimen (desogestrel/ethinyl estradiol tablets) 28 Day Pack,SY
Desogestrel/Ethinyl Estradiol;Ethinyl Estradiol;Pl,desogestrel/ethinyl estradiol ethinyl estradiol pl,desogestrel/ethinyl estradiol ethinyl estradiol pl,C0057558,desogestrel,IN
Desogestrel/Ethinyl Estradiol;Placebo,desogestrel/ethinyl estradiol placebo,desogestrel/ethinyl estradiol placebo,C0057558,desogestrel,IN
Desonide,desonide,desonide,C0011705,desonide,IN
"Desonide, Micronized",desonide micronized,desonide micronized,C0011705,desonide,IN
Desoximetasone,desoximetasone,desoximetasone,C0011707,desoximetasone,IN
Desvenlafaxine,desvenlafaxine,desvenlafaxine,C1880288,desvenlafaxine,IN
Desvenlafaxine Succinate,desvenlafaxine succinate,desvenlafaxine,C1742884,desvenlafaxine succinate,PIN
Deucravacitinib,deucravacitinib,deucravacitinib,C5420928,deucravacitinib,IN
Deutetrabenazine,deutetrabenazine,deutetrabenazine,C4277781,deutetrabenazine,IN
Device,device,device,C0697738,Norplant 85 MCG/Day Intrauterine Device,SY
"Device, Inhalation",device inhalation,device inhalation,C1154181,Inhalation Solution,DF
Dexamethasone,dexamethasone,dexamethasone,C0011777,dexamethasone,IN
"Dexamethasone Acetate, Micronized",dexamethasone acetate micronized,dexamethasone micronized,C0718194,Aceta,BN
Dexamethasone Sodium Phosphate,dexamethasone sodium phosphate,dexamethasone,C0113286,dexamethasone sodium phosphate,PIN
Dexamethasone Sodium Phosphate/Sodium Chloride,dexamethasone sodium phosphate/sodium chloride,dexamethasone phosphate/sodium chloride,C0006686,calcium chloride,IN
"Dexamethasone, Micronized",dexamethasone micronized,dexamethasone micronized,C0011777,dexamethasone,IN
Dexamethasone/Neomycin Sulfate/Polymyxin B Sulfate,dexamethasone/neomycin sulfate/polymyxin b sulfate,dexamethasone/neomycin sulfate/polymyxin b,C0011777,dexamethasone,IN
Dexamethasone/Tobramycin,dexamethasone/tobramycin,dexamethasone/tobramycin,C1276848,dexAMETHasone / tobramycin,TMSY
Dexbrompheniramine Maleate,dexbrompheniramine maleate,dexbrompheniramine maleate,C0113291,dexbrompheniramine maleate,PIN
Dexbrompheniramine Maleate/DM Hydrobrom/PSE HCl,dexbrompheniramine maleate/dm hydrobrom/pse hcl,dexbrompheniramine maleate/dm hydrobrom/pse,C0006246,brompheniramine,IN
Dexbrompheniramine Maleate/Phenyleph HCl,dexbrompheniramine maleate/phenyleph hcl,dexbrompheniramine maleate/phenyleph,C0006246,brompheniramine,IN
Dexbrompheniramine Maleate/PSE HCl,dexbrompheniramine maleate/pse hcl,dexbrompheniramine maleate/pse,C0006246,brompheniramine,IN
Dexchlorpheniramine Mal/DM Hydrobrom/Phenyleph HCl,dexchlorpheniramine mal/dm hydrobrom/phenyleph hcl,dexchlorpheniramine mal/dm hydrobrom/phenyleph,C0008281,chlorpheniramine,IN
Dexchlorpheniramine Mal/DM Hydrobrom/PSE HCl,dexchlorpheniramine mal/dm hydrobrom/pse hcl,dexchlorpheniramine mal/dm hydrobrom/pse,C0008281,chlorpheniramine,IN
Dexchlorpheniramine Mal/Phenyleph HCl,dexchlorpheniramine mal/phenyleph hcl,dexchlorpheniramine mal/phenyleph,C0008281,chlorpheniramine,IN
Dexchlorpheniramine Mal/PSE HCl,dexchlorpheniramine mal/pse hcl,dexchlorpheniramine mal/pse,C0008281,chlorpheniramine,IN
Dexchlorpheniramine Maleate,dexchlorpheniramine maleate,dexchlorpheniramine maleate,C0137440,dexchlorpheniramine maleate,PIN
Dexlansoprazole,dexlansoprazole,dexlansoprazole,C2348248,dexlansoprazole,IN
Dexmedetomidine Hydrochloride,dexmedetomidine hydrochloride,dexmedetomidine,C0752310,dexmedetomidine hydrochloride,PIN
Dexmethylphenidate Hydrochloride,dexmethylphenidate hydrochloride,dexmethylphenidate,C1170743,dexmethylphenidate hydrochloride,PIN
Dexmethylphenidate/Serdexmethylphenidate,dexmethylphenidate/serdexmethylphenidate,dexmethylphenidate/serdexmethylphenidate,C5449032,dexmethylphenidate / serdexmethylphenidate,MIN
Dexrazoxane Hydrochloride,dexrazoxane hydrochloride,dexrazoxane,C0982118,dexrazoxane hydrochloride,PIN
Dextran 70/Glycerin/Hypromellose,dextran 70/glycerin/hypromellose,dextran 70/glycerin/hypromellose,C2928717,dextran 70 / glycerin / hypromellose,MIN
Dextran 70/Hypromellose,dextran 70/hypromellose,dextran 70/hypromellose,C1874979,dextran 70 / hypromellose,MIN
Dextrin,dextrin,dextrin,C0051348,alpha-cyclodextrin,IN
Dextroamphetamine,dextroamphetamine,dextroamphetamine,C0011812,dextroamphetamine,IN
Dextroamphetamine Sulfate,dextroamphetamine sulfate,dextroamphetamine,C0011810,dextroamphetamine sulfate,PIN
Dextromethorphan Hydrobromide,dextromethorphan hydrobromide,dextromethorphan hydrobromide,C0350422,dextromethorphan hydrobromide,PIN
Dextromethorphan Hydrobromide/Doxylamine Succinate,dextromethorphan hydrobromide/doxylamine succinate,dextromethorphan hydrobromide/doxylamine,C5835071,dextromethorphan hydrobromide / doxylamine succinate Oral Solution,SCDFP
Dextromethorphan Hydrobromide/Guaifenesin,dextromethorphan hydrobromide/guaifenesin,dextromethorphan hydrobromide/guaifenesin,C5835232,dextromethorphan hydrobromide / guaiFENesin Oral Capsule,TMSY
Dextromethorphan Hydrobromide/Pyrilamine Maleate,dextromethorphan hydrobromide/pyrilamine maleate,dextromethorphan hydrobromide/pyrilamine maleate,C5837432,dextromethorphan hydrobromide / pyrilamine maleate Oral Solution,SCDFP
Dextromethorphan Hydrobromide/Quinidine Sulfate,dextromethorphan hydrobromide/quinidine sulfate,dextromethorphan hydrobromide/quinidine,C5836721,dextromethorphan hydrobromide / quiNIDine sulfate Oral Capsule,TMSY
Dextromethorphan Polistirex,dextromethorphan polistirex,dextromethorphan polistirex,C0771392,dextromethorphan polistirex,PIN
Dextrose,dextrose,dextrose,C0773367,dextrose 10 % Injection,SY
Dextrose/Levofloxacin,dextrose/levofloxacin,dextrose/levofloxacin,C0282386,levofloxacin,IN
Dextrose/Lidocaine Hydrochloride,dextrose/lidocaine hydrochloride,dextrose/lidocaine,C0006686,calcium chloride,IN
Dextrose/Potassium Chloride/Sodium Chloride,dextrose/potassium chloride/sodium chloride,dextrose/potassium chloride/sodium chloride,C0006686,calcium chloride,IN
Dextrose/Sodium Chloride,dextrose/sodium chloride,dextrose/sodium chloride,C0006686,calcium chloride,IN
Diabetic Supplies,diabetic supplies,diabetic supplies,,,
Diaphragm,diaphragm,diaphragm,,,
Diatrizoate Meglumine/Diatrizoate Sodium,diatrizoate meglumine/diatrizoate sodium,diatrizoate meglumine/diatrizoate,C0012004,diatrizoate,IN
Diazepam,diazepam,diazepam,C0012010,diazepam,IN
Diazepam;Lubricant,diazepam lubricant,diazepam lubricant,C0012010,diazepam,IN
Diazoxide,diazoxide,diazoxide,C0012022,diazoxide,IN
Dibucaine,dibucaine,dibucaine,C0012050,dibucaine,IN
Dibucaine Hydrochloride,dibucaine hydrochloride,dibucaine,C0770382,dibucaine hydrochloride,PIN
Dichloralphenazone,dichloralphenazone,dichloralphenazone,C0057831,dichloralphenazone,IN
Dichlorphenamide,dichlorphenamide,dichlorphenamide,C0012086,dichlorphenamide,IN
Diclofenac,diclofenac,diclofenac,C0012091,diclofenac,IN
Diclofenac Epolamine,diclofenac epolamine,diclofenac epolamine,C0082274,diclofenac epolamine,PIN
"Diclofenac Na;Gabapentin;Lido HCl;Cream, Multi Ing",diclofenac na gabapentin lido hcl multi ing,diclofenac na gabapentin lido multi ing,C0012091,diclofenac,IN
Diclofenac Potassium,diclofenac potassium,diclofenac,C0282131,diclofenac potassium,PIN
Diclofenac Sodium,diclofenac sodium,diclofenac,C0700583,diclofenac sodium,PIN
Diclofenac Sodium;Isopropyl Alcohol,diclofenac sodium isopropyl alcohol,diclofenac isopropyl alcohol,C0012091,diclofenac,IN
Diclofenac Sodium/Misoprostol,diclofenac sodium/misoprostol,diclofenac sodium/misoprostol,C0012091,diclofenac,IN
Dicloxacillin Sodium,dicloxacillin sodium,dicloxacillin,C0887422,dicloxacillin sodium,PIN
Dicyclomine Hydrochloride,dicyclomine hydrochloride,dicyclomine,C0591771,dicyclomine hydrochloride,PIN
Didanosine,didanosine,didanosine,C0012133,didanosine,IN
Dienogest/Estradiol Valerate;Dienogest/Estradiol V,dienogest/estradiol valerate dienogest/estradiol v,dienogest/estradiol valerate dienogest/estradiol v,C0057916,dienogest,IN
Diethylene Glycol Monoethyl Ether,diethylene glycol monoethyl ether,diethylene glycol monoethyl ether,C0054673,diethylene glycol monoethyl ether,IN
Diethylpropion Hydrochloride,diethylpropion hydrochloride,diethylpropion,C0282133,diethylpropion hydrochloride,PIN
Diflorasone Diacetate,diflorasone diacetate,diflorasone diacetate,C0057992,diflorasone diacetate,PIN
Diflunisal,diflunisal,diflunisal,C0012228,diflunisal,IN
Difluprednate,difluprednate,difluprednate,C0058004,difluprednate,IN
Digestants,digestants,digestants,,,
Digital Therapeutics,digital therapeutics,digital therapeutics,,,
Digoxin,digoxin,digoxin,C0012265,digoxin,IN
Dihydroergotamine Mesylate,dihydroergotamine mesylate,dihydroergotamine,C0700532,dihydroergotamine mesylate,PIN
Diltiazem Hydrochloride,diltiazem hydrochloride,diltiazem,C0700579,diltiazem hydrochloride,PIN
Dimenhydrinate,dimenhydrinate,dimenhydrinate,C0012381,dimenhydrinate,IN
Dimethicone,dimethicone,dimethicone,C1113707,dimethicone,IN
Dimethicone;Lidocaine,dimethicone lidocaine,dimethicone lidocaine,C1113707,dimethicone,IN
Dimethicone;Triamcinolone Acetonide,dimethicone triamcinolone acetonide,dimethicone triamcinolone acetonide,C1588705,Cinolone,BN
Dimethyl Fumarate,dimethyl fumarate,dimethyl,C0058218,dimethyl fumarate,IN
Dimethyl Fumarate;Dimethyl Fumarate,dimethyl fumarate dimethyl fumarate,dimethyl dimethyl,C3556803,dimethyl fumarate 120 MG,SCDC
Dimethyl Sulfoxide,dimethyl sulfoxide,dimethyl sulfoxide,C0012403,dimethyl sulfoxide,IN
Dinitrochlorobenzene,dinitrochlorobenzene,dinitrochlorobenzene,C0005036,benzene,IN
Dioxybenzone/Hydroquinone/Oxybenzone/Padimate O,dioxybenzone/hydroquinone/oxybenzone/padimate o,dioxybenzone/hydroquinone/oxybenzone/padimate o,C0058344,dioxybenzone,IN
Diphencyprone,diphencyprone,diphencyprone,,,
Diphenhydramine Hydrochloride,diphenhydramine hydrochloride,diphenhydramine,C0004963,diphenhydramine hydrochloride,PIN
diphenhydrAMINE hydrochloride;HC;Nystatin;Mouthwas,diphenhydramine hydrochloride hc nystatin mouthwas,diphenhydramine hc nystatin mouthwas,C0006686,calcium chloride,IN
diphenhydrAMINE hydrochloride;HC;Nystatin;Tetracyc,diphenhydramine hydrochloride hc nystatin tetracyc,diphenhydramine hc nystatin tetracyc,C0006686,calcium chloride,IN
