raw_drug,query,matched_str,score,CUI,Preferred_STR,Preferred_TTY
ranmark,ranmark,bran,77.14285714285715,C0353942,bran,IN
ranmark subcutaneous injection 120mg,ranmark subcutaneous 120mg,10 ml immune globulin subcutaneous human - hipp 16 5 1 65 gm per 10 ml,85.5,C5136878,10 ML immune globulin subcutaneous (human) - hipp 16.5 % (1.65 GM per 10 ML) Injection,SY
rapiacta,rapiacta,aceta,80.0,C0718194,Aceta,BN
rapifen 00109201,rapifen 00109201,alfentanil 0 1 mg/ml injectable rapifen concentrate,85.5,C0360775,alfentanil 0.1 MG/ML Injectable Solution [Rapifen Concentrate],SBD
rasilez,rasilez,caryocar brasiliense fruit oil,77.14285714285715,C3818737,caryocar brasiliense fruit oil,IN
rasuritek,rasuritek,azurite,75.0,C5449994,azurite,IN
rasuritek 15mg,rasuritek 15mg,15 mg,80.0,C1617715,potassium bromide 15 MG,SCDC
ravonal,ravonal,gravol,76.92307692307692,C1569379,Gravol,BN
readicat2,readicat2,urea,77.14285714285715,C0041942,urea,IN
rebamipide,rebamipide,bamipine,77.77777777777779,C0052946,bamipine,IN
recombinant human growth hormone rhgh,recombinant human growth hormone rhgh,0 5 ml asparaginase erwinia chrysanthemi recombinant -rywn 20 mg/ml,85.5,C5540557,0.5 ML asparaginase Erwinia chrysanthemi (recombinant)-rywn 20 MG/ML Injection,SCD
recombinant human interferon alpha 1b,recombinant human interferon alpha 1b,0 2 ml interferon alfa-2b 25000000 unt/ml prefilled syringe,85.5,C2702258,0.2 ML interferon alfa-2b 25000000 UNT/ML Prefilled Syringe,SCD
recombinant human interferon alpha 2b,recombinant human interferon alpha 2b,0 2 ml interferon alfa-2b 25000000 unt/ml prefilled syringe,85.5,C2702258,0.2 ML interferon alfa-2b 25000000 UNT/ML Prefilled Syringe,SCD
recombinant human interferon beta2b,recombinant human interferon beta2b,recombinant interferon beta-1b,86.15384615384616,C0244714,recombinant interferon beta-1b,PIN
recombinant human interleukin 2 unspecified,recombinant human interleukin 2 unspecified,/ monobasic oral k-phos no 2,85.5,C1711615,"potassium phosphate / sodium phosphate, monobasic Oral Tablet [K-Phos No 2]",SBDF
reductospezial,reductospezial,redux,80.0,C0728749,Redux,BN
refacto af,refacto af,acetaminophen 500 mg anacin af,85.5,C1604252,acetaminophen 500 MG [Anacin AF],SBDC
refixia nonacog beta pegol,refixia nonacog beta pegol,0 1 ml avacincaptad pegol 20 mg/ml izervay,85.5,C5834443,0.1 ML avacincaptad pegol 20 MG/ML Injection [Izervay],SBD
refresh plus,refresh plus,1 plus 1 f clioquinol 3 / hydrocortisone 1 / pramoxine 1 topical,85.5,C0710925,1 Plus 1 F (clioquinol 3 % / hydrocortisone 1 % / pramoxine hydrochloride 1 % ) Topical Cream,SY
regaine frauen 2,regaine frauen 2,/ monobasic oral k-phos no 2,85.5,C1711615,"potassium phosphate / sodium phosphate, monobasic Oral Tablet [K-Phos No 2]",SBDF
regen cov,regen cov,regen-cov,88.88888888888889,C5443211,Regen-Cov,BN
regular insulinns 100ml 1 unitml compounded uh pharmacy,regular insulinns 100ml 1 unitml compounded uh pharmacy,/ / / oxybates 0 5 gm in 1 ml oral,85.5,C5399300,calcium / magnesium / potassium / sodium oxybates 0.5 GM in 1 mL Oral Solution,PSN
reguneal hca,reguneal hca,hydrocortisone 0 005 mg/mg orabase hca,85.5,C1590126,hydrocortisone 0.005 MG/MG [Orabase HCA],SBDC
reminyl,reminyl,retinyl linoleate,77.14285714285715,C0626252,retinyl linoleate,IN
remsima,remsima,remimazolam,83.07692307692308,C3179470,remimazolam,IN
renivace,renivace,ovace,80.0,C1170488,Ovace,BN
replagal,replagal,relagard 0 9 / 0 025 vaginal gel,77.14285714285715,C1586060,Relagard 0.9 % / 0.025 % Vaginal Gel,PSN
repriman,repriman,repan,76.92307692307692,C0723027,Repan,BN
resprim forte,resprim forte,1 7 ml epinephrine 0 005 mg/ml / prilocaine 40 mg/ml cartridge citanest forte,85.5,C0708810,1.7 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge [Citanest Forte],SBD
reumaflex 00113802,reumaflex 00113802,fluex,76.0,C0720474,Fluex,BN
rfviiifc,rfviiifc,rfd,72.0,C2927794,RFD,BN
rilmazafone,rilmazafone,trilafon,73.6842105263158,C0699490,Trilafon,BN
rimatil,rimatil,ampicillin 50 mg/ml oral rimacillin,77.14285714285715,C0355887,ampicillin 50 MG/ML Oral Suspension [Rimacillin],SBD
rimifon,rimifon,primidone 125 mg,77.14285714285715,C1131155,primidone 125 MG,SCDC
rinlaxer,rinlaxer,axert,80.0,C0939679,Axert,BN
rispolept,rispolept,oris,77.14285714285715,C2369738,Oris,BN
rispolept consta,rispolept consta,risperdal consta 12 5 mg,85.5,C1948879,RisperDAL CONSTA 12.5 MG Injection,PSN
rixathon,rixathon,riax,77.14285714285715,C3667567,Riax,BN
romiplate,romiplate,nplate,81.81818181818181,C2364485,Nplate,BN
roxadustat,roxadustat,tact,77.14285714285715,C5239612,Tact,BN
rp103,rp103,norocarp 100 mg oral,72.0,C2608412,Norocarp 100 MG Oral Tablet,SY
rubifen,rubifen,rufen,83.33333333333334,C0699206,Rufen,BN
rubifen 00083802,rubifen 00083802,iofen,76.0,C1170352,Iofen,BN
reampla,reampla,lidocream plus 4 topical,77.14285714285715,C5578225,Lidocream Plus 4 % Topical Cream,SY
relvar ellipta,relvar ellipta,anoro ellipta 62 5/25 mcg/inhal dry powder inhaler 30 blisters,85.5,C3700427,"ANORO Ellipta 62.5/25 MCG/INHAL Dry Powder Inhaler, 30 Blisters",PSN
rinolan sirup,rinolan sirup,afrinol,75.00000000000001,C0718296,Afrinol,BN
rocephalin,rocephalin,rocephin,88.88888888888889,C0035750,Rocephin,BN
s1,s1,/ peptones,60.00000000000001,C2194026,magnesium sulfate / peptones,MIN
s1taiho,s1taiho,stichopus sea cucumber,69.23076923076923,C4051115,stichopus sea cucumber,IN
s2,s2,s-2,80.0,C2722359,S-2,BN
sabrilex,sabrilex,sabril,85.71428571428572,C0592085,Sabril,BN
salamol,salamol,calmol,76.92307692307692,C3160702,Calmol,BN
saline 00075401,saline 00075401,ayr saline nasal 0 65 nasal,85.5,C0714055,Ayr Saline Nasal 0.65 % Nasal Solution,SY
samtirel,samtirel,saltaire,75.0,C2939820,SaltAire,BN
sandimmun ciclosporin,sandimmun ciclosporin,cyclosporine sandimmune,86.36363636363636,C4074505,cycloSPORINE Injection [SandIMMUNE],TMSY
sandoglobulin nf,sandoglobulin nf,digex nf 0 0625 mg / 15 mg oral,85.5,C2586860,Digex NF 0.0625 MG / 15 MG Oral Capsule,PSN
sandoglobulina,sandoglobulina,anti-d rh immunoglobulin,75.00000000000001,C0073188,anti-D (Rh) immunoglobulin,SY
sanglopor,sanglopor,angophora costata whole extract,74.11764705882352,C4764770,Angophora costata whole extract,IN
sauerstoff,sauerstoff,aquest,75.00000000000001,C0718641,Aquest,BN
sawacillin,sawacillin,aquacillin,80.0,C0308345,Aquacillin,BN
saxizon,saxizon,axiron,76.92307692307692,C2961759,Axiron,BN
sb497115,sb497115,15n,72.0,C5401580,sodium nitrate 15N,PIN
scandicaine,scandicaine,zcaine,81.81818181818181,C3464675,Zcaine,BN
scopoderm tts,scopoderm tts,proderm,77.14285714285715,C0876136,Proderm,BN
selenica r,selenica r,3 ml humulin r 500 unt/ml pen injector,85.5,C4073907,3 ML HumuLIN R 500 UNT/ML Pen Injector,TMSY
selenio kabi 40 mcg ml,selenio kabi 40 mcg ml,/ / / oxybates 0 5 gm in 1 ml oral,85.5,C5399300,calcium / magnesium / potassium / sodium oxybates 0.5 GM in 1 mL Oral Solution,PSN
sempera,sempera,sempervivum tectorum leaf extract,83.07692307692308,C3486819,Sempervivum tectorum leaf extract,IN
serenase,serenase,serenace,87.5,C0592109,Serenace,BN
sertralin krka,sertralin krka,sertraline oral,82.75862068965517,C1247937,sertraline Oral Capsule,SCDF
setofilm,setofilm,lmx,72.0,C2938202,LMX,BN
sevofluran baxter 100 v ske til inhalasjonsdamp,sevofluran baxter 100 v ske til inhalasjonsdamp,sevoflurane,85.71428571428571,C0074414,sevoflurane,IN
sevoflurano 100 baxter,sevoflurano 100 baxter,sevoflurane,85.71428571428571,C0074414,sevoflurane,IN
sevoness,sevoness,scenesse,75.0,C4508893,Scenesse,BN
sevoran,sevoran,sevoflurane,77.77777777777779,C0074414,sevoflurane,IN
shakuyakukanzoto,shakuyakukanzoto,zoton,80.0,C0592289,Zoton,BN
shuang huang lian,shuang huang lian,anx,72.0,C0718606,Anx,BN
shuanghuanglian,shuanghuanglian,anx,72.0,C0718606,Anx,BN
shufeng jiedu,shufeng jiedu,rufen,72.0,C0699206,Rufen,BN
siilif,siilif,diospyros mespiliformis leaf extract,75.00000000000001,C4056446,Diospyros mespiliformis leaf extract,IN
sildenal,sildenal,sildenafil,88.88888888888889,C0529793,sildenafil,IN
similac,similac,flac,77.14285714285715,C4553330,Flac,BN
sintilimab,sintilimab,sutimlimab,80.0,C4727016,sutimlimab,IN
sitafloxacin,sitafloxacin,besifloxacin,83.33333333333334,C2351042,besifloxacin,IN
sm13496,sm13496,ismo,60.00000000000001,C0699156,Ismo,BN
smectite,smectite,methitest 10 mg oral,72.0,C1585365,METHITEST 10 MG Oral Tablet,PSN
smxtmp,smxtmp,5 ml smx 80 mg/ml / tmp 16 mg/ml,71.25,C4281888,5 ML SMX 80 MG/ML / TMP 16 MG/ML Injection,SY
smyraf,smyraf,myrac,72.72727272727273,C1588969,Myrac,BN
smztmp,smztmp,mzm,66.66666666666667,C0721501,MZM,BN
sod chl 7 nebulizer solutin,sod chl 7 nebulizer solutin,0 25 ml somatropin 7 2 mg/ml prefilled syringe,85.5,C0939177,0.25 ML somatropin 7.2 MG/ML Prefilled Syringe,SCD
sodglycerphosp,sodglycerphosp,65 mg oral as glycerophosphate,77.14285714285715,C1735659,"calcium 65 MG Oral Tablet, as calcium glycerophosphate",PSN
sodglycerphosp 216,sodglycerphosp 216,20 ml glycerophosphate 216 mg/ml,85.5,C3644002,20 ML sodium glycerophosphate 216 MG/ML Injection,SCD
sodio cloruro 09 baxter,sodio cloruro 09 baxter,0 09 ml macugen 3 33 mg/ml prefilled syringe,85.5,C2938116,0.09 ML Macugen 3.33 MG/ML Prefilled Syringe,SY
solacy,solacy,benzoyl peroxide 50 mg/ml epsolay,81.81818181818181,C5672027,benzoyl peroxide 50 MG/ML [Epsolay],SBDC
solanax,solanax,solganal,80.0,C0728786,Solganal,BN
solumedrone,solumedrone,solu-medrol,81.81818181818181,C0701466,SOLU-Medrol,TMSY
solupred 00016217,solupred 00016217,soluprep,84.0,C5778307,Soluprep,BN
solutrast,solutrast,lustra,75.00000000000001,C0721466,Lustra,BN
soluvit n amp,soluvit n amp,/ dibasic / monobasic oral vis-phos n,85.5,C1878765,"potassium phosphate / sodium phosphate, dibasic / sodium phosphate, monobasic Oral Tablet [Vis-Phos N]",SBDF
somophyllin,somophyllin,podophyllin,81.81818181818181,C0032333,podophyllin,IN
sonovue,sonovue,somnote,71.42857142857143,C1170615,Somnote,BN
soriclar,soriclar,claro,80.0,C4058805,Claro,BN
sortis,sortis,comfortis,81.81818181818181,C2740507,Comfortis,BN
sourcecf,sourcecf,dental resources 1 64 mouthwash,68.4,C1691874,Dental Resources 1.64 % Mouthwash,PSN
sovriad,sovriad,soriatane 10 mg oral,75.00000000000001,C0716041,Soriatane 10 MG Oral Capsule,SY
speciafoldine 5 mg comprim,speciafoldine 5 mg comprim,0 1 ml glucagon 5 mg/ml auto-injector gvoke,85.5,C5207114,0.1 ML glucagon 5 MG/ML Auto-Injector [Gvoke],SBD
spidifen,spidifen,iofen,80.0,C1170352,Iofen,BN
spiolto,spiolto,stiolto,85.71428571428572,C4026109,Stiolto,BN
spiolto respimat,spiolto respimat,spiriva respimat 1 25 mcg as tiotropium 1 562 mcg per actuat metered dose inhalation 28 actuat,85.5,C4056420,"Spiriva Respimat 1.25 MCG (as tiotropium bromide 1.562 MCG) per ACTUAT Metered Dose Inhalation Spray, 28 ACTUAT",SY
spregal,spregal,pregabalin 100 mg,75.00000000000001,C1657673,pregabalin 100 MG,SCDC
spy agent green,spy agent green,avar-e green 10 / 5 topical,85.5,C1329657,Avar-e Green (10 % / 5 % ) Topical Cream,SY
standacillin 00000503,standacillin 00000503,nafcillin,80.0,C0027324,nafcillin,IN
standardized bermuda grass,standardized bermuda grass,anthoxanthum odoratum grass pollen extract 10 000 bau/ml injectable,85.5,C2684330,"Anthoxanthum odoratum grass pollen extract 10,000 BAU/ML Injectable Solution",SY
staquis,staquis,saquinavir 200 mg,75.00000000000001,C0992900,saquinavir 200 MG,SCDC
steroids nos,steroids nos,nose,77.14285714285715,C0991524,Nose Drops,ET
steronase aq,steronase aq,chlorite 43 mg/ml sentry aq mardel maracyn-oxy,85.5,C2917633,sodium chlorite 43 MG/ML [Sentry AQ Mardel Maracyn-Oxy],SBDC
sti571,sti571,slt,72.0,C0723177,SLT,BN
subcutaneous immunoglobulin,subcutaneous immunoglobulin,1 1 25 ml hyaluronidase human recombinant 160 unt/ml / 1 25 ml immunoglobulin g human 100 mg/ml pack,85.5,C3856154,"{1 (1.25 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (25 ML immunoglobulin G, human 100 MG/ML Injection) } Pack",GPCK
suglat,suglat,0 5 ml atropine sulfate 0 8 mg/ml,75.00000000000001,C4048338,0.5 ML atropine sulfate 0.8 MG/ML Injection,SCD
suiny,suiny,100 ml insulin regular human 1 unt/ml,72.0,C5188230,"100 ML insulin, regular, human 1 UNT/ML Injection",SCD
sulbacillin japan,sulbacillin japan,a-cillin,79.8,C0718137,A-Cillin,BN
sulfametoxazoltrimetoprim,sulfametoxazoltrimetoprim,sulfamethoxazole / trimethoprim,89.28571428571429,C0041044,sulfamethoxazole / trimethoprim,MIN
sulfotrim,sulfotrim,sulfatrim,88.88888888888889,C0723514,Sulfatrim,BN
sulfotrim 00086101,sulfotrim 00086101,sulfatrim,80.0,C0723514,Sulfatrim,BN
sulfotrim 01680801,sulfotrim 01680801,sulfatrim,80.0,C0723514,Sulfatrim,BN
sulphasalazine,sulphasalazine,sulfasalazine,88.88888888888889,C0036078,sulfasalazine,IN
sumamed forte,sumamed forte,1 7 ml epinephrine 0 005 mg/ml / prilocaine 40 mg/ml cartridge citanest forte,85.5,C0708810,1.7 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge [Citanest Forte],SBD
sumamed forte sirup,sumamed forte sirup,1 7 ml epinephrine 0 005 mg/ml / prilocaine 40 mg/ml cartridge citanest forte,85.5,C0708810,1.7 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge [Citanest Forte],SBD
sunvepra,sunvepra,apra,77.14285714285715,C0718617,Apra,BN
supracain,supracain,suprax,81.81818181818181,C0678177,Suprax,BN
suprarenin,suprarenin,suprax,81.81818181818181,C0678177,Suprax,BN
surepost,surepost,surem,80.0,C1263605,Surem,BN
surgicel,surgicel,betadine surgical scrub 7 5 medicated liquid soap,78.75,C0714083,Betadine Surgical Scrub 7.5 % Medicated Liquid Soap,SY
sycrest,sycrest,crest,83.33333333333334,C2948667,Crest,BN
synthamin,synthamin,xyntha,75.00000000000001,C2342443,Xyntha,BN
syntocinon,syntocinon,neon,77.14285714285715,C0027608,neon,IN
salbutamol sulphate nebuliser solution,salbutamol sulphate nebuliser,akten,72.0,C2369991,Akten,BN
sayana,sayana,agave sisalana fiber extract,75.00000000000001,C2701132,Agave sisalana fiber extract,SY
sedoz,sedoz,12 risedronate 35 mg oral pack,72.0,C2724580,{12 (risedronate sodium 35 MG Oral Tablet) } Pack,GPCK
selara 25mg,selara 25mg,androgel 1 25mg / 2 5gm transdermal gel,85.5,C3853713,AndroGel 1 % (25MG / 2.5GM) Transdermal Gel,PSN
septanest 40 mgml adr nalin e au 1200000,septanest 40 mgml adr nalin e au 1200000,0 05 ml eylea 40 mg/ml,85.5,C3248029,0.05 ML Eylea 40 MG/ML Injection,SY
serenata,serenata,aristolochia serpentaria root extract,78.75,C3692541,Aristolochia serpentaria root extract,IN
seretide 50mcg100mcg,seretide 50mcg100mcg,secretin,77.14285714285715,C0036534,secretin,IN
seretide 50mcg250mcg,seretide 50mcg250mcg,secretin,77.14285714285715,C0036534,secretin,IN
shiomarin,shiomarin,homarine,82.35294117647058,C0062921,homarine,IN
silece,silece,125 ml lifileucel 576000000 cells/ml,75.00000000000001,C5888638,125 ML lifileucel 576000000 CELLS/ML Injection,SCD
sutene,sutene,sutent,83.33333333333334,C1698963,Sutent,BN
synacten,synacten,cosyntropin 1 mg/ml injectable synacthen depot,78.75,C0351077,cosyntropin 1 MG/ML Injectable Solution [Synacthen Depot],SBD
tak 924 pevonedistat,tak 924 pevonedistat,diastat,83.07692307692308,C0719881,Diastat,BN
takecab,takecab,lta,72.0,C2729610,LTA,BN
takecab tablets 20mg,takecab 20mg,20 mg,80.0,C1133516,potassium 20 MG,SCDC
takepron capsules 15,takepron 15,0 15 ml methotrexate 50 mg/ml auto-injector,85.5,C3847976,0.15 ML methotrexate 50 MG/ML Auto-Injector,SCD
takepron capsules 30,takepron 30,0 25 ml eligard 30 mg/ml prefilled syringe,85.5,C1615783,0.25 ML Eligard 30 MG/ML Prefilled Syringe,SY
takepron od tablets 15,takepron od 15,0 15 ml methotrexate 50 mg/ml auto-injector,85.5,C3847976,0.15 ML methotrexate 50 MG/ML Auto-Injector,SCD
takepron od tablets 30,takepron od 30,0 25 ml eligard 30 mg/ml prefilled syringe,85.5,C1615783,0.25 ML Eligard 30 MG/ML Prefilled Syringe,SY
talgesil,talgesil,talc,77.14285714285715,C0039267,talc,IN
tanreqing herbals,tanreqing herbals,herbalgy,73.28571428571429,C3268097,Herbalgy,BN
tareg,tareg,gemtuzumab ozogamicin 1 mg/ml mylotarg,80.0,C1592324,gemtuzumab ozogamicin 1 MG/ML [Mylotarg],SBDC
targeted botulinum toxin,targeted botulinum toxin,botulinum neurotoxin a immune fab2 equine,85.5,C4059106,"botulinum neurotoxin A immune FAB2, equine",PIN
targosid,targosid,targocid,87.5,C0678137,Targocid,BN
tarivid 00731801,tarivid 00731801,hivid,76.0,C0678123,Hivid,BN
tartriakson,tartriakson,cartia,75.00000000000001,C1577475,Cartia,BN
tas 102,tas 102,bismuth subsalicylate 102 mg,85.5,C1177247,bismuth subsalicylate 102 MG,SCDC
tasectan,tasectan,tabrecta,75.0,C5244866,Tabrecta,BN
tasmolin,tasmolin,ethamolin,82.35294117647058,C0728740,Ethamolin,BN
tazidif,tazidif,tazidime 200 mg/ml injectable,83.07692307692308,C0707500,Tazidime 200 MG/ML Injectable Solution,SY
tc99m mertiatide,tc99m mertiatide,betiatide,80.0,C0672188,betiatide,SY
technescan hdp,technescan hdp,escin,72.0,C0014838,escin,IN
tegaderm,tegaderm,theraderm,82.35294117647058,C1262761,Theraderm,BN
temozolamide teva,temozolamide teva,temozolomide temodar,81.08108108108108,C4060219,temozolomide Injection [Temodar],SBDF
tenelia,tenelia,zenrelia,80.0,C5943755,Zenrelia,BN
tenodal,tenodal,chenodeoxycholate 250 mg chenodal,83.07692307692308,C2724596,chenodeoxycholate 250 MG [Chenodal],SBDC
ternelin,ternelin,qtern,80.0,C4476038,Qtern,BN
tetrabik,tetrabik,tetrabenazine,77.14285714285715,C0039623,tetrabenazine,IN
tetramide,tetramide,stearamide,84.21052631578947,C4018264,stearamide,IN
therapeutic radiopharmaceuticals,therapeutic radiopharmaceuticals,2 20 ml iodine-131-tositumomab 1 1 mg/ml injectable / 2 16 1 ml tositumomab 14 mg/ml injectable pack bexxar therapeutic packaging,85.5,C1964812,{2 (20 ML) (iodine-131-tositumomab 1.1 MG/ML Injectable Solution) / 2 (16.1 ML) (tositumomab 14 MG/ML Injectable Solution) } Pack [Bexxar Therapeutic Packaging],BPCK
therarubicin,therarubicin,cubicin,83.07692307692308,C1330170,Cubicin,BN
thiopentone 00053401,thiopentone 00053401,thiopental,80.0,C0039925,thiopental,IN
thrombomodulin alfa recombinant,thrombomodulin alfa recombinant,0 3 ml darbepoetin alfa 0 2 mg/ml prefilled syringe,85.5,C1319772,0.3 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe,SCD
thymoclorubin,thymoclorubin,thymol,81.81818181818181,C0040096,thymol,IN
thymosin,thymosin,chymosin,87.5,C0035100,chymosin,IN
thymosin alpha 1,thymosin alpha 1,/ / / oxybates 0 5 gm in 1 ml oral,85.5,C5399300,calcium / magnesium / potassium / sodium oxybates 0.5 GM in 1 mL Oral Solution,PSN
thyradin s,thyradin s,2-bromobutane s -,85.5,C0954395,"2-bromobutane, (S)-",PIN
timoglobulina,timoglobulina,thymoglobulin,84.61538461538461,C0730920,Thymoglobulin,BN
tiothepa,tiothepa,thiotepa,87.5,C0039871,thiotepa,IN
tissucol,tissucol,oil,72.0,C1947940,Oil,DF
tissucol immuno,tissucol immuno,artiss,72.0,C2348674,Artiss,BN
tmc207,tmc207,accuretic 20 mg / 12 5 mg oral,60.00000000000001,C0875839,Accuretic 20 MG / 12.5 MG Oral Tablet,PSN
tmpsmx,tmpsmx,lmx,72.0,C2938202,LMX,BN
tmz tetramisole,tmz tetramisole,ergamisol,80.0,C0720260,Ergamisol,BN
tofogliflozin,tofogliflozin,zein,77.14285714285715,C0043458,zein,IN
toledomin,toledomin,dormin,81.81818181818181,C0701996,Dormin,BN
tolterodina 2796a,tolterodina 2796a,tolterodine,85.71428571428571,C0388753,tolterodine,IN
topalgic,topalgic,palgic,85.71428571428572,C1330456,Palgic,BN
topamac,topamac,topamax,85.71428571428572,C0723778,Topamax,BN
topimax,topimax,optimax,85.71428571428572,C0591911,Optimax,BN
topimax 01201701,topimax 01201701,optimax,78.92307692307692,C0591911,Optimax,BN
topiramato 25 mg comprimidos,topiramato 25 mg comprimidos,0 25 mg,85.5,C1371183,magnesium phosphate 0.25 MG,SCDC
topiroxostat,topiroxostat,orostat,77.14285714285715,C1590044,Orostat,BN
toplexil oxomemazine,toplexil oxomemazine,almazine,77.14285714285715,C1254036,Almazine,BN
topotecin,topotecin,topotecan,88.88888888888889,C0146224,topotecan,IN
toreal,toreal,aflibercept 2 mg per 0 05 ml intravitreal,81.81818181818181,C3248024,aflibercept 2 MG per 0.05 ML Intravitreal Injection,SY
tosufloxacin,tosufloxacin,ofloxacin,85.71428571428572,C0028902,ofloxacin,IN
tosufloxacin tosylate,tosufloxacin tosylate,10 ml bretylium tosylate 50 mg/ml,85.5,C5187669,10 ML bretylium tosylate 50 MG/ML Injection,SCD
total parenteral nutrition,total parenteral nutrition,16 selinexor 20 mg oral xpovio pack xpovio 40 mg twice weekly 80 mg total weekly dose carton,85.5,C5389981,{16 (selinexor 20 MG Oral Tablet [Xpovio]) } Pack [Xpovio 40 MG Twice Weekly (80 MG total weekly dose) Carton],BPCK
trace elements ped,trace elements ped,chromous chloride / copper / manganese chloride / zinc chloride injectable trace metal,85.5,C1237075,chromous chloride / copper sulfate / manganese chloride / zinc chloride Injectable Solution [Trace metal],SBDF
tradiance,tradiance,triadine,82.35294117647058,C2945893,Triadine,BN
traditional chinese medicine,traditional chinese medicine,bismuth subsalicylate 105 mg/ml oral percy medicine,85.5,C2940081,bismuth subsalicylate 105 MG/ML Oral Suspension [Percy Medicine],SBD
tramal od,tramal od,triam,80.0,C2962267,Triam,BN
tramal tropfen,tramal tropfen,triam,80.0,C2962267,Triam,BN
tramcet,tramcet,triacet,85.71428571428572,C0723855,Triacet,BN
transamin,transamin,transanosil 0 025 / 10 / 30 topical lotion,78.75,C3666172,TRANSANOSIL 0.025 % / 10 % / 30 % Topical Lotion,PSN
travelmin 00517301,travelmin 00517301,travenol,77.14285714285715,C1612456,Travenol,BN
trazenta,trazenta,tradjenta,82.35294117647058,C3153996,Tradjenta,BN
treakisym,treakisym,atreza,72.0,C1602579,Atreza,BN
trenantone,trenantone,nacton,75.00000000000001,C0591839,Nacton,BN
trereif,trereif,teriflunomide,75.00000000000001,C1718383,teriflunomide,IN
trerief,trerief,teriflunomide,75.00000000000001,C1718383,teriflunomide,IN
tri vitamin with fl 025mg compounded,tri vitamin with fl 025mg compounded,/ vitamin b12,85.5,C2928778,calcium phosphate / vitamin B12,MIN
tri476,tri476,14 ml tecentriq 60 mg/ml,60.00000000000001,C4762755,14 ML Tecentriq 60 MG/ML Injection,SY
triaminic childrens night time cold and cough,triaminic childrens night time cold and cough,1 0 18 oz benzocaine 7 5 oral gel orajel / 1 0 18 oz benzocaine 10 oral gel orajel pack orajel daytime and nighttime formula,85.5,C2961755,{1 (0.18 OZ) (benzocaine 7.5 % Oral Gel [Orajel]) / 1 (0.18 OZ) (benzocaine 10 % Oral Gel [Orajel]) } Pack [Orajel Daytime and Nighttime Formula],SY
trihexfenidyl nonspecific,trihexfenidyl nonspecific,trihexyphenidyl,77.14285714285715,C0041009,trihexyphenidyl,IN
tronoxal,tronoxal,doxal,80.0,C1601830,Doxal,BN
tsumura daikenchuto,tsumura daikenchuto,urea,73.28571428571429,C0041942,urea,IN
tubertest,tubertest,crest,72.0,C2948667,Crest,BN
tucidinostat,tucidinostat,fucidin,77.14285714285715,C0591547,Fucidin,BN
tummy care max,tummy care max,acetaminophen / aspirin / caffeine oral arthriten max,85.5,C4522627,acetaminophen / aspirin / caffeine Oral Tablet [Arthriten Max],SBDF
tussidane,tussidane,tussin,81.81818181818181,C3692511,Tab Tussin,BN
tavor expidet,tavor expidet,stavzor,75.00000000000001,C2356549,Stavzor,BN
telavic,telavic,elavil,76.92307692307692,C0087119,Elavil,BN
thacapzol,thacapzol,ezol,77.14285714285715,C0720359,Ezol,BN
topsaver,topsaver,toposar,80.0,C0723782,Toposar,BN
trihexphenydyl,trihexphenydyl,trihexyphenidyl,89.65517241379311,C0041009,trihexyphenidyl,IN
udca,udca,dca,85.71428571428572,C0600203,DCA,SY
ultratechnekow,ultratechnekow,ultram,81.81818181818181,C0724054,Ultram,BN
ultratechnekow v4,ultratechnekow v4,ultram,81.81818181818181,C0724054,Ultram,BN
ultratag rbc,ultratag rbc,ultram,81.81818181818181,C0724054,Ultram,BN
umatrope 6mg,umatrope 6mg,humatrope 5 mg,84.61538461538461,C1965147,Humatrope 5 MG Injection,SY
umifenovir,umifenovir,norvir,81.81818181818181,C0678152,Norvir,BN
umuline,umuline,humulin,85.71428571428572,C3538423,HumuLIN,TMSY
unalfa,unalfa,0 5 ml follitropin alfa 600 unt/ml pen injector,75.00000000000001,C2683937,0.5 ML follitropin alfa 600 UNT/ML Pen Injector,SCD
unalfa 010 microgrammes solution buvable en gouttes,unalfa 010 microgrammes buvable en gouttes,salazopyrin en,85.5,C0592089,Salazopyrin EN,BN
un alfa,un alfa,0 3 ml darbepoetin alfa 0 2 mg/ml prefilled syringe,85.5,C1319772,0.3 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe,SCD
unacid,unacid,uracid,83.33333333333334,C1813607,Uracid,BN
unifol 00700101,unifol 00700101,nufol,72.0,C2346263,NuFol,BN
unknown drug,unknown drug,3 bupivacaine 100 mg drug implant pack,85.5,C5400570,{3 (bupivacaine hydrochloride 100 MG Drug Implant) } Pack,GPCK
unspecified granulocytecolonystimulating factors,unspecified granulocytecolonystimulating factors,cod unspecified preparation,85.5,C3488428,"cod, unspecified preparation",IN
