raw_drug,query,matched_str,score,CUI,Preferred_STR,Preferred_TTY
gynokadin gel estradiol,gynokadin gel estradiol,gynol ii extra strength 3 vaginal gel,85.5,C1996485,GYNOL II Extra Strength 3 % Vaginal Gel,PSN
glycyron,glycyron,glyburide 1 5 mg glycron,84.0,C1591818,glyburide 1.5 MG [Glycron],SBDC
hp acthar,hp acthar,hp 502,85.5,C3644660,HP 502,BN
haemophilus b conjugate vaccine nos,haemophilus b conjugate vaccine nos,haemophilus b conjugate vaccine meningococcal protein conjugate 0 5 ml,85.97014925373134,C0875554,Haemophilus b conjugate vaccine (meningococcal protein conjugate) 0.5 ML Injection,SY
haldolin,haldolin,haldol,85.71428571428572,C0591585,Haldol,BN
hct dexcel,hct dexcel,hctz 12 5 mg / olmesartan medoxomil 20 mg oral benicar hct,85.5,C1329760,HCTZ 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Benicar HCT],SY
heliox,heliox,heliotropine butane-2 3-diol acetal,81.81818181818181,C5423728,"heliotropine butane-2,3-diol acetal",IN
hemo8r,hemo8r,hemorid 0 25 / 1 rectal,81.81818181818181,C1169437,Hemorid Cream 0.25 % / 1 % Rectal Cream,PSN
high concentration sodium phosphates fresenius kabi usa llc,high concentration sodium phosphates fresenius kabi usa llc,high fructose corn,85.5,C2981326,high fructose corn syrup,IN
holoxan 1000 mg poudre pour solution injectable,holoxan 1000 mg poudre pour injectable,hold dm 5 mg oral lozenge,85.5,C0712660,Hold DM 5 MG Oral Lozenge,SY
holoxan 2000 mg poudre pour usage parent ral,holoxan 2000 mg poudre pour usage parent ral,hold dm 5 mg oral lozenge,85.5,C0712660,Hold DM 5 MG Oral Lozenge,SY
human clostridium tetani toxoid immune globulin,human clostridium tetani toxoid immune globulin,human actrapid,85.5,C0592572,Human Actrapid,BN
human coagulation factor viii rdna,human coagulation factor viii rdna,human actrapid,85.5,C0592572,Human Actrapid,BN
human coagulation factor viiivon willebrand factor complex,human coagulation factor viiivon willebrand factor complex,human actrapid,85.5,C0592572,Human Actrapid,BN
human cytomegalovirus immune globulin,human cytomegalovirus immune globulin,human actrapid,85.5,C0592572,Human Actrapid,BN
human factor viii,human factor viii,human actrapid 100 unt/ml injectable,85.5,C0590232,Human Actrapid 100 UNT/ML Injectable Solution,SY
human factor xiii inn,human factor xiii inn,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin,human immunoglobulin,human actrapid 100 unt/ml injectable,85.5,C0590232,Human Actrapid 100 UNT/ML Injectable Solution,SY
human immunoglobulin nc immunoglobulin human normal,human immunoglobulin nc immunoglobulin human normal,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin ph4,human immunoglobulin ph4,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin g,human immunoglobulin g,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin ghyaluronidase recombinant human,human immunoglobulin ghyaluronidase recombinant human,human actrapid,85.5,C0592572,Human Actrapid,BN
human normal immunoglobulin,human normal immunoglobulin,human actrapid,85.5,C0592572,Human Actrapid,BN
human normal immunoglobulin iv,human normal immunoglobulin iv,human actrapid,85.5,C0592572,Human Actrapid,BN
human normal immunoglobulin iv tradename unknown,human normal immunoglobulin iv tradename unknown,human actrapid,85.5,C0592572,Human Actrapid,BN
humate p,humate p,humate-p,87.5,C0086428,Humate-P,BN
hydrochloorthiazide drank 05mgml,hydrochloorthiazide drank 05mgml,hydrochlorothiazide,85.26315789473685,C0020261,hydrochlorothiazide,IN
hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,hydone formula liquid 5/300 hydrocodone / guaiacolsulfonate per 5 ml oral,85.5,C1585874,Hydone Formula Liquid 5/300 (hydrocodone / guaiacolsulfonate) per 5 ML Oral Solution,SY
hydroxine,hydroxine,hydroxide,88.88888888888889,C0006701,calcium hydroxide,IN
hypnorex retard,hypnorex retard,hypolar retard 20 oral product,85.5,C3230657,Hypolar Retard 20 Oral Product,SBDG
hytacand,hytacand,hytan,80.0,C1699165,HyTan,BN
horizon,horizon,horizant,80.0,C3152640,Horizant,BN
human coagulation factor viii recombinant unspecified,human coagulation factor viii recombinant unspecified,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin generic,human immunoglobulin generic,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin inn,human immunoglobulin inn,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin nc,human immunoglobulin nc,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin noncompany,human immunoglobulin noncompany,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin iv inn,human immunoglobulin iv inn,human actrapid,85.5,C0592572,Human Actrapid,BN
human immunoglobulin iv bmw generic,human immunoglobulin iv bmw generic,human actrapid,85.5,C0592572,Human Actrapid,BN
hydrocodone and acetaminophen,hydrocodone and acetaminophen,hydone formula liquid 5/300 hydrocodone / guaiacolsulfonate per 5 ml oral,85.5,C1585874,Hydone Formula Liquid 5/300 (hydrocodone / guaiacolsulfonate) per 5 ML Oral Solution,SY
hydromorphone hcl similar to 19892,hydromorphone hcl similar to 19892,hydralazine hcl 100 mg / hydrochlorothiazide 50 mg oral,85.5,C0977499,hydrALAZINE HCl 100 MG / hydroCHLOROthiazide 50 MG Oral Capsule,PSN
ifosphamide,ifosphamide,ifosfamide,85.71428571428572,C0020823,ifosfamide,IN
imeth,imeth,imetelstat,80.0,C2746063,imetelstat,IN
immune globulin human,immune globulin human,immunoglobulin a human,88.37209302325581,C2825347,"immunoglobulin A, human",PIN
immune globulin immunoglobulins nos,immune globulin immunoglobulins nos,immune globulin intravenous human - ifas 10 in 100 ml,85.5,C4734988,immune globulin intravenous (human) - ifas 10 % in 100 ML Injection,PSN
immune globulin nos,immune globulin nos,immune globulin intravenous human - ifas,85.5,C4734962,immune globulin intravenous (human) - ifas,PIN
immunglobulin,immunglobulin,immunoglobulin a,89.65517241379311,C0020835,immunoglobulin A,IN
immunglobulin immunoglobulin human normal,immunglobulin immunoglobulin human normal,immune globulin subcutaneous human - hipp 16 5 1 65 gm in 10 ml,85.5,C5136878,immune globulin subcutaneous (human) - hipp 16.5 % (1.65 GM in 10 mL) Injection,PSN
immunine coagulation factor ix human,immunine coagulation factor ix human,immune globulin intravenous human - ifas 10 per 100 ml,85.5,C4734988,immune globulin intravenous (human) - ifas 10 % per 100 ML Injection,SY
immunoglobulin 00025201,immunoglobulin 00025201,immunoglobulin a,88.66666666666666,C0020835,immunoglobulin A,IN
immunoglobulin immunoglobulin human normal,immunoglobulin immunoglobulin human normal,immunoglobulin a,87.0967741935484,C0020835,immunoglobulin A,IN
immunoglobulin immunoglobulins nos,immunoglobulin immunoglobulins nos,immunoglobulin a,87.0967741935484,C0020835,immunoglobulin A,IN
immunoglobulin immunoglobulin iv,immunoglobulin immunoglobulin iv,immunoglobulin a,87.0967741935484,C0020835,immunoglobulin A,IN
immunoglobulines humaines cnts,immunoglobulines humaines cnts,immunoglobulin a,84.0,C0020835,immunoglobulin A,IN
immunoglobulins nos,immunoglobulins nos,immunoglobulin a,85.71428571428572,C0020835,immunoglobulin A,IN
incivo,incivo,incivek 375 mg oral,81.81818181818181,C3154713,Incivek 375 MG Oral Tablet,SY
indocyanine vert d,indocyanine vert d,indocyanine green acid form,85.5,C5200995,indocyanine green acid form,PIN
infants mylicon,infants mylicon,infants motrin 40 mg/ml oral,85.5,C0708072,Infants' Motrin 40 MG/ML Oral Suspension,SY
infants tylenol,infants tylenol,infants motrin 40 mg/ml oral,85.5,C0708072,Infants' Motrin 40 MG/ML Oral Suspension,SY
influenza ha vaccine,influenza ha vaccine,infanrix dtap diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed,85.5,C0710622,Infanrix DTaP (Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed) Injection,SY
influenza vaccine,influenza vaccine,infanrix dtap diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed,85.5,C0710622,Infanrix DTaP (Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed) Injection,SY
influenza virus vacc seasonal inn,influenza virus vacc seasonal inn,influenza a h5n1 virus vaccine monovalent - indonesia/05/2005 injectable,85.5,C4292587,influenza A (H5N1) virus vaccine (monovalent - Indonesia/05/2005) Injectable Suspension,PSN
influenza virus vaccine,influenza virus vaccine,influenza a virus,89.0625,C0029347,influenza A virus,IN
inovelon,inovelon,inoven,85.71428571428572,C0592562,Inoven,BN
insulin nos,insulin nos,insulin analog aspart 100 unt/ml injectable,85.5,C0977802,"insulin analog, aspart 100 UNT/ML Injectable Solution",SY
insulin porcine,insulin porcine,insulin analog aspart 100 unt/ml injectable,85.5,C0977802,"insulin analog, aspart 100 UNT/ML Injectable Solution",SY
insulin porkinsulin purified pork,insulin porkinsulin purified pork,insulin analog aspart mixed 70/30 100 unt/ml injectable,85.5,C1168864,"insulin analog, aspart mixed 70/30 100 UNT/ML Injectable Suspension",SY
insuline,insuline,insulin analog aspart 100 unt/ml injectable,84.0,C0977802,"insulin analog, aspart 100 UNT/ML Injectable Solution",SY
interferon alfa nos,interferon alfa nos,interferon alfa-n1,86.48648648648648,C0699817,interferon alfa-n1,IN
interferon alfa2a or interferon alfa2b,interferon alfa2a or interferon alfa2b,interferon alfa-2a,87.42857142857143,C0021734,interferon alfa-2a,IN
intratect,intratect,intrathecal,80.0,C0991576,Intrathecal Suspension,DF
investigational product,investigational product,invert sugar / sodium chloride injectable product,85.5,C3215061,invert sugar / sodium chloride Injectable Product,SCDG
iomeron,iomeron,iomeprol,80.0,C0063810,iomeprol,IN
isocef,isocef,isocet,83.33333333333334,C0721130,Isocet,BN
isopromethazine hydrochloride,isopromethazine hydrochloride,isoetharine hydrochloride,88.88888888888889,C0350279,isoetharine hydrochloride,PIN
isotonic sodium chloride solution,isotonic sodium chloride,isopropyl alcohol / salicylic acid / sodium thiosulfate topical lotion,85.5,C5835330,isopropyl alcohol / salicylic acid / sodium thiosulfate Topical Lotion,SCDFP
indacin,indacin,indocin,85.71428571428572,C0700798,Indocin,BN
interferonalpha,interferonalpha,interferon alpha-n3 5 000 000 unt/ml injectable,84.0,C0702997,"interferon alpha-n3 5,000,000 UNT/ML Injectable Solution",PSN
jakavi,jakavi,jakafi,83.33333333333334,C3247913,Jakafi,BN
josacine,josacine,josamycin,82.35294117647058,C0022419,josamycin,IN
kenalog40,kenalog40,kenalog,87.5,C0699689,Kenalog,BN
ketanest,ketanest,ketaset,80.0,C0701925,Ketaset,BN
kiovig 100 mgml solution for infusion intravenous use vial glass 30,kiovig 100 mgml for infusion intravenous use vial glass 30,kionex 15000 mg powder for oral,85.5,C5235003,Kionex 15000 MG Powder for Oral Suspension,PSN
lactulose liquid,lactulose liquid,lactate / glucose / citrate / chloride / chloride oral liquid product,85.5,C3219808,calcium lactate / glucose / magnesium citrate / potassium chloride / sodium chloride Oral Liquid Product,SCDG
lamivudinehiv,lamivudinehiv,lamivudine,86.95652173913044,C0209738,lamivudine,IN
lamotrigin 1 a pharma,lamotrigin 1 a pharma,lamotrigine,85.71428571428571,C0064636,lamotrigine,IN
lamotrigin teva,lamotrigin teva,lamotrigine,84.61538461538461,C0064636,lamotrigine,IN
landiolol hydrochloride,landiolol hydrochloride,lanabiotic bacitracin 400 unt / neomycin 3 5 mg / polymyxin b 10 000 unt / pramoxine hydrochloride 10 mg per gm topical,85.5,C0875710,"Lanabiotic (bacitracin 400 UNT / neomycin 3.5 MG / polymyxin B 10,000 UNT / pramoxine hydrochloride 10 MG) per GM Topical Ointment",SY
lasilix,lasilix,lasix,83.33333333333334,C0699992,Lasix,BN
letrozol accord,letrozol accord,letrozole,84.70588235294117,C0246421,letrozole,IN
levocarnil,levocarnil,levocarnitine / picolinic acid,85.26315789473685,C2928839,levocarnitine / picolinic acid,MIN
levocloperastine hydrochloride,levocloperastine hydrochloride,levocabastine hydrochloride,87.71929824561404,C0771194,levocabastine hydrochloride,PIN
levothyrox,levothyrox,levo-t,81.81818181818181,C0721340,Levo-T,BN
levothyrox levothyroxine sodium infusion,levothyrox levothyroxine sodium infusion,levo-t,81.81818181818181,C0721340,Levo-T,BN
levothyrox 150 microgrammes comprime secable,levothyrox 150 microgrammes comprime secable,levacet apap 250 mg / asa 500 mg / caffeine 32 5 mg / salicylamide 150 mg oral,85.5,C1586694,Levacet (APAP 250 MG / ASA 500 MG / caffeine 32.5 MG / salicylamide 150 MG) Oral Tablet,SY
levothyrox 50,levothyrox 50,levafen 50 mg/ml injectable,85.5,C5221935,Levafen 50 MG/mL Injectable Solution,PSN
levothyrox 50 microgrammes,levothyrox 50 microgrammes,levamisole 50 mg,85.5,C0987122,levamisole 50 MG,SCDC
levothyrox 75 microgrammes comprim s cable,levothyrox 75 microgrammes comprim s cable,levafen 75 mg chewable,85.5,C4475136,Levafen 75 MG Chewable Tablet,PSN
lindynette,lindynette,linde,80.0,C1587924,Linde,BN
lipiodol,lipiodol,lipidro,80.0,C3538317,Lipidro,BN
lipovenoes mct 20,lipovenoes mct 20,lipase 20 000 unt / amylase 109 000 unt / protease 68 000 unt delayed release oral,85.5,C2720062,"lipase 20,000 UNT / amylase 109,000 UNT / protease 68,000 UNT Delayed Release Oral Capsule",PSN
liquaemin,liquaemin,liquamycin,84.21052631578947,C1702550,Liquamycin,BN
little remedies gas relief drops,little remedies gas relief,little bottoms diaper rash 0 4 mg/mg topical,85.5,C0874915,Little Bottoms Diaper Rash 0.4 MG/MG Topical Ointment,SY
loxen nicardipine hydrochloride,loxen nicardipine hydrochloride,loxapine as loxapine hydrochloride 25 mg/ml concentrate for oral,85.5,C0991704,loxapine (as loxapine hydrochloride) 25 MG/ML Concentrate for Oral Solution,SY
loxen l p 50 mg,loxen l p 50 mg,loxapine 10 mg as loxapine succinate 13 6 mg oral,85.5,C0981557,loxapine 10 MG (as loxapine succinate 13.6 MG) Oral Capsule,SY
lamitrigine dispersible tablets 50mg,lamitrigine dispersible 50mg,lamotrigine,81.81818181818181,C0064636,lamotrigine,IN
lamotrigin dura,lamotrigin dura,lamotrigine oral,83.87096774193549,C1246625,lamotrigine Oral Tablet,SCDF
m m r ii,m m r ii,m a h,85.5,C0721482,M.A.H.,BN
magnesium sulfate manufacturer unknown,magnesium sulfate manufacturer unknown,manganese sulfate,85.5,C0065649,manganese sulfate,IN
measles mumps and rubella wistar ra 273 virus vacc live,measles mumps and rubella wistar ra 273 virus vacc live,measles virus preparation,85.5,C1375516,measles virus preparation,IN
measlesmumpsrubella virus vaccine,measlesmumpsrubella virus vaccine,measles mumps and rubella virus vaccine live generic for m-m-r ii 0 5 ml,85.5,C2356371,"measles, mumps, and rubella virus vaccine live (generic for M-M-R II) 0.5 ML Injection",PSN
measlesmumpsrubella virus vaccine live,measlesmumpsrubella virus vaccine live,measles mumps and rubella virus vaccine live generic for m-m-r ii 0 5 ml,85.5,C2356371,"measles, mumps, and rubella virus vaccine live (generic for M-M-R II) 0.5 ML Injection",PSN
measlesmumpsrubellavaricella virus vaccine live,measlesmumpsrubellavaricella virus vaccine live,measles mumps rubella and varicella virus vaccine live 0 5 ml,87.03703703703704,C2364510,"measles, mumps, rubella and varicella virus vaccine live 0.5 ML Injection",SY
measlesrubella virus vaccine live nos,measlesrubella virus vaccine live nos,measles mumps and rubella virus vaccine live generic for m-m-r ii 0 5 ml,85.5,C2356371,"measles, mumps, and rubella virus vaccine live (generic for M-M-R II) 0.5 ML Injection",PSN
mediumchain triglyceridessoybean oil,mediumchain triglyceridessoybean oil,medium chain triglycerides,80.64516129032258,C0724624,medium chain triglycerides,IN
meronem,meronem,meropenem,87.5,C0066005,meropenem,IN
metfin,metfin,metformin,80.0,C0025598,metformin,IN
methadose sugarfree,methadose sugarfree,methadone,80.0,C0025605,methadone,IN
methotrexate methotrexate sodium,methotrexate methotrexate sodium,metamizole sodium,85.5,C3714569,metamizole sodium,PIN
methotrexate pf 50 mg2 ml teva,methotrexate pf 50 mg2 ml teva,metahistine d pheniramine maleate 4 mg / phenylpropanolamine hydrochloride 12 5 mg / phenyltoloxamine citrate 4 mg / pyrilamine maleate 4 mg per 5 ml oral,85.5,C0709025,Metahistine D (pheniramine maleate 4 MG / phenylpropanolamine hydrochloride 12.5 MG / phenyltoloxamine citrate 4 MG / pyrilamine maleate 4 MG) per 5 ML Oral Solution,SY
methyl prednisolone sodium succinate,methyl prednisolone sodium succinate,metamizole sodium,85.5,C3714569,metamizole sodium,PIN
metotressato teva 25 mgml soluzione iniettabile,metotressato teva 25 mgml soluzione iniettabile,metformin hydrochloride 1000 mg / sitagliptin 50 mg as sitagliptin phosphate monohydrate 64 25 mg oral,85.5,C1876536,metformin hydrochloride 1000 MG / sitagliptin 50 MG (as sitagliptin phosphate monohydrate 64.25 MG) Oral Tablet,SY
metronidazole baxter 05 pour cent solution injectable en poche,metronidazole baxter 05 pour cent injectable en poche,metacam 5 mg per 1 ml injectable,85.5,C2962505,Metacam 5 MG per 1 ML Injectable Solution,SY
metronidazole gel 1,metronidazole gel 1,metacam 5 mg per 1 ml injectable,85.5,C2962505,Metacam 5 MG per 1 ML Injectable Solution,SY
micropam 5 mg25 ml soluzione rettale,micropam 5 mg25 ml soluzione rettale,micafungin 100 mg equivalent to micafungin sodium 101 73 mg per 100 ml,85.5,C5853977,micafungin 100 MG (equivalent to micafungin sodium 101.73 MG) per 100 ML Injection,SY
minerals,minerals,mineral ice 0 02 mg/mg topical gel,84.0,C1873803,Mineral ice 0.02 MG/MG Topical Gel,SY
minerva,minerva,mineral ice,83.07692307692308,C0696629,Mineral ice,BN
mirtazapin stada,mirtazapin stada,mirataz,83.07692307692308,C4704351,Mirataz,BN
modiodal 100 mg comprim,modiodal 100 mg comprim,modane plus docusate sodium 100 mg / phenolphthalein 65 mg oral,85.5,C0712312,Modane Plus (docusate sodium 100 MG / phenolphthalein 65 MG) Oral Tablet,SY
modiodal 100 mg,modiodal 100 mg,modafinil 100 mg oral provigil,85.5,C0731744,modafinil 100 MG Oral Tablet [Provigil],SBD
monazol ovule,monazol ovule,monistat 1 day ovule combination pack,85.5,C0875812,Monistat 1 Day Ovule Combination Pack,PSN
morphin hcl,morphin hcl,morphine hcl 40 mg oral,85.5,C0787992,morphine HCl 40 MG Oral Tablet,PSN
multitrace 4 pediatric,multitrace 4 pediatric,multitrace-4 pediatric for,87.5,C0712403,Multitrace-4 Pediatric Solution for Injection,PSN
mumps vaccine,mumps vaccine,mumps skin test antigen,85.5,C0301459,mumps skin test antigen,IN
magnevistan,magnevistan,magan,80.0,C0721519,Magan,BN
medium and long chain fat emulsion injection c824,medium and long chain fat emulsion c824,medicaine sting and bite benzocaine 20 / menthol 1 medicated swab,85.5,C3152295,Medicaine Sting and Bite (benzocaine 20 % / menthol 1 % ) Medicated Swab,SY
melfalan,melfalan,melphalan,82.35294117647058,C0025241,melphalan,IN
meningococcal b recom vaccine aloh omv,meningococcal b recom vaccine aloh omv,menactra meningococcal groups a c y and w-135 polysaccharide diphtheria toxoid conjugate vaccine 0 5 ml,85.5,C1618624,"Menactra Meningococcal (Groups A,C,Y and W-135) Polysaccharide Diphtheria Toxoid Conjugate Vaccine 0.5 ML Injection",SY
mepem,mepem,mepenzolate,80.0,C0360172,mepenzolate,IN
methotrexatteva 50 mg2 ml,methotrexatteva 50 mg2 ml,metadate cd 50 mg 24hr extended release oral,85.5,C1694327,Metadate CD 50 MG 24HR Extended Release Oral Capsule,PSN
methyldopa stada 250 mg,methyldopa stada 250 mg,metaclazepam hydrochloride 10 mg oral,85.5,C1358751,metaclazepam hydrochloride 10 MG Oral Tablet,SCD
mg sulfate,mg sulfate,mg 217,85.5,C0721495,MG 217,BN
micombi combination,micombi combination,miconazole 3 day prefilled applicator combination pack,85.5,C1878058,Miconazole 3 Day Prefilled Applicator Combination Pack,SY
n acetylcysteine,n acetylcysteine,n alpha -methylhistamine dihydrochloride,85.5,C4745518,N.alpha.-methylhistamine dihydrochloride,IN
nacl 09 preservative free app pharmaceuticals llc,nacl 09 preservative free app pharmaceuticals llc,nacl 0 000154 meq/mg topical gel,85.5,C0778350,NaCl 0.000154 MEQ/MG Topical Gel,SY
naropeine,naropeine,naropin,87.5,C0525803,Naropin,BN
neolotan plus,neolotan plus,neova complex hq plus,85.5,C3257058,Neova Complex HQ Plus,BN
neotigason,neotigason,neotic,81.81818181818181,C2356095,Neotic,BN
nepresol hydralazine hydrochloride,nepresol hydralazine hydrochloride,nephron brand of racepinephrine hydrochloride 22 5 mg/ml inhalation,85.5,C0715123,Nephron brand of racepinephrine hydrochloride 22.5 MG/ML Inhalation Solution,SY
new hotelling,new hotelling,new day,85.5,C4689466,New Day,BN
new thalline,new thalline,new day,85.5,C4689466,New Day,BN
nifedipin 20 mg retard,nifedipin 20 mg retard,nifediac 30 mg extended release oral,85.5,C2682393,Nifediac 30 MG Extended Release Oral Tablet,SY
nirsevimabalip,nirsevimabalip,nirsevimab,83.33333333333334,C5418478,nirsevimab,IN
no treatment received,no treatment received,no dolo,85.5,C1588764,No Dolo,BN
norethisterone,norethisterone,norethindrone,81.4814814814815,C0028356,norethindrone,IN
normacol,normacol,normasol,87.5,C0731294,Normasol,BN
novalgin,novalgin,novolin,80.0,C0028467,Novolin,BN
novalgin metamizole sodium,novalgin metamizole sodium,novacet sulfacetamide sodium 10 / sulfur 5 topical lotion,85.5,C1585996,Novacet (sulfacetamide sodium 10 % / sulfur 5 % ) Topical Lotion,SY
novotrimel oral sus,novotrimel oral sus,novadyne dh chlorpheniramine maleate 2 mg / codeine phosphate 10 mg / pseudoephedrine hydrochloride 30 mg per 5 ml oral,85.5,C0716715,Novadyne DH (chlorpheniramine maleate 2 MG / codeine phosphate 10 MG / pseudoephedrine hydrochloride 30 MG) per 5 ML Oral Solution,SY
novopulmon,novopulmon,novox,80.0,C2756588,Novox,BN
novopulmon 200 novolizer,novopulmon 200 novolizer,novox,80.0,C2756588,Novox,BN
novorapid,novorapid,novox,80.0,C2756588,Novox,BN
nurofen 00109201,nurofen 00109201,nurofen advance 200 mg oral,85.5,C0731523,Nurofen Advance 200 MG Oral Tablet,SY
novorapid flexpen,novorapid flexpen,novolog flexpen 100 unt/ml per 3 ml pen injector,85.5,C3888227,NovoLog FlexPen 100 UNT/ML per 3 ML Pen Injector,SY
novopulmon 400 novolizer,novopulmon 400 novolizer,novox,80.0,C2756588,Novox,BN
olipudase alfarpcp,olipudase alfarpcp,olipudase alfa,87.5,C4278198,olipudase alfa,IN
omega3acid ethyl esters,omega3acid ethyl esters,omega-3 acid ethyl esters usp,88.46153846153845,C1532673,omega-3 acid ethyl esters (USP),IN
omeprazol 00661201,omeprazol 00661201,omeprazole,85.26315789473685,C0028978,omeprazole,IN
oracilline 00001805,oracilline 00001805,oracit,81.81818181818181,C0722284,Oracit,BN
oracilline 1 000 000 ui10 ml suspension buvable phenoxymethylpenicillin,oracilline 1 000 000 ui10 ml buvable phenoxymethylpenicillin,ora relief 1 4 mucosal,85.5,C1724187,Ora Relief 1.4 % Mucosal Spray,PSN
orgalutran,orgalutran,orgaran,82.35294117647058,C0163842,Orgaran,BN
otriven,otriven,otrivin,85.71428571428572,C0733859,Otrivin,BN
pantoprazol actavis,pantoprazol actavis,pantoprazole,86.08695652173914,C0081876,pantoprazole,IN
pantozol,pantozol,pantoprazole,80.0,C0081876,pantoprazole,IN
paraaminosalicylic acid,paraaminosalicylic acid,parasorbic acid,85.5,C0070080,parasorbic acid,PIN
paracetamol manufacturer unknown,paracetamol manufacturer unknown,paracetamol 500 mg / metoclopramide as hydrochloride 5 mg oral,85.5,C0793514,paracetamol 500 MG / metoclopramide (as hydrochloride) 5 MG Oral Tablet,SY
paracetamol 120mg5ml oral suspension,paracetamol 120mg5ml oral,para-time s r 150 mg extended release oral,85.5,C0708658,Para-Time S. R. 150 MG Extended Release Oral Capsule,SY
paracetamol kabi not specified,paracetamol kabi not specified,paracetamol 500 mg / metoclopramide as hydrochloride 5 mg oral,85.5,C0793514,paracetamol 500 MG / metoclopramide (as hydrochloride) 5 MG Oral Tablet,SY
parasinus,parasinus,paral,80.0,C0702207,Paral,BN
paroxetin 00830801,paroxetin 00830801,paroxetine,85.26315789473685,C0070122,paroxetine,IN
pediacel,pediacel,pediagel,87.5,C2683695,Pediagel,BN
pediatric compound amino acid injection 18aa,pediatric compound amino acid 18aa,pediatric 1 5 ml leuprolide acetate 30 mg/ml prefilled syringe,85.5,C5813438,Pediatric 1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe,SCD
pediatric compound amino acid injection 18aai,pediatric compound amino acid 18aai,pediatric 1 5 ml leuprolide acetate 30 mg/ml prefilled syringe,85.5,C5813438,Pediatric 1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe,SCD
pediatric compound amino acids injection 19aai,pediatric compound amino acids 19aai,pediatric 1 5 ml leuprolide acetate 30 mg/ml prefilled syringe,85.5,C5813438,Pediatric 1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe,SCD
pediatric infuvite multiple vitamins,pediatric infuvite multiple vitamins,pediatric 1 5 ml leuprolide acetate 30 mg/ml prefilled syringe,85.5,C5813438,Pediatric 1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe,SCD
pediaven ap hp nouveau ne 1,pediaven ap hp nouveau ne 1,pedesil 1 topical,85.5,C3282168,Pedesil 1 % Topical Cream,PSN
peditus sandoz,peditus sandoz,pedituss,84.0,C0722526,Pedituss,BN
pegasparaginase,pegasparaginase,pegaspargase,88.88888888888889,C0071568,pegaspargase,IN
peglasparaginase,peglasparaginase,pegaspargase,85.71428571428572,C0071568,pegaspargase,IN
pegl asparaginase,pegl asparaginase,pegaspargase,82.75862068965517,C0071568,pegaspargase,IN
peg l asparaginase,peg l asparaginase,peg 3350 420 gm / potassium chloride 1 48 gm / sodium bicarbonate 5 72 gm / sodium chloride 11 2 gm per 4 l powder for oral,85.5,C2345786,PEG 3350 420 GM / potassium chloride 1.48 GM / sodium bicarbonate 5.72 GM / sodium chloride 11.2 GM per 4 L Powder for Oral Solution,SY
peginterferon unspecified,peginterferon unspecified,peginterferon alfa-2a 0 135 mg per 0 5 ml prefilled syringe,85.5,C1319695,peginterferon alfa-2a 0.135 MG per 0.5 ML Prefilled Syringe,SY
pegylated asparaginase,pegylated asparaginase,pegylax,83.07692307692308,C3709689,Pegylax,BN
pegylated coagulation factor viii,pegylated coagulation factor viii,pegylax,83.07692307692308,C3709689,Pegylax,BN
pentrexyl,pentrexyl,penetrex,82.35294117647058,C0701285,Penetrex,BN
pethidinum,pethidinum,pethidine hydrochloride 100 mg oral,80.0,C0689461,pethidine hydrochloride 100 MG Oral Tablet,SY
phenoximethylpenicillinum,phenoximethylpenicillinum,phenoxide,80.0,C5559206,calcium phenoxide,IN
phenylephrine hydrochloride wtropicamide,phenylephrine hydrochloride wtropicamide,phen-tuss ad phenylephrine hydrochloride 5 mg / promethazine hydrochloride 6 25 mg per 5 ml oral,85.5,C1584874,PHEN-TUSS AD (phenylephrine hydrochloride 5 MG / promethazine hydrochloride 6.25 MG) per 5 ML Oral Solution,SY
phenytynsod ext 100 mg capsule,phenytynsod ext 100 mg,phen-tuss ad phenylephrine hydrochloride 5 mg / promethazine hydrochloride 6 25 mg per 5 ml oral,85.5,C1584874,PHEN-TUSS AD (phenylephrine hydrochloride 5 MG / promethazine hydrochloride 6.25 MG) per 5 ML Oral Solution,SY
physioneal 40 glucose 136 solution pour dialyse p riton ale,physioneal 40 glucose 136 pour dialyse p riton ale,physostigmine salicylate 2 5 mg/ml / pilocarpine hydrochloride 40 mg/ml ophthalmic,85.5,C0351968,physostigmine salicylate 2.5 MG/ML / pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution,SCD
