Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
Chamomile/Mercurius Solubilis/Sulfur,chamomile/mercurius solubilis/sulfur,chamomile/mercurius solubilis/sulfur,,,
Chenodiol,chenodiol,chenodiol,C2724598,Chenodal (chenodiol 250 MG) Oral Tablet,SY
Cherry Syrup,cherry,cherry,C2722031,cherry allergenic extract,IN
Chlophedianol HCl/Dexbrompheniramine Maleate,chlophedianol hcl/dexbrompheniramine maleate,chlophedianol hcl/dexbrompheniramine maleate,C0055904,chlophedianol,IN
Chlophedianol HCl/Dexchlorpheniramine Mal/PSE HCl,chlophedianol hcl/dexchlorpheniramine mal/pse hcl,chlophedianol hcl/dexchlorpheniramine mal/pse,C0055904,chlophedianol,IN
Chlophedianol HCl/Thonzylamine HCl,chlophedianol hcl/thonzylamine hcl,chlophedianol hcl/thonzylamine,C0055904,chlophedianol,IN
Chlophedianol Hydrochloride/Pyrilamine Maleate,chlophedianol hydrochloride/pyrilamine maleate,chlophedianol hydrochloride/pyrilamine maleate,C0006686,calcium chloride,IN
Chloral Hydrate,chloral hydrate,chloral hydrate,C0008161,chloral hydrate,PIN
Chloramphenicol,chloramphenicol,chloramphenicol,C0008168,chloramphenicol,IN
Chloramphenicol Palmitate,chloramphenicol palmitate,chloramphenicol palmitate,C0055337,chloramphenicol palmitate,PIN
Chlorcyclizine HCl/Phenyleph HCl,chlorcyclizine hcl/phenyleph hcl,chlorcyclizine hcl/phenyleph,,,
Chlorcyclizine HCl/PSE HCl,chlorcyclizine hcl/pse hcl,chlorcyclizine hcl/pse,,,
Chlorcyclizine Hydrochloride,chlorcyclizine hydrochloride,chlorcyclizine,C0770863,chlorcyclizine hydrochloride,PIN
Chlordiazepoxide Hydrochloride,chlordiazepoxide hydrochloride,chlordiazepoxide,C0700528,chlordiazepoxide hydrochloride,PIN
Chlordiazepoxide Hydrochloride/Clidinium Bromide,chlordiazepoxide hydrochloride/clidinium bromide,chlordiazepoxide hydrochloride/clidinium,C0006686,calcium chloride,IN
Chlorhexidine Gluconate,chlorhexidine gluconate,chlorhexidine gluconate,C0055361,chlorhexidine gluconate,PIN
Chlorhexidine Gluconate;Dimethicone;Mupirocin,chlorhexidine gluconate dimethicone mupirocin,chlorhexidine gluconate dimethicone mupirocin,,,
Chloride/Citric Acid/Dextrose/Potassium/Sodium,chloride/citric acid/dextrose/potassium/sodium,chloride/citric acid/dextrose/potassium/sodium,C0006686,calcium chloride,IN
Chloride/Dextrose/Potassium/Sodium/Zinc,chloride/dextrose/potassium/sodium/zinc,chloride/dextrose/potassium/sodium/zinc,C0006686,calcium chloride,IN
Chloride/Potassium/Sodium,chloride/potassium/sodium,chloride/potassium/sodium,C0006686,calcium chloride,IN
Chlorobutanol,chlorobutanol,chlorobutanol,C0008232,chlorobutanol,IN
Chloroquine Phosphate,chloroquine phosphate,chloroquine,C0055447,chloroquine phosphate,PIN
Chlorothiazide,chlorothiazide,chlorothiazide,C0008273,chlorothiazide,IN
Chloroxylenol/HC/Pramoxine HCl,chloroxylenol/hc/pramoxine hcl,chloroxylenol/hc/pramoxine,,,
Chlorpheniramine Mal/Codeine Phos/Phenyleph HCl,chlorpheniramine mal/codeine phos/phenyleph hcl,chlorpheniramine mal/codeine phos/phenyleph,,,
Chlorpheniramine Mal/Codeine Phos/PSE HCl,chlorpheniramine mal/codeine phos/pse hcl,chlorpheniramine mal/codeine phos/pse,,,
Chlorpheniramine Mal/DM Hydrobrom,chlorpheniramine mal/dm hydrobrom,chlorpheniramine mal/dm hydrobrom,,,
Chlorpheniramine Mal/DM Hydrobrom/guaiFENesin/Phen,chlorpheniramine mal/dm hydrobrom/guaifenesin/phen,chlorpheniramine mal/dm hydrobrom/guaifenesin/phen,,,
Chlorpheniramine Mal/DM Hydrobrom/Phenyleph HCl,chlorpheniramine mal/dm hydrobrom/phenyleph hcl,chlorpheniramine mal/dm hydrobrom/phenyleph,,,
Chlorpheniramine Mal/DM Hydrobrom/PSE HCl,chlorpheniramine mal/dm hydrobrom/pse hcl,chlorpheniramine mal/dm hydrobrom/pse,,,
Chlorpheniramine Mal/Ibuprofen/Phenyleph HCl,chlorpheniramine mal/ibuprofen/phenyleph hcl,chlorpheniramine mal/ibuprofen/phenyleph,,,
Chlorpheniramine Mal/Ibuprofen/PSE HCl,chlorpheniramine mal/ibuprofen/pse hcl,chlorpheniramine mal/ibuprofen/pse,,,
Chlorpheniramine Mal/Phenyleph HCl,chlorpheniramine mal/phenyleph hcl,chlorpheniramine mal/phenyleph,,,
Chlorpheniramine Mal/Phenyleph HCl/Pyril Mal,chlorpheniramine mal/phenyleph hcl/pyril mal,chlorpheniramine mal/phenyleph hcl/pyril mal,,,
Chlorpheniramine Mal/PSE HCl,chlorpheniramine mal/pse hcl,chlorpheniramine mal/pse,,,
Chlorpheniramine Maleate,chlorpheniramine maleate,chlorpheniramine maleate,C0546857,chlorpheniramine maleate,PIN
Chlorpheniramine Maleate/Codeine Phosphate,chlorpheniramine maleate/codeine phosphate,chlorpheniramine maleate/codeine,,,
Chlorpheniramine Polistirex/Codeine Polistirex,chlorpheniramine polistirex/codeine polistirex,chlorpheniramine polistirex/codeine polistirex,,,
Chlorpheniramine Polistirex/Hydrocodone Polistirex,chlorpheniramine polistirex/hydrocodone polistirex,chlorpheniramine polistirex/hydrocodone polistirex,,,
Chlorpromazine Hydrochloride,chlorpromazine hydrochloride,chlorpromazine,C0355077,chlorpromazine hydrochloride,PIN
Chlorpropamide,chlorpropamide,chlorpropamide,C0008287,chlorpropamide,IN
Chlorthalidone,chlorthalidone,chlorthalidone,C0008294,chlorthalidone,IN
Chlorzoxazone,chlorzoxazone,chlorzoxazone,C0008296,chlorzoxazone,IN
Cholecalciferol,cholecalciferol,cholecalciferol,C0008318,cholecalciferol,IN
Cholecalciferol;Omega-3-Acid Ethyl Esters,cholecalciferol omega-3-acid ethyl esters,cholecalciferol omega-3-acid ethyl esters,C0008318,cholecalciferol,IN
Cholecalciferol/Dextrose,cholecalciferol/dextrose,cholecalciferol/dextrose,C0008318,cholecalciferol,IN
Cholecalciferol/Folic Acid,cholecalciferol/folic acid,cholecalciferol/folic acid,C0008318,cholecalciferol,IN
"Cholecalciferol/Genistein/Zinc, Chelated",cholecalciferol/genistein/zinc chelated,cholecalciferol/genistein/zinc chelated,C0008318,cholecalciferol,IN
Cholecalciferol/Lactobacillus Reuteri,cholecalciferol/lactobacillus reuteri,cholecalciferol/lactobacillus reuteri,C0008318,cholecalciferol,IN
Cholecalciferol/Vitamin E,cholecalciferol/vitamin e,cholecalciferol/vitamin e,C0008318,cholecalciferol,IN
"Cholera Vaccine, Live",cholera vaccine live,cholera vaccine live,,,
Cholesterol,cholesterol,cholesterol,C0008377,cholesterol,IN
Cholestyramine,cholestyramine,cholestyramine,C0008402,cholestyramine resin,IN
Cholestyramine Resin,cholestyramine resin,cholestyramine resin,C0008402,cholestyramine resin,IN
Cholic Acid,cholic acid,cholic acid,C0055568,cholic acid,IN
Choline Magnesium Trisalicylate,choline magnesium trisalicylate,choline trisalicylate,C0719064,choline magnesium trisalicylate,IN
Chorionic Gonadotropin,chorionic gonadotropin,chorionic gonadotropin,C0018062,chorionic gonadotropin,IN
"Chorionic Gonadotropin Alfa, Recombinant",chorionic gonadotropin alfa recombinant,chorionic gonadotropin alfa recombinant,,,
Chromium Picolinate,chromium picolinate,chromium picolinate,C0163657,chromium picolinate,IN
Chromium/Copper/Manganese/Selenium/Zinc,chromium/copper/manganese/selenium/zinc,chromium/copper/manganese/selenium/zinc,C0008574,chromium,IN
Ciclesonide,ciclesonide,ciclesonide,C0907850,ciclesonide,IN
Ciclopirox,ciclopirox,ciclopirox,C0055711,ciclopirox,IN
Ciclopirox Olamine,ciclopirox olamine,ciclopirox olamine,C0126169,ciclopirox olamine,PIN
"Ciclopirox;Solution, Multi Ingredient",ciclopirox multi ingredient,ciclopirox multi ingredient,C0055711,ciclopirox,IN
Cidofovir,cidofovir,cidofovir,C0286079,cidofovir,IN
Cilastatin Sodium/Imipenem,cilastatin sodium/imipenem,cilastatin sodium/imipenem,C0008777,cilastatin,IN
Cilostazol,cilostazol,cilostazol,C0055729,cilostazol,IN
Cimetidine,cimetidine,cimetidine,C0008783,cimetidine,IN
Cimetidine Hydrochloride,cimetidine hydrochloride,cimetidine,C0304539,cimetidine hydrochloride,PIN
Cinacalcet Hydrochloride,cinacalcet hydrochloride,cinacalcet,C1260199,cinacalcet hydrochloride,PIN
Ciprofloxacin,ciprofloxacin,ciprofloxacin,C0008809,ciprofloxacin,IN
Ciprofloxacin Hydrochloride,ciprofloxacin hydrochloride,ciprofloxacin,C0282104,ciprofloxacin hydrochloride,PIN
Ciprofloxacin Hydrochloride/Dexamethasone,ciprofloxacin hydrochloride/dexamethasone,ciprofloxacin hydrochloride/dexamethasone,C0008809,ciprofloxacin,IN
Ciprofloxacin Hydrochloride/Fluocinolone Acetonide,ciprofloxacin hydrochloride/fluocinolone acetonide,ciprofloxacin hydrochloride/fluocinolone acetonide,C0008809,ciprofloxacin,IN
Ciprofloxacin Hydrochloride/Hydrocortisone,ciprofloxacin hydrochloride/hydrocortisone,ciprofloxacin hydrochloride/hydrocortisone,C0008809,ciprofloxacin,IN
Ciprofloxacin/Ciprofloxacin Hydrochloride,ciprofloxacin/ciprofloxacin hydrochloride,ciprofloxacin/ciprofloxacin,C0008809,ciprofloxacin,IN
Citalopram Hydrobromide,citalopram hydrobromide,citalopram hydrobromide,C0724555,citalopram hydrobromide,PIN
Citric Acid,citric acid,citric acid,C0055819,citric acid,IN
Citric Acid/Gluconolactone/Magnesium Carbonate,citric acid/gluconolactone/magnesium carbonate,citric acid/gluconolactone/magnesium carbonate,C0055819,citric acid,IN
Citric Acid/Lactic Acid/Potassium Bitartrate,citric acid/lactic acid/potassium bitartrate,citric acid/lactic acid/potassium,C0055819,citric acid,IN
Citric Acid/Magnesium Oxide/Sodium Picosulfate,citric acid/magnesium oxide/sodium picosulfate,citric acid/magnesium oxide/sodium picosulfate,C0055819,citric acid,IN
Citric Acid/Potassium Bicarbonate,citric acid/potassium bicarbonate,citric acid/potassium bicarbonate,C0055819,citric acid,IN
Citric Acid/Potassium Citrate,citric acid/potassium citrate,citric acid/potassium citrate,C0108101,calcium citrate,IN
Citric Acid/Potassium Citrate/Sodium Citrate,citric acid/potassium citrate/sodium citrate,citric acid/potassium citrate/sodium citrate,C0108101,calcium citrate,IN
Citric Acid/Sodium Citrate,citric acid/sodium citrate,citric acid/sodium citrate,C0108101,calcium citrate,IN
Citrulline,citrulline,citrulline,C0008864,citrulline,IN
Cladosporium cladosporioides Allergen Extract,cladosporium cladosporioides allergen extract,cladosporium cladosporioides allergen extract,C2918538,Cladosporium cladosporioides allergenic extract,IN
Clarithromycin,clarithromycin,clarithromycin,C0055856,clarithromycin,IN
Clascoterone,clascoterone,clascoterone,C4730996,clascoterone,IN
Cleanser,cleanser,cleanser,C2961636,Clearskin Blackhead Eliminating 2 % Foaming Cleanser,SY
Cleanser and Moisturizer,cleanser and moisturizer,cleanser and moisturizer,,,
"Cleanser;Cream, Multi Ingredient",cleanser multi ingredient,cleanser multi ingredient,,,
Clemastine Fumarate,clemastine fumarate,clemastine,C0546858,clemastine fumarate,PIN
Clindamycin Hydrochloride,clindamycin hydrochloride,clindamycin,C0282105,clindamycin hydrochloride,PIN
Clindamycin Palmitate Hydrochloride,clindamycin palmitate hydrochloride,clindamycin palmitate,C0304311,clindamycin palmitate hydrochloride,PIN
Clindamycin Phosphate,clindamycin phosphate,clindamycin,C0055881,clindamycin phosphate,PIN
Clindamycin Phosphate;Cleanser,clindamycin phosphate cleanser,clindamycin cleanser,C0008947,clindamycin,IN
Clindamycin Phosphate;Cleanser and Moisturizer,clindamycin phosphate cleanser and moisturizer,clindamycin cleanser and moisturizer,C0008947,clindamycin,IN
Clindamycin Phosphate/Tretinoin,clindamycin phosphate/tretinoin,clindamycin phosphate/tretinoin,C0008947,clindamycin,IN
Clioquinol/Hydrocortisone,clioquinol/hydrocortisone,clioquinol/hydrocortisone,C0021978,clioquinol,IN
"Clioquinol/Hydrocortisone;Gel, Multi Ingredient",clioquinol/hydrocortisone gel multi ingredient,clioquinol/hydrocortisone gel multi ingredient,C0021978,clioquinol,IN
Clobazam,clobazam,clobazam,C0055891,clobazam,IN
Clobetasol Propionate,clobetasol propionate,clobetasol propionate,C0055895,clobetasol propionate,PIN
"Clobetasol Propionate, Micronized",clobetasol propionate micronized,clobetasol propionate micronized,C0008992,clobetasol,IN
"Clobetasol Propionate;Lotion, Multi Ingredient",clobetasol propionate lotion multi ingredient,clobetasol propionate lotion multi ingredient,C0008992,clobetasol,IN
Clocortolone Pivalate,clocortolone pivalate,clocortolone pivalate,C0055900,clocortolone pivalate,PIN
Clomiphene Citrate,clomiphene citrate,clomiphene citrate,C0546859,clomiphene citrate,PIN
Clomipramine Hydrochloride,clomipramine hydrochloride,clomipramine,C0282107,clomipramine hydrochloride,PIN
Clonazepam,clonazepam,clonazepam,C0009011,clonazepam,IN
Clonidine,clonidine,clonidine,C0009014,clonidine,IN
Clonidine Hydrochloride,clonidine hydrochloride,clonidine,C0546860,clonidine hydrochloride,PIN
Clopidogrel Hydrogen Sulfate,clopidogrel hydrogen sulfate,clopidogrel hydrogen,,,
Clorazepate Dipotassium,clorazepate dipotassium,clorazepate dipotassium,C0009033,clorazepate dipotassium,PIN
Clotrimazole,clotrimazole,clotrimazole,C0009074,clotrimazole,IN
Clotrimazole;Clotrimazole,clotrimazole clotrimazole,clotrimazole clotrimazole,,,
Clozapine,clozapine,clozapine,C0009079,clozapine,IN
Coagulation Factor IX Recombinant,coagulation factor ix recombinant,coagulation factor ix recombinant,C3883805,"coagulation factor IX (recombinant), glycopegylated",PIN
"Coagulation Factor IX Recombinant, GlycoPEGylated",coagulation factor ix recombinant glycopegylated,coagulation factor ix recombinant glycopegylated,C3883805,"coagulation factor IX (recombinant), glycopegylated",PIN
Coagulation Factor VIIa,coagulation factor viia,coagulation factor viia,C0015502,coagulation factor VII,SY
Coagulation Factor VIIa-jncw,coagulation factor viia-jncw,coagulation factor viia-jncw,,,
Coal Tar,coal tar,coal tar,C0009137,coal tar,IN
Coal Tar/Salicylic Acid/Sulfur,coal tar/salicylic acid/sulfur,coal tar/salicylic acid/sulfur,C0009137,coal tar,IN
Cobicistat/Darunavir,cobicistat/darunavir,cobicistat/darunavir,C3177235,cobicistat,IN
Cobimetinib,cobimetinib,cobimetinib,C4049146,cobimetinib,IN
Cocaine Hydrochloride,cocaine hydrochloride,cocaine,C0282108,cocaine hydrochloride,PIN
Cocoa Butter,cocoa butter,cocoa butter,C0056057,cocoa butter,IN
Cocoa Butter/Phenylephrine Hydrochloride,cocoa butter/phenylephrine hydrochloride,cocoa butter/phenylephrine,C0056057,cocoa butter,IN
Cocoglycerides,cocoglycerides,cocoglycerides,C3256135,coco-glycerides,IN
Codeine Phos/Dexbrompheniramine Maleate/PSE HCl,codeine phos/dexbrompheniramine maleate/pse hcl,codeine phos/dexbrompheniramine maleate/pse,C0009214,codeine,IN
Codeine Phos/Dexchlorpheniramine Mal/Phenyleph HCl,codeine phos/dexchlorpheniramine mal/phenyleph hcl,codeine phos/dexchlorpheniramine mal/phenyleph,C0009214,codeine,IN
Codeine Phos/guaiFENesin/PSE HCl,codeine phos/guaifenesin/pse hcl,codeine phos/guaifenesin/pse,C0009214,codeine,IN
Codeine Phos/Phenyleph HCl/Promethazine HCl,codeine phos/phenyleph hcl/promethazine hcl,codeine phos/phenyleph hcl/promethazine,C0009214,codeine,IN
Codeine Phos/Phenyleph HCl/Triprolidine HCl,codeine phos/phenyleph hcl/triprolidine hcl,codeine phos/phenyleph hcl/triprolidine,C0009214,codeine,IN
Codeine Phosphate/Guaifenesin,codeine phosphate/guaifenesin,codeine phosphate/guaifenesin,C0009214,codeine,IN
Codeine Phosphate/Promethazine Hydrochloride,codeine phosphate/promethazine hydrochloride,codeine phosphate/promethazine,C0009214,codeine,IN
Codeine Sulfate,codeine sulfate,codeine,C0304352,codeine sulfate,PIN
Coenzyme Q10,coenzyme q10,coenzyme q10,C4056433,"coenzyme Q10, (2Z)-",PIN
Coenzyme Q10/Vitamin E,coenzyme q10/vitamin e,coenzyme q10/vitamin e,,,
Colchicine,colchicine,colchicine,C0009262,colchicine,IN
Colchicine/Probenecid,colchicine/probenecid,colchicine/probenecid,C0009262,colchicine,IN
Colesevelam Hydrochloride,colesevelam hydrochloride,colesevelam,C0541154,colesevelam hydrochloride,PIN
Colestipol Hydrochloride,colestipol hydrochloride,colestipol,C0354648,colestipol hydrochloride,PIN
"Colestipol Hydrochloride, Micronized",colestipol hydrochloride micronized,colestipol micronized,C0009279,colestipol,IN
Colistimethate Sodium,colistimethate sodium,colistimethate,C0110462,colistimethate sodium,PIN
Collagenase,collagenase,collagenase,C0162745,collagenase,IN
"Collagenase, Clostridium histolyticum",collagenase clostridium histolyticum,collagenase clostridium histolyticum,C0009053,collagenase Clostridium histolyticum,IN
Collodion,collodion,collodion,,,
Colloidal Sulfur/Sulfacetamide Sodium,colloidal sulfur/sulfacetamide sodium,colloidal sulfur/sulfacetamide,,,
Color Additive,color additive,color additive,,,
Condom,condom,condom,,,
Conjugated Estrogens,conjugated estrogens,conjugated estrogens,C0014938,conjugated estrogens,SY
Conjugated Estrogens Synthetic B,conjugated estrogens synthetic b,conjugated estrogens synthetic b,C0014938,conjugated estrogens,SY
Conjugated Estrogens;Conjugated Estrogens/Medroxyp,conjugated estrogens conjugated estrogens/medroxyp,conjugated estrogens conjugated estrogens/medroxyp,C0014938,conjugated estrogens,SY
Conjugated Estrogens/Medroxyprogesterone Acetate,conjugated estrogens/medroxyprogesterone acetate,conjugated estrogens/medroxyprogesterone,C0014938,conjugated estrogens,SY
Contact Lens Product,contact lens product,contact lens product,,,
"Container, Evacuated",container evacuated,container evacuated,,,
Copper,copper,copper,C0009968,copper,IN
Copper Chloride,copper chloride,copper chloride,C0589330,copper chloride,IN
Copper/Folic Acid/Niacin/Zinc,copper/folic acid/niacin/zinc,copper/folic acid/niacin/zinc,C0009968,copper,IN
Corn Oil,corn oil,corn oil,C0010029,corn oil,IN
"Corticotropin, Repository",corticotropin repository,corticotropin repository,C0875999,Cortic,BN
Cortisone Acetate,cortisone acetate,cortisone,C0056391,cortisone acetate,PIN
"Cortisone Acetate, Micronized",cortisone acetate micronized,cortisone micronized,C0010137,cortisone,IN
Cosyntropin,cosyntropin,cosyntropin,C0010192,cosyntropin,IN
Cottonseed Oil,cottonseed oil,cottonseed oil,C0010198,cottonseed oil,IN
Cough/Cold Combination,cough/cold combination,cough/cold combination,,,
"COVID-19 Vaccine, Adenovirus 26 Vector (Janssen)",covid-19 vaccine adenovirus 26 vector janssen,covid-19 vaccine adenovirus 26 vector janssen,,,
"COVID-19 Vaccine, mRNA Bivalent (Moderna)",covid-19 vaccine mrna bivalent moderna,covid-19 vaccine mrna bivalent moderna,,,
"COVID-19 Vaccine, mRNA Bivalent (Pfizer)",covid-19 vaccine mrna bivalent pfizer,covid-19 vaccine mrna bivalent pfizer,,,
Cr/Cu/Folic Acid/Niacinamide/Se/Zinc,cr/cu/folic acid/niacinamide/se/zinc,cr/cu/folic acid/niacinamide/se/zinc,,,
Cranberry,cranberry,cranberry,C2740793,cranberry allergenic extract,IN
Cream Base,base,base,,,
"Cream, Multi Ingredient",multi ingredient,multi ingredient,,,
"Cream, Multi Ingredient;Gel, Multi Ingredient",multi ingredient gel multi ingredient,multi ingredient gel multi ingredient,,,
Creatine,creatine,creatine,C0010286,creatine,IN
Cresol,cresol,cresol,C0174883,cresol,IN
Crisaborole,crisaborole,crisaborole,C4301781,crisaborole,IN
Crizanlizumab-tmca,crizanlizumab-tmca,crizanlizumab-tmca,C5211092,crizanlizumab-tmca,PIN
Crizotinib,crizotinib,crizotinib,C2974289,crizotinib,IN
Cromolyn Sodium,cromolyn sodium,cromolyn,C0012694,cromolyn sodium,PIN
Crotamiton,crotamiton,crotamiton,C0056519,crotamiton,IN
Cu/Folic Acid/Vitamin B3/Pyridoxine HCl/Zinc,cu/folic acid/vitamin b3/pyridoxine hcl/zinc,cu/folic acid/vitamin b3/pyridoxine hcl/zinc,,,
Curcumin,curcumin,curcumin,C0010467,curcumin,IN
"Cutter, Syringe And Needle",cutter syringe and needle,cutter syringe and needle,,,
Cyanocobalamin,cyanocobalamin,cyanocobalamin,C0304961,cyanocobalamin Co57,IN
Cyanocobalamin;Isopropyl Alcohol,cyanocobalamin isopropyl alcohol,cyanocobalamin isopropyl alcohol,,,
Cyanocobalamin/Folic Acid,cyanocobalamin/folic acid,cyanocobalamin/folic acid,,,
Cyanocobalamin/Folic Acid/Iron Polysaccharide,cyanocobalamin/folic acid/iron polysaccharide,cyanocobalamin/folic acid/iron polysaccharide,,,
Cyanocobalamin/Folic Acid/Pyridoxine,cyanocobalamin/folic acid/pyridoxine,cyanocobalamin/folic acid/pyridoxine,,,
Cyanocobalamin/Levomefolate Calcium/Pyridoxine,cyanocobalamin/levomefolate calcium/pyridoxine,cyanocobalamin/levomefolate calcium/pyridoxine,,,
Cyanocobalamin/Salcaprozate Sodium,cyanocobalamin/salcaprozate sodium,cyanocobalamin/salcaprozate,,,
Cyclobenzaprine HCl;Flurbiprofen;Cream Base,cyclobenzaprine hcl flurbiprofen base,cyclobenzaprine flurbiprofen base,C0056732,cyclobenzaprine,IN
Cyclobenzaprine Hydrochloride,cyclobenzaprine hydrochloride,cyclobenzaprine,C0125988,cyclobenzaprine hydrochloride,PIN
Cyclopentolate HCl/Phenyleph HCl,cyclopentolate hcl/phenyleph hcl,cyclopentolate hcl/phenyleph,C0010582,cyclopentolate,IN
Cyclopentolate Hydrochloride,cyclopentolate hydrochloride,cyclopentolate,C0357664,cyclopentolate hydrochloride,PIN
Cyclophosphamide,cyclophosphamide,cyclophosphamide,C0010583,cyclophosphamide,IN
Cycloserine,cycloserine,cycloserine,C0010590,cycloserine,IN
Cyclosporine,cyclosporine,cyclosporine,C0010592,cyclosporine,IN
"Cyclosporine, Modified",cyclosporine modified,cyclosporine modified,C0771305,"cyclosporine, modified",PIN
Cyproheptadine Hydrochloride,cyproheptadine hydrochloride,cyproheptadine,C0354872,cyproheptadine hydrochloride,PIN
Cysteamine,cysteamine,cysteamine,C0010648,cysteamine,IN
Cysteamine Bitartrate,cysteamine bitartrate,cysteamine,C0282119,cysteamine bitartrate,PIN
Cysteine Hydrochloride,cysteine hydrochloride,cysteine,C0724565,cysteine hydrochloride,PIN
Cytarabine,cytarabine,cytarabine,C0010711,cytarabine,IN
"Cytomegalovirus Immune Globulin, Human",cytomegalovirus immune globulin human,cytomegalovirus immune globulin human,C4281720,"cytomegalovirus immune globulin, human",PIN
Dabigatran Etexilate Mesylate,dabigatran etexilate mesylate,dabigatran etexilate,C2343849,dabigatran etexilate mesylate,PIN
Dabrafenib Mesylate,dabrafenib mesylate,dabrafenib,C3644554,dabrafenib mesylate,PIN
Dacarbazine,dacarbazine,dacarbazine,C0010927,dacarbazine,IN
Daclatasvir,daclatasvir,daclatasvir,C3252090,daclatasvir,IN
Dalbavancin,dalbavancin,dalbavancin,C1172636,dalbavancin,IN
Dalfampridine,dalfampridine,dalfampridine,C0000477,dalfampridine,IN
Dalfopristin/Quinupristin,dalfopristin/quinupristin,dalfopristin/quinupristin,C0756085,dalfopristin,IN
Dalteparin Sodium,dalteparin sodium,dalteparin,C0282471,dalteparin sodium,PIN
Danazol,danazol,danazol,C0010961,danazol,IN
Dantrolene Sodium,dantrolene sodium,dantrolene,C0010977,dantrolene sodium,PIN
Dapagliflozin Propanediol,dapagliflozin propanediol,dapagliflozin propanediol,C3555622,dapagliflozin propanediol,PIN
Dapagliflozin Propanediol/Metformin Hydrochloride,dapagliflozin propanediol/metformin hydrochloride,dapagliflozin propanediol/metformin,C2353951,dapagliflozin,IN
Dapsone,dapsone,dapsone,C0010980,dapsone,IN
Daptomycin,daptomycin,daptomycin,C0057144,daptomycin,IN
Darbepoetin Alfa,darbepoetin alfa,darbepoetin alfa,C0937950,darbepoetin alfa,IN
Daridorexant,daridorexant,daridorexant,C5227711,daridorexant,IN
Darifenacin Hydrobromide,darifenacin hydrobromide,darifenacin hydrobromide,C1577176,darifenacin hydrobromide,PIN
Darunavir Ethanolate,darunavir ethanolate,darunavir ethanolate,C1725651,darunavir ethanolate,PIN
Dasabuvir;Ombitasvir/Paritaprevir/Ritonavir,dasabuvir ombitasvir/paritaprevir/ritonavir,dasabuvir ombitasvir/paritaprevir/ritonavir,C3852512,dasabuvir,IN
Dasatinib,dasatinib,dasatinib,C1455147,dasatinib,IN
Dasiglucagon,dasiglucagon,dasiglucagon,C5139868,dasiglucagon,IN
Daunorubicin Hydrochloride,daunorubicin hydrochloride,daunorubicin,C0282123,daunorubicin hydrochloride,PIN
Deferasirox,deferasirox,deferasirox,C1619629,deferasirox,IN
Deferiprone,deferiprone,deferiprone,C0043832,deferiprone,IN
Deferoxamine Mesylate,deferoxamine mesylate,deferoxamine,C0011148,deferoxamine mesylate,PIN
Deflazacort,deflazacort,deflazacort,C0057258,deflazacort,IN
Dehydrated Alcohol,dehydrated alcohol,dehydrated alcohol,C2825044,dehydrated alcohol,PIN
Dehydroepiandrosterone,dehydroepiandrosterone,dehydroepiandrosterone,C0693513,dehydroepiandrosterone 1 % Topical Cream,PSN
Delafloxacin,delafloxacin,delafloxacin,C2828290,delafloxacin,IN
Demeclocycline Hydrochloride,demeclocycline hydrochloride,demeclocycline,C0282125,demeclocycline hydrochloride,PIN
Denosumab,denosumab,denosumab,C1690432,denosumab,IN
Deoxy-D-Glucose,deoxy-d-glucose,deoxy-d-glucose,,,
Dermatophagoides Farinae Extract,dermatophagoides farinae extract,dermatophagoides farinae extract,C0719779,Dermatop,BN
Dermatophagoides Pteronyssinus Extract,dermatophagoides pteronyssinus extract,dermatophagoides pteronyssinus extract,C0719779,Dermatop,BN
Desipramine Hydrochloride,desipramine hydrochloride,desipramine,C0700529,desipramine hydrochloride,PIN
Desloratadine,desloratadine,desloratadine,C0908935,desloratadine,IN
Desloratadine/Pseudoephedrine Sulfate,desloratadine/pseudoephedrine sulfate,desloratadine/pseudoephedrine,C0908935,desloratadine,IN
Desmopressin Acetate,desmopressin acetate,desmopressin,C0086135,desmopressin acetate,PIN
Desogestrel/Ethinyl Estradiol;Desogestrel/Ethinyl,desogestrel/ethinyl estradiol desogestrel/ethinyl,desogestrel/ethinyl estradiol desogestrel/ethinyl,C0057558,desogestrel,IN
Desogestrel/Ethinyl Estradiol;Ethinyl Estradiol;Pl,desogestrel/ethinyl estradiol ethinyl estradiol pl,desogestrel/ethinyl estradiol ethinyl estradiol pl,C0057558,desogestrel,IN
Desogestrel/Ethinyl Estradiol;Placebo,desogestrel/ethinyl estradiol placebo,desogestrel/ethinyl estradiol placebo,C0057558,desogestrel,IN
Desonide,desonide,desonide,C0011705,desonide,IN
"Desonide, Micronized",desonide micronized,desonide micronized,C0011705,desonide,IN
Desoximetasone,desoximetasone,desoximetasone,C0011707,desoximetasone,IN
Desvenlafaxine,desvenlafaxine,desvenlafaxine,C1880288,desvenlafaxine,IN
Desvenlafaxine Succinate,desvenlafaxine succinate,desvenlafaxine,C1742884,desvenlafaxine succinate,PIN
Deucravacitinib,deucravacitinib,deucravacitinib,C5420928,deucravacitinib,IN
Deutetrabenazine,deutetrabenazine,deutetrabenazine,C4277781,deutetrabenazine,IN
Device,device,device,,,
"Device, Inhalation",device inhalation,device inhalation,,,
Dexamethasone,dexamethasone,dexamethasone,C0011777,dexamethasone,IN
"Dexamethasone Acetate, Micronized",dexamethasone acetate micronized,dexamethasone micronized,C0011777,dexamethasone,IN
