fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
hirnamin levomepromazine,hirnamin levomepromazine,hirnamin levomepromazine,,,
holoxan,holoxan,holoxan,,,
holoxan 1000 mg poudre pour solution injectable,holoxan 1000 mg poudre pour injectable,holoxan 1000 mg poudre pour injectable,,,
holoxan 1g,holoxan 1g,holoxan 1g,,,
holoxan 2000 mg poudre pour usage parent ral,holoxan 2000 mg poudre pour usage parent ral,holoxan 2000 mg poudre pour usage parent ral,,,
holoxan 2000 mg poudre pour usage parent ral,holoxan 2000 mg poudre pour usage parent ral,holoxan 2000 mg poudre pour usage parent ral,,,
holoxan 4 g lyophilisat pour solution injectable,holoxan 4 g lyophilisat pour injectable,holoxan 4 g lyophilisat pour injectable,,,
human clostridium tetani toxoid immune globulin,human clostridium tetani toxoid immune globulin,human clostridium tetani toxoid immune globulin,,,
human coagulation factor viii rdna,human coagulation factor viii rdna,human coagulation factor viii rdna,,,
human coagulation factor viiivon willebrand factor complex,human coagulation factor viiivon willebrand factor complex,human coagulation factor viiivon willebrand factor complex,,,
human cytomegalovirus immune globulin,human cytomegalovirus immune globulin,human cytomegalovirus immune globulin,,,
human factor viii,human factor viii,human factor viii,,,
human factor xiii inn,human factor xiii inn,human factor xiii inn,,,
human immunoglobulin,human immunoglobulin,human immunoglobulin,,,
human immunoglobulin nc immunoglobulin human normal,human immunoglobulin nc immunoglobulin human normal,human immunoglobulin nc immunoglobulin human normal,,,
human immunoglobulin ph4,human immunoglobulin ph4,human immunoglobulin ph4,,,
human immunoglobulin g,human immunoglobulin g,human immunoglobulin g,,,
human immunoglobulin ghyaluronidase recombinant human,human immunoglobulin ghyaluronidase recombinant human,human immunoglobulin ghyaluronidase recombinant human,,,
human normal immunoglobulin,human normal immunoglobulin,human normal immunoglobulin,,,
human normal immunoglobulin iv,human normal immunoglobulin iv,human normal immunoglobulin iv,,,
human normal immunoglobulin iv tradename unknown,human normal immunoglobulin iv tradename unknown,human normal immunoglobulin iv tradename unknown,,,
humate p,humate p,humate p,,,
hydrochloorthiazide drank 05mgml,hydrochloorthiazide drank 05mgml,hydrochloorthiazide drank 05mgml,,,
hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,hydrocodone and acetaminophen,,,
hydrocodoneacetaminophen,hydrocodoneacetaminophen,hydrocodoneacetaminophen,,,
hydrocortison,hydrocortison,hydrocortison,,,
hydrocortisone hemisuccinate,hydrocortisone hemisuccinate,hydrocortisone hemisuccinate,,,
hydrocortisone unk,hydrocortisone unk,hydrocortisone unk,,,
hydromedin,hydromedin,hydromedin,,,
hydromorph contin,hydromorph contin,hydromorph contin,,,
hydroxine,hydroxine,hydroxine,,,
hydroxocobalamin watson laboratories,hydroxocobalamin watson laboratories,hydroxocobalamin watson laboratories,,,
hydroxycarbamide,hydroxycarbamide,hydroxycarbamide,,,
hydroxyprogesterone caproate,hydroxyprogesterone caproate,hydroxyprogesterone caproate,,,
hydroxyprogesterone caproate,hydroxyprogesterone caproate,hydroxyprogesterone caproate,,,
hydroxyzine chlorhydrate d,hydroxyzine chlorhydrate d,hydroxyzine chlorhydrate d,,,
hylands nighttime cold n cough 4 kids liquid,hylands nighttime cold n cough 4 kids liquid,hylands nighttime cold n cough 4 kids liquid,,,
hypnorex slow release,hypnorex slow release,hypnorex slow release,,,
hypnorex retard,hypnorex retard,hypnorex retard,,,
hytacand,hytacand,hytacand,,,
haemate p,haemate p,haemate p,,,
higlobin,higlobin,higlobin,,,
horizon,horizon,horizon,,,
human coagulation factor viii recombinant unspecified,human coagulation factor viii recombinant unspecified,human coagulation factor viii recombinant unspecified,,,
human immunoglobulin generic,human immunoglobulin generic,human immunoglobulin generic,,,
human immunoglobulin inn,human immunoglobulin inn,human immunoglobulin inn,,,
human immunoglobulin nc,human immunoglobulin nc,human immunoglobulin nc,,,
human immunoglobulin noncompany,human immunoglobulin noncompany,human immunoglobulin noncompany,,,
human immunoglobulin iv inn,human immunoglobulin iv inn,human immunoglobulin iv inn,,,
human immunoglobulin iv bmw generic,human immunoglobulin iv bmw generic,human immunoglobulin iv bmw generic,,,
hydrocodone and acetaminophen,hydrocodone and acetaminophen,hydrocodone and acetaminophen,,,
hydromorphone hcl similar to 19892,hydromorphone hcl similar to 19892,hydromorphone similar to 19892,,,
imetaiodobenzylguanidine,imetaiodobenzylguanidine,imetaiodobenzylguanidine,,,
icl670a,icl670a,icl670a,,,
idasanutlin,idasanutlin,idasanutlin,,,
ifosphamide,ifosphamide,ifosphamide,,,
imeth,imeth,imeth,,,
immunate stim plus,immunate stim plus,immunate stim plus,,,
immune globulin human,immune globulin human,immune globulin human,,,
immune globulin immunoglobulins nos,immune globulin immunoglobulins nos,immune globulin immunoglobulins nos,,,
immune globulin nos,immune globulin nos,immune globulin nos,,,
immunglobulin,immunglobulin,immunglobulin,,,
immunglobulin immunoglobulin human normal,immunglobulin immunoglobulin human normal,immunglobulin immunoglobulin human normal,,,
immunine coagulation factor ix human,immunine coagulation factor ix human,immunine coagulation factor ix human,,,
immunoglobulin 00025201,immunoglobulin 00025201,immunoglobulin 00025201,,,
immunoglobulin immunoglobulin human normal,immunoglobulin immunoglobulin human normal,immunoglobulin immunoglobulin human normal,,,
immunoglobulin immunoglobulins nos,immunoglobulin immunoglobulins nos,immunoglobulin immunoglobulins nos,,,
immunoglobulin immunoglobulin iv,immunoglobulin immunoglobulin iv,immunoglobulin immunoglobulin iv,,,
immunoglobulines humaines cnts,immunoglobulines humaines cnts,immunoglobulines humaines cnts,,,
immunoglobulins nos,immunoglobulins nos,immunoglobulins nos,,,
imovane,imovane,imovane,,,
imraldi,imraldi,imraldi,,,
imukin,imukin,imukin,,,
imunace,imunace,imunace,,,
imurek,imurek,imurek,,,
imurel,imurel,imurel,,,
imurel 00001501,imurel 00001501,imurel 00001501,,,
inc424a,inc424a,inc424a,,,
incb018424,incb018424,incb018424,,,
incivo,incivo,incivo,,,
indocyanine vert d,indocyanine vert d,indocyanine vert d,,,
inegy,inegy,inegy,,,
inexium,inexium,inexium,,,
infants mylicon,infants mylicon,infants mylicon,,,
infants tylenol,infants tylenol,infants tylenol,,,
infants tylenol,infants tylenol,infants tylenol,,,
influenza ha vaccine,influenza ha vaccine,influenza ha vaccine,,,
influenza vaccine,influenza vaccine,influenza vaccine,,,
influenza virus vacc seasonal inn,influenza virus vacc seasonal inn,influenza virus vacc seasonal inn,,,
influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,,,
influvac tetra,influvac tetra,influvac tetra,,,
inipomp,inipomp,inipomp,,,
injectio glucosi 5 et natrii chlorati 09 21 baxter,injectio glucosi 5 et natrii chlorati 09 21 baxter,injectio glucosi 5 et natrii chlorati 09 21 baxter,,,
inmunoglobulina caballo antitimocitos humanos 53a immunoglobulin human normal,inmunoglobulina caballo antitimocitos humanos 53a immunoglobulin human normal,inmunoglobulina caballo antitimocitos humanos 53a immunoglobulin human normal,,,
inolimomab,inolimomab,inolimomab,,,
inorial,inorial,inorial,,,
inovelon,inovelon,inovelon,,,
inoflo,inoflo,inoflo,,,
insidon,insidon,insidon,,,
insulin nos,insulin nos,insulin nos,,,
insulin porcine,insulin porcine,insulin porcine,,,
insulin porkinsulin purified pork,insulin porkinsulin purified pork,insulin porkinsulin purified pork,,,
insuline,insuline,insuline,,,
insuline 01223401,insuline 01223401,insuline 01223401,,,
interferon alfa nos,interferon alfa nos,interferon alfa nos,,,
interferon alfa2a or interferon alfa2b,interferon alfa2a or interferon alfa2b,interferon alfa2a or interferon alfa2b,,,
intratect,intratect,intratect,,,
investigational drug,investigational drug,investigational drug,,,
investigational product,investigational product,investigational product,,,
iomeron,iomeron,iomeron,,,
isocef,isocef,isocef,,,
isopedia,isopedia,isopedia,,,
isophane insulin,isophane insulin,isophane insulin,,,
isoprinosine,isoprinosine,isoprinosine,,,
isopromethazine hydrochloride,isopromethazine hydrochloride,isopromethazine,,,
isotonic sodium chloride solution,isotonic sodium chloride,isotonic chloride,,,
isotretinoin isotretinoin,isotretinoin isotretinoin,isotretinoin isotretinoin,,,
itrizole,itrizole,itrizole,,,
iv ibuprofen,iv ibuprofen,iv ibuprofen,,,
ivig,ivig,ivig,,,
ivig not biotest,ivig not biotest,ivig not biotest,,,
ideos,ideos,ideos,,,
ifosphamide,ifosphamide,ifosphamide,,,
imap,imap,imap,,,
imurel,imurel,imurel,,,
indacin,indacin,indacin,,,
inexium,inexium,inexium,,,
insidon,insidon,insidon,,,
interferonalpha,interferonalpha,interferonalpha,,,
irfen,irfen,irfen,,,
jakavi,jakavi,jakavi,,,
jimin glucosesodium chloride,jimin glucosesodium chloride,jimin glucosesodium chloride,,,
josacine,josacine,josacine,,,
jr tylenol,jr tylenol,jr tylenol,,,
jurnista,jurnista,jurnista,,,
juvela,juvela,juvela,,,
jzoloft,jzoloft,jzoloft,,,
jaydess,jaydess,jaydess,,,
josacine,josacine,josacine,,,
kabiven,kabiven,kabiven,,,
kabiven 07718101,kabiven 07718101,kabiven 07718101,,,
kapecitabin teva,kapecitabin teva,kapecitabin teva,,,
kardegic,kardegic,kardegic,,,
karison,karison,karison,,,
katadolon,katadolon,katadolon,,,
kcl,kcl,kcl,,,
kefadim,kefadim,kefadim,,,
keimax,keimax,keimax,,,
kenalog40,kenalog40,kenalog40,,,
kepinol,kepinol,kepinol,,,
kesaria balguti,kesaria balguti,kesaria balguti,,,
ketanest,ketanest,ketanest,,,
kidrolase,kidrolase,kidrolase,,,
kiovig,kiovig,kiovig,,,
kiovig 100 mgml infusjonsv ske oppl sning,kiovig 100 mgml infusjonsv ske oppl sning,kiovig 100 mgml infusjonsv ske oppl sning,,,
kiovig 100 mgml soluci n para perfusi n 20g200ml,kiovig 100 mgml soluci n para perfusi n 20g200ml,kiovig 100 mgml soluci n para perfusi n 20g200ml,,,
kiovig 100 mgml solution for infusion,kiovig 100 mgml for infusion,kiovig 100 mgml for infusion,,,
kiovig 100 mgml solution for infusion intravenous use vial glass 30,kiovig 100 mgml for infusion intravenous use vial glass 30,kiovig 100 mgml for infusion intravenous use vial glass 30,,,
kiovig solution for infusion 10,kiovig for infusion 10,kiovig for infusion 10,,,
kiovig 100 mgml solution pour perfusion,kiovig 100 mgml pour perfusion,kiovig 100 mgml pour perfusion,,,
kivexa,kivexa,kivexa,,,
klacid,klacid,klacid,,,
klacid 125 mg5 ml susp,klacid 125 mg5 ml susp,klacid 125 mg5 ml susp,,,
klacid os 125mg5ml,klacid os 125mg5ml,klacid os 125mg5ml,,,
klaricid,klaricid,klaricid,,,
klaricid 00984601,klaricid 00984601,klaricid 00984601,,,
klaricid paediatric suspension 125 mg5ml granules for oral suspension,klaricid paediatric 125 mg5ml granules for oral,klaricid paediatric 125 mg5ml granules for oral,,,
klaricid pediatric,klaricid pediatric,klaricid pediatric,,,
klipal codeine,klipal codeine,klipal codeine,,,
klipal codeine 600 mg50 mg comprime,klipal codeine 600 mg50 mg comprime,klipal codeine 600 mg50 mg comprime,,,
kratom tea,kratom tea,kratom tea,,,
kreon,kreon,kreon,,,
karbamazepin,karbamazepin,karbamazepin,,,
kidrolase,kidrolase,kidrolase,,,
kivexa,kivexa,kivexa,,,
lasparaginasa,lasparaginasa,lasparaginasa,,,
lasparaginase,lasparaginase,lasparaginase,,,
lasparginase,lasparginase,lasparginase,,,
lasparaginase,lasparaginase,lasparaginase,,,
lpam,lpam,lpam,,,
lpam 00006401,lpam 00006401,lpam 00006401,,,
lthyroxin,lthyroxin,lthyroxin,,,
lasparaginase,lasparaginase,lasparaginase,,,
l 5 methyltetrahydrofolate,l 5 methyltetrahydrofolate,l 5 methyltetrahydrofolate,,,
l thyroxine,l thyroxine,l thyroxine,,,
lactulose manufacturer unknown,lactulose manufacturer unknown,lactulose manufacturer unknown,,,
lactulose liquid,lactulose liquid,lactulose liquid,,,
lamivudinehiv,lamivudinehiv,lamivudinehiv,,,
lamotrigin 1 a pharma,lamotrigin 1 a pharma,lamotrigin 1 a pharma,,,
lamotrigin teva,lamotrigin teva,lamotrigin teva,,,
landiolol,landiolol,landiolol,,,
landiolol hydrochloride,landiolol hydrochloride,landiolol,,,
landsen,landsen,landsen,,,
lapine tlymphocyte immune globulin,lapine tlymphocyte immune globulin,lapine tlymphocyte immune globulin,,,
laroxyl,laroxyl,laroxyl,,,
laroxyl 40 mgml solution buvable,laroxyl 40 mgml buvable,laroxyl 40 mgml buvable,,,
lasilix,lasilix,lasilix,,,
lastet,lastet,lastet,,,
lendacin,lendacin,lendacin,,,
leponex,leponex,leponex,,,
lepticur,lepticur,lepticur,,,
lestaurtinib,lestaurtinib,lestaurtinib,,,
letrozol accord,letrozol accord,letrozol accord,,,
leunase,leunase,leunase,,,
leuplin,leuplin,leuplin,,,
levocarnil,levocarnil,levocarnil,,,
levocarnil 00878601,levocarnil 00878601,levocarnil 00878601,,,
levocloperastine hydrochloride,levocloperastine hydrochloride,levocloperastine,,,
levosalbutamol,levosalbutamol,levosalbutamol,,,
levothyrox,levothyrox,levothyrox,,,
levothyrox levothyroxine sodium levothyroxine sodium,levothyrox levothyroxine sodium levothyroxine sodium,levothyrox levothyroxine levothyroxine,,,
levothyrox levothyroxine sodium infusion,levothyrox levothyroxine sodium infusion,levothyrox levothyroxine infusion,,,
levothyrox 150 microgrammes comprime secable,levothyrox 150 microgrammes comprime secable,levothyrox 150 microgrammes comprime secable,,,
levothyrox 50,levothyrox 50,levothyrox 50,,,
levothyrox 50 microgrammes,levothyrox 50 microgrammes,levothyrox 50 microgrammes,,,
levothyrox 75 microgrammes comprim s cable,levothyrox 75 microgrammes comprim s cable,levothyrox 75 microgrammes comprim s cable,,,
lexomil,lexomil,lexomil,,,
lexomil roche,lexomil roche,lexomil roche,,,
lexotanil,lexotanil,lexotanil,,,
lifuxin cefuroxime sodium,lifuxin cefuroxime sodium,lifuxin cefuroxime,,,
limethason dexamethasone palmitate,limethason dexamethasone palmitate,limethason dexamethasone palmitate,,,
lindynette,lindynette,lindynette,,,
linton,linton,linton,,,
lipidsoluble vitamins injection ii,lipidsoluble vitamins ii,lipidsoluble vitamins ii,,,
lipiodol,lipiodol,lipiodol,,,
lipiodol ultra fluid,lipiodol ultra fluid,lipiodol ultra fluid,,,
liposomal doxorubicin hcl,liposomal doxorubicin hcl,liposomal doxorubicin,,,
lipovenoes mct 20,lipovenoes mct 20,lipovenoes mct 20,,,
liprolog,liprolog,liprolog,,,
liquaemin,liquaemin,liquaemin,,,
lisihexal,lisihexal,lisihexal,,,
liskantin,liskantin,liskantin,,,
little remedies gas relief drops,little remedies gas relief,little remedies gas relief,,,
locacorten,locacorten,locacorten,,,
lodotra,lodotra,lodotra,,,
lonasen,lonasen,lonasen,,,
lonquex,lonquex,lonquex,,,
loxen 00639802,loxen 00639802,loxen 00639802,,,
loxen nicardipine hydrochloride,loxen nicardipine hydrochloride,loxen nicardipine,,,
loxen nicardipine,loxen nicardipine,loxen nicardipine,,,
loxen l p,loxen l p,loxen l p,,,
loxen l p 50 mg,loxen l p 50 mg,loxen l p 50 mg,,,
loxen lp,loxen lp,loxen lp,,,
loxen nicardipine hydrochloride,loxen nicardipine hydrochloride,loxen nicardipine,,,
lumicef,lumicef,lumicef,,,
luveltamab tazevibulin,luveltamab tazevibulin,luveltamab tazevibulin,,,
lyovac cosmegen,lyovac cosmegen,lyovac cosmegen,,,
lamitrigine dispersible tablets 50mg,lamitrigine dispersible 50mg,lamitrigine dispersible 50mg,,,
lamotrigin dura,lamotrigin dura,lamotrigin dura,,,
lamotrigin dura,lamotrigin dura,lamotrigin dura,,,
laroxyl,laroxyl,laroxyl,,,
lasilix,lasilix,lasilix,,,
leponex,leponex,leponex,,,
lestaurtinib,lestaurtinib,lestaurtinib,,,
leunase,leunase,leunase,,,
levocarnil,levocarnil,levocarnil,,,
levothyrox,levothyrox,levothyrox,,,
lexomil,lexomil,lexomil,,,
lonquex,lonquex,lonquex,,,
loxen l p,loxen l p,loxen l p,,,
mmr ii,mmr ii,mmr ii,,,
mmrvaxpro,mmrvaxpro,mmrvaxpro,,,
m m r ii,m m r ii,m m r ii,,,
mabthera,mabthera,mabthera,,,
macladin,macladin,macladin,,,
magnesium isoglycyrrhizinate,magnesium isoglycyrrhizinate,isoglycyrrhizinate,,,
magnesium sulfate manufacturer unknown,magnesium sulfate manufacturer unknown,manufacturer unknown,,,
magnesium sulfate in dextrose,magnesium sulfate in dextrose,in dextrose,,,
makena hydroxyprogesterone caproae 250 mgml injection 250mgml,makena hydroxyprogesterone caproae 250 mgml 250mgml,makena hydroxyprogesterone caproae 250 mgml 250mgml,,,
makena hydroxyprogesterone caproate 250 mgml injection 250 mgml,makena hydroxyprogesterone caproate 250 mgml 250 mgml,makena hydroxyprogesterone caproate 250 mgml 250 mgml,,,
makena hydroxyprogesterone caproate 250 mgml injection 250mgml,makena hydroxyprogesterone caproate 250 mgml 250mgml,makena hydroxyprogesterone caproate 250 mgml 250mgml,,,
makena hydroxyprogesterone caproate 250 injection 250 mgml,makena hydroxyprogesterone caproate 250 250 mgml,makena hydroxyprogesterone caproate 250 250 mgml,,,
makena hydroxyprogesterone caproate 250mgml injection 250mgml,makena hydroxyprogesterone caproate 250mgml 250mgml,makena hydroxyprogesterone caproate 250mgml 250mgml,,,
marzulene azulene sodium sulfonatelevoglutamide,marzulene azulene sodium sulfonatelevoglutamide,marzulene azulene sulfonatelevoglutamide,,,
mcp,mcp,mcp,,,
measles mumps and rubella wistar ra 273 virus vacc live,measles mumps and rubella wistar ra 273 virus vacc live,measles mumps and rubella wistar ra 273 virus vacc live,,,
measlesmumpsrubella virus vaccine,measlesmumpsrubella virus vaccine,measlesmumpsrubella virus vaccine,,,
measlesmumpsrubella virus vaccine live,measlesmumpsrubella virus vaccine live,measlesmumpsrubella virus vaccine live,,,
measlesmumpsrubellavaricella virus vaccine live,measlesmumpsrubellavaricella virus vaccine live,measlesmumpsrubellavaricella virus vaccine live,,,
measlesrubella virus vaccine live nos,measlesrubella virus vaccine live nos,measlesrubella virus vaccine live nos,,,
medikinet,medikinet,medikinet,,,
mediumchain triglyceridessoybean oil,mediumchain triglyceridessoybean oil,mediumchain triglyceridessoybean oil,,,
meiact,meiact,meiact,,,
meiact ms,meiact ms,meiact ms,,,
meiact ms fine granules cefditoren pivoxil,meiact ms fine granules cefditoren pivoxil,meiact ms fine granules cefditoren pivoxil,,,
meilax,meilax,meilax,,,
menitorix,menitorix,menitorix,,,
menjugate,menjugate,menjugate,,,
mepem meropenem,mepem meropenem,mepem meropenem,,,
mephamesone,mephamesone,mephamesone,,,
mephaquin,mephaquin,mephaquin,,,
mercaptamine,mercaptamine,mercaptamine,,,
meriestra,meriestra,meriestra,,,
meronem,meronem,meronem,,,
metfin,metfin,metfin,,,
methadose sugarfree,methadose sugarfree,methadose sugarfree,,,
methocarbomol,methocarbomol,methocarbomol,,,
methotrexat,methotrexat,methotrexat,,,
methotrexat accord,methotrexat accord,methotrexat accord,,,
methotrexate methotrexate sodium,methotrexate methotrexate sodium,methotrexate methotrexate,,,
methotrexate methotrexate,methotrexate methotrexate,methotrexate methotrexate,,,
methotrexate manufacturer unknown,methotrexate manufacturer unknown,methotrexate manufacturer unknown,,,
methotrexate trade name unknown,methotrexate trade name unknown,methotrexate trade name unknown,,,
methotrexate 25mg tablets,methotrexate 25mg,methotrexate 25mg,,,
methotrexate biodim,methotrexate biodim,methotrexate biodim,,,
methotrexate ebewe,methotrexate ebewe,methotrexate ebewe,,,
methotrexate pf 50 mg2 ml teva,methotrexate pf 50 mg2 ml teva,methotrexate pf 50 mg2 ml teva,,,
methotrexato,methotrexato,methotrexato,,,
methyl prednisolone sodium succinate,methyl prednisolone sodium succinate,methyl prednisolone,,,
methylcobalamin,methylcobalamin,methylcobalamin,,,
methyldopa methyldopa,methyldopa methyldopa,methyldopa methyldopa,,,
methyldopa msd,methyldopa msd,methyldopa msd,,,
methyldopa stada,methyldopa stada,methyldopa stada,,,
methyldopa tablet 500mg brand name not specified,methyldopa 500mg brand name not specified,methyldopa 500mg brand name not specified,,,
methylfenidaat capsule mga 10mg brand name not specified,methylfenidaat mga 10mg brand name not specified,methylfenidaat mga 10mg brand name not specified,,,
methylprednisolone 00049602,methylprednisolone 00049602,methylprednisolone 00049602,,,
methylprednisolone methylprednisolone,methylprednisolone methylprednisolone,methylprednisolone methylprednisolone,,,
methylprednisolone manufacturer unknown,methylprednisolone manufacturer unknown,methylprednisolone manufacturer unknown,,,
methylprednisolone hemisuccinate,methylprednisolone hemisuccinate,methylprednisolone hemisuccinate,,,
methylprednisolone mylan,methylprednisolone mylan,methylprednisolone mylan,,,
methylprednisone,methylprednisone,methylprednisone,,,
metilprednisolona,metilprednisolona,metilprednisolona,,,
metilprednisolona 888a,metilprednisolona 888a,metilprednisolona 888a,,,
metilprednisolone,metilprednisolone,metilprednisolone,,,
metoclopramida 1958a,metoclopramida 1958a,metoclopramida 1958a,,,
metoclopramide metoclopramide,metoclopramide metoclopramide,metoclopramide metoclopramide,,,
metohexal,metohexal,metohexal,,,
metohexal succ,metohexal succ,metohexal succ,,,
metoprolol metoprolol succinate 25mg tab sa,metoprolol metoprolol succinate 25mg sa,metoprolol metoprolol 25mg sa,,,
metoprolol 50mg tablet,metoprolol 50mg,metoprolol 50mg,,,
metoprolol retard,metoprolol retard,metoprolol retard,,,
metoprolol salt not specified,metoprolol salt not specified,metoprolol salt not specified,,,
metoprololsuccinat ret,metoprololsuccinat ret,metoprololsuccinat ret,,,
metoprololsuccinat 1a farma,metoprololsuccinat 1a farma,metoprololsuccinat 1a farma,,,
metotressato teva 25 mgml soluzione iniettabile,metotressato teva 25 mgml soluzione iniettabile,metotressato teva 25 mgml soluzione iniettabile,,,
metotrexate,metotrexate,metotrexate,,,
metotrexato 418a,metotrexato 418a,metotrexato 418a,,,
metronidazol,metronidazol,metronidazol,,,
metronidazole baxter 05 pour cent solution injectable en poche,metronidazole baxter 05 pour cent injectable en poche,metronidazole baxter 05 pour cent injectable en poche,,,
metronidazole gel 1,metronidazole gel 1,metronidazole gel 1,,,
mezavant,mezavant,mezavant,,,
micronefrin 00003902,micronefrin 00003902,micronefrin 00003902,,,
micronefrin 00003902,micronefrin 00003902,micronefrin 00003902,,,
micropakine,micropakine,micropakine,,,
micropakine lp,micropakine lp,micropakine lp,,,
micropam 5 mg25 ml soluzione rettale,micropam 5 mg25 ml soluzione rettale,micropam 5 mg25 ml soluzione rettale,,,
microval,microval,microval,,,
midanium,midanium,midanium,,,
midomafetamine,midomafetamine,midomafetamine,,,
mifegyne,mifegyne,mifegyne,,,
minerals,minerals,minerals,,,
minerals nos,minerals nos,minerals nos,,,
mineralsomega3 fatty acidsvitamins,mineralsomega3 fatty acidsvitamins,mineralsomega3 fatty acidsvitamins,,,
mineralsvitamins,mineralsvitamins,mineralsvitamins,,,
minerva,minerva,minerva,,,
mirtazapin stada,mirtazapin stada,mirtazapin stada,,,
misoone 400 microgrammes comprim,misoone 400 microgrammes comprim,misoone 400 microgrammes comprim,,,
miyabm,miyabm,miyabm,,,
mizoribin,mizoribin,mizoribin,,,
mizoribine,mizoribine,mizoribine,,,
mln4924,mln4924,mln4924,,,
mmf,mmf,mmf,,,
moderna covid19 vaccine,moderna covid19 vaccine,moderna covid19 vaccine,,,
modiodal,modiodal,modiodal,,,
modiodal 100 mg comprim,modiodal 100 mg comprim,modiodal 100 mg comprim,,,
modiodal 100 mg,modiodal 100 mg,modiodal 100 mg,,,
modiodal tablets 100mg,modiodal 100mg,modiodal 100mg,,,
momegalen,momegalen,momegalen,,,
monazol ovule,monazol ovule,monazol ovule,,,
mopral,mopral,mopral,,,
morphin hcl,morphin hcl,morphin,,,
mucosolvan,mucosolvan,mucosolvan,,,
multi vitamin,multi vitamin,multi vitamin,,,
multi vitamin drops with fluoride,multi vitamin with fluoride,multi vitamin with fluoride,,,
multitrace 4 pediatric,multitrace 4 pediatric,multitrace 4 pediatric,,,
multivitamin with fluoride,multivitamin with fluoride,multivitamin with fluoride,,,
mumps vaccine,mumps vaccine,mumps vaccine,,,
mydriaticum,mydriaticum,mydriaticum,,,
myelostim,myelostim,myelostim,,,
myslee,myslee,myslee,,,
mystan,mystan,mystan,,,
mabthera,mabthera,mabthera,,,
magnevistan,magnevistan,magnevistan,,,
maxacalcitol,maxacalcitol,maxacalcitol,,,
medialipide,medialipide,medialipide,,,
medium and long chain fat emulsion injection c824,medium and long chain fat emulsion c824,medium and long chain fat emulsion c824,,,
melfalan,melfalan,melfalan,,,
meningococcal b recom vaccine aloh omv,meningococcal b recom vaccine aloh omv,meningococcal b recom vaccine aloh omv,,,
mepem,mepem,mepem,,,
mephamesone,mephamesone,mephamesone,,,
mephaquin,mephaquin,mephaquin,,,
meriestra,meriestra,meriestra,,,
methotrexatteva 50 mg2 ml,methotrexatteva 50 mg2 ml,methotrexatteva 50 mg2 ml,,,
methotrexate mylan,methotrexate mylan,methotrexate mylan,,,
methyldopa unknown,methyldopa unknown,methyldopa unknown,,,
methyldopa watson laboratories,methyldopa watson laboratories,methyldopa watson laboratories,,,
methyldopa msd,methyldopa msd,methyldopa msd,,,
methyldopa stada 250 mg,methyldopa stada 250 mg,methyldopa stada 250 mg,,,
metoclopramid 5mgml solutie injectabila,metoclopramid 5mgml solutie injectabila,metoclopramid 5mgml solutie injectabila,,,
metohexal,metohexal,metohexal,,,
metoprolol unknown,metoprolol unknown,metoprolol unknown,,,
metoprolol 100mg,metoprolol 100mg,metoprolol 100mg,,,
mezavant,mezavant,mezavant,,,
mg sulfate,mg sulfate,mg,,,
micombi combination,micombi combination,micombi combination,,,
miflonide,miflonide,miflonide,,,
minprog,minprog,minprog,,,
modigraf,modigraf,modigraf,,,
nacetylcysteine,nacetylcysteine,nacetylcysteine,,,
nacetylcysteine paracetamol unknown,nacetylcysteine paracetamol unknown,nacetylcysteine paracetamol unknown,,,
nacetylcysteine,nacetylcysteine,nacetylcysteine,,,
n acetylcysteine,n acetylcysteine,n acetylcysteine,,,
nabucox,nabucox,nabucox,,,
nacl 09 preservative free app pharmaceuticals llc,nacl 09 preservative free app pharmaceuticals llc,nacl 09 preservative free app pharmaceuticals llc,,,
naropeine,naropeine,naropeine,,,
natrium chloratum 09,natrium chloratum 09,natrium chloratum 09,,,
navitoclax,navitoclax,navitoclax,,,
nebilet,nebilet,nebilet,,,
necyrane,necyrane,necyrane,,,
necyrane solution pour pulverisation nasale,necyrane pour pulverisation nasale,necyrane pour pulverisation nasale,,,
neisvacc,neisvacc,neisvacc,,,
neolotan plus,neolotan plus,neolotan plus,,,
neomerck,neomerck,neomerck,,,
neosporin,neosporin,neosporin,,,
neotigason,neotigason,neotigason,,,
nepresol,nepresol,nepresol,,,
nepresol dihydralazine sulfate,nepresol dihydralazine sulfate,nepresol dihydralazine,,,
nepresol hydralazine hydrochloride,nepresol hydralazine hydrochloride,nepresol hydralazine,,,
new hotelling,new hotelling,new hotelling,,,
new thalline,new thalline,new thalline,,,
niastase,niastase,niastase,,,
nicopatch,nicopatch,nicopatch,,,
nifedipin 20 mg retard,nifedipin 20 mg retard,nifedipin 20 mg retard,,,
nifluril morniflumate,nifluril morniflumate,nifluril morniflumate,,,
nimenrix,nimenrix,nimenrix,,,
nirsevimabalip,nirsevimabalip,nirsevimabalip,,,
no treatment received,no treatment received,no treatment received,,,
nobelbar,nobelbar,nobelbar,,,
noctran,noctran,noctran,,,
nootropil,nootropil,nootropil,,,
nopil,nopil,nopil,,,
norethisterone,norethisterone,norethisterone,,,
noritren,noritren,noritren,,,
normacol,normacol,normacol,,,
nortrilen,nortrilen,nortrilen,,,
novalgin,novalgin,novalgin,,,
novalgin metamizole sodium,novalgin metamizole sodium,novalgin metamizole,,,
