cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name
C0011824,IN,dextrothyroxine,C10AX01,dextrothyroxine,C,CARDIOVASCULAR SYSTEM DRUGS,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AX,Other lipid modifying agents in ATC,C10AX01,dextrothyroxine
C0011892,IN,heroin,N07BC06,diamorphine,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07B,DRUGS USED IN ADDICTIVE DISORDERS,N07BC,Drugs used in opioid dependence,N07BC06,diamorphine
C0012010,IN,diazepam,N05BA01,diazepam,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05B,ANXIOLYTICS,N05BA,Benzodiazepine derivative anxiolytics,N05BA01,diazepam
C0012022,IN,diazoxide,C02DA01,diazoxide,C,CARDIOVASCULAR SYSTEM DRUGS,C02,ANTIHYPERTENSIVES,C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02DA,Thiazide derivatives acting on arteriolar smooth muscle,C02DA01,diazoxide
C0012022,IN,diazoxide,V03AH01,diazoxide,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AH,Drugs for treatment of hypoglycemia,V03AH01,diazoxide
C0012024,IN,dibekacin,J01GB09,dibekacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01G,AMINOGLYCOSIDE ANTIBACTERIALS,J01GB,Other aminoglycosides in ATC,J01GB09,dibekacin
C0012024,IN,dibekacin,S01AA29,dibekacin,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVE OPHTHALMOLOGICS,S01AA,"Antibiotics, ophthalmologic",S01AA29,dibekacin
C0012050,IN,dibucaine,C05AD04,cinchocaine,C,CARDIOVASCULAR SYSTEM DRUGS,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AD,Local anesthetics for treatment of hemorrhoids and anal fissures for topical use,C05AD04,cinchocaine
C0012050,IN,dibucaine,D04AB02,cinchocaine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AB,Anesthetics for topical use,D04AB02,cinchocaine
C0012050,IN,dibucaine,N01BB06,cinchocaine,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01B,LOCAL ANESTHETICS,N01BB,Amide local anesthetics,N01BB06,cinchocaine
C0012050,IN,dibucaine,S01HA06,cinchocaine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01H,"Local anesthetics, ophthalmologic",S01HA,Local anesthetics,S01HA06,cinchocaine
C0012050,IN,dibucaine,S02DA04,cinchocaine,S,SENSORY ORGAN DRUGS,S02,OTOLOGICALS,S02D,OTHER OTOLOGICALS in ATC,S02DA,Analgesics and anesthetics,S02DA04,cinchocaine
C0012052,IN,dibutyl phthalate,P03BX03,dibutylphthalate,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03B,INSECTICIDES AND REPELLENTS,P03BX,Other insecticides and repellents in ATC,P03BX03,dibutylphthalate
C0012054,,,C01CE04,bucladesine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CE,"Phosphodiesterase inhibitors, cardiac stimulant",C01CE04,bucladesine
C0012081,IN,clodronic acid,M05BA02,clodronic acid,M,MUSCULO-SKELETAL SYSTEM DRUGS,M05,DRUGS FOR TREATMENT OF BONE DISEASES,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BA,Bisphosphonate drugs affecting bone structure and mineralization,M05BA02,clodronic acid
C0012082,IN,dichlorophen,P02DX02,dichlorophen,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02D,ANTICESTODALS,P02DX,Other anticestodals in ATC,P02DX02,dichlorophen
C0012086,IN,dichlorphenamide,S01EC02,diclofenamide,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EC,"Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",S01EC02,diclofenamide
C0012091,IN,diclofenac,D11AX18,diclofenac,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11A,OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11AX,OTHER DERMATOLOGICAL PREPARATIONS IN ATC,D11AX18,diclofenac
C0012091,IN,diclofenac,M01AB05,diclofenac,M,MUSCULO-SKELETAL SYSTEM DRUGS,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,M01AB05,diclofenac
C0012091,IN,diclofenac,M02AA15,diclofenac,M,MUSCULO-SKELETAL SYSTEM DRUGS,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",M02AA15,diclofenac
C0012091,IN,diclofenac,S01BC03,diclofenac,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01B,"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",S01BC,"Antiinflammatory agents, non-steroidal, ophthalmologic",S01BC03,diclofenac
C0012093,IN,dicloxacillin,J01CF01,dicloxacillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CF,Beta-lactamase resistant penicillins,J01CF01,dicloxacillin
C0012125,IN,dicyclomine,A03AA07,dicycloverine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AA,"Synthetic anticholinergics, esters with tertiary amino group for functional gastrointestinal disorders",A03AA07,dicycloverine
C0012132,IN,zalcitabine,J05AF03,zalcitabine,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF03,zalcitabine
C0012133,IN,didanosine,J05AF02,didanosine,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF02,didanosine
C0012145,IN,dienestrol,G03CB01,dienestrol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03C,"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM",G03CB,"Synthetic estrogens, plain",G03CB01,dienestrol
C0012145,IN,dienestrol,G03CC02,dienestrol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03C,"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM",G03CC,"Estrogens, combinations with other drugs",G03CC02,dienestrol
C0012191,IN,diethylcarbamazine,P02CB02,diethylcarbamazine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CB,"Piperazine and derivatives, antinematodal agents",P02CB02,diethylcarbamazine
C0012201,IN,diethylpropion,A08AA03,amfepramone,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA,Centrally acting antiobesity products,A08AA03,amfepramone
C0012203,IN,diethylstilbestrol,G03CB02,diethylstilbestrol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03C,"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM",G03CB,"Synthetic estrogens, plain",G03CB02,diethylstilbestrol
C0012203,IN,diethylstilbestrol,G03CC05,diethylstilbestrol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03C,"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM",G03CC,"Estrogens, combinations with other drugs",G03CC05,diethylstilbestrol
C0012203,IN,diethylstilbestrol,L02AA01,diethylstilbestrol,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02A,HORMONES AND RELATED AGENTS,L02AA,"Estrogens, endocrine therapy drugs",L02AA01,diethylstilbestrol
C0012227,IN,diflucortolone,D07AC06,diflucortolone,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN",D07AC,"Corticosteroids, potent (group III)",D07AC06,diflucortolone
C0012227,IN,diflucortolone,D07XC04,diflucortolone,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07X,"CORTICOSTEROIDS, OTHER COMBINATIONS",D07XC,"Corticosteroids, potent, other combinations",D07XC04,diflucortolone
C0012228,IN,diflunisal,N02BA11,diflunisal,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS in ATC,N02BA,"Salicylic acid and derivatives, analgesics and antipyretics",N02BA11,diflunisal
C0012258,IN,digitoxin,C01AA04,digitoxin,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,C01AA04,digitoxin
C0012265,IN,digoxin,C01AA05,digoxin,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,C01AA05,digoxin
C0012271,IN,dihydralazine,C02DB01,dihydralazine,C,CARDIOVASCULAR SYSTEM DRUGS,C02,ANTIHYPERTENSIVES,C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02DB,Hydrazinophthalazine derivatives acting on arteriolar smooth muscle,C02DB01,dihydralazine
C0012289,IN,dihydroergocristine,C04AE04,dihydroergocristine,C,CARDIOVASCULAR SYSTEM DRUGS,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AE,Ergot alkaloid peripheral vasodilators,C04AE04,dihydroergocristine
C0012291,IN,dihydroergotamine,N02CA01,dihydroergotamine,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02C,ANTIMIGRAINE PREPARATIONS,N02CA,"Ergot alkaloids, antimigraine",N02CA01,dihydroergotamine
C0012306,IN,hydromorphone,N02AA03,hydromorphone,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02A,OPIOID ANALGESICS,N02AA,Natural opium alkaloid analgesics,N02AA03,hydromorphone
C0012319,IN,dihydrotachysterol,A11CC02,dihydrotachysterol,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A11,VITAMINS,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC,Vitamin D and analogues,A11CC02,dihydrotachysterol
C0012341,IN,iodoquinol,G01AC01,diiodohydroxyquinoline,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AC,Quinoline gynecological antiinfectives,G01AC01,diiodohydroxyquinoline
C0012367,,,C01DX10,dilazep,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases in ATC,C01DX10,dilazep
C0012373,IN,diltiazem,C05AE03,diltiazem,C,CARDIOVASCULAR SYSTEM DRUGS,C05,VASOPROTECTIVES,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AE,Muscle relaxants FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AE03,diltiazem
C0012373,IN,diltiazem,C08DB01,diltiazem,C,CARDIOVASCULAR SYSTEM DRUGS,C08,CALCIUM CHANNEL BLOCKERS,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08DB,Benzothiazepine derivative selective calcium channel blockers with direct cardiac effects,C08DB01,diltiazem
C0012381,IN,dimenhydrinate,R06AA11,dimenhydrinate,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AA,"Aminoalkyl ethers, systemic antihistamines",R06AA11,dimenhydrinate
C0012383,IN,dimercaprol,V03AB09,dimercaprol,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB09,dimercaprol
C0012390,IN,dimethindene,D04AA13,dimetindene,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AA,Antihistamines for topical use,D04AA13,dimetindene
C0012390,IN,dimethindene,R06AB03,dimetindene,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AB,"Substituted alkylamines, systemic antihistamines",R06AB03,dimetindene
C0012403,IN,dimethyl sulfoxide,G04BX13,dimethyl sulfoxide,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BX,Other urologicals in ATC,G04BX13,dimethyl sulfoxide
C0012403,IN,dimethyl sulfoxide,M02AX03,dimethyl sulfoxide,M,MUSCULO-SKELETAL SYSTEM DRUGS,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AX,Other topical products for joint and muscular pain in ATC,M02AX03,dimethyl sulfoxide
C0012471,IN,dinoprost,G02AD01,dinoprost,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS in ATC,G02A,UTEROTONICS,G02AD,"Prostaglandins, oxytocics",G02AD01,dinoprost
C0012472,IN,dinoprostone,G02AD02,dinoprostone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS in ATC,G02A,UTEROTONICS,G02AD,"Prostaglandins, oxytocics",G02AD02,dinoprostone
C0012498,IN,diosmin,C05CA03,diosmin,C,CARDIOVASCULAR SYSTEM DRUGS,C05,VASOPROTECTIVES,C05C,CAPILLARY STABILIZING AGENTS,C05CA,Bioflavonoid drugs for capillary stabilizing,C05CA03,diosmin
C0012522,IN,diphenhydramine,D04AA32,diphenhydramine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AA,Antihistamines for topical use,D04AA32,diphenhydramine
C0012522,IN,diphenhydramine,R06AA02,diphenhydramine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AA,"Aminoalkyl ethers, systemic antihistamines",R06AA02,diphenhydramine
C0012525,IN,diphenoxylate,A07DA01,diphenoxylate,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07D,ANTIPROPULSIVES,A07DA,Antipropulsives,A07DA01,diphenoxylate
C0012551,IN,"diphtheria toxoid vaccine, inactivated",J07AF,Diphtheria vaccines,J,ANTIINFECTIVES FOR SYSTEMIC USE,J07,VACCINES,J07A,BACTERIAL VACCINES,J07AF,Diphtheria vaccines,,
C0012551,IN,"diphtheria toxoid vaccine, inactivated",J07AF01,diphtheria toxoid,J,ANTIINFECTIVES FOR SYSTEMIC USE,J07,VACCINES,J07A,BACTERIAL VACCINES,J07AF,Diphtheria vaccines,J07AF01,diphtheria toxoid
C0012582,IN,dipyridamole,B01AC07,dipyridamole,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,B01AC07,dipyridamole
C0012702,IN,disopyramide,C01BA03,disopyramide,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",C01BA03,disopyramide
C0012757,IN,distigmine,N07AA03,distigmine,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07A,PARASYMPATHOMIMETICS,N07AA,Anticholinesterase parasympathomimetics,N07AA03,distigmine
C0012772,IN,disulfiram,N07BB01,disulfiram,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07B,DRUGS USED IN ADDICTIVE DISORDERS,N07BB,Drugs used in alcohol dependence,N07BB01,disulfiram
C0012772,IN,disulfiram,P03AA04,disulfiram,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",P03AA,Sulfur containing product ectoparasiticides,P03AA04,disulfiram
C0012963,IN,dobutamine,C01CA07,dobutamine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA07,dobutamine
C0013015,IN,domperidone,A03FA03,domperidone,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03F,PROPULSIVES,A03FA,Propulsives,A03FA03,domperidone
C0013030,IN,dopamine,C01CA04,dopamine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA04,dopamine
C0013065,IN,dothiepin,N06AA16,dosulepin,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AA,Non-selective monoamine reuptake inhibitors,N06AA16,dosulepin
C0013084,IN,doxapram,R07AB01,doxapram,R,RESPIRATORY SYSTEM DRUGS,R07,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07AB,Respiratory stimulants,R07AB01,doxapram
C0013085,IN,doxepin,D04AX01,doxepin,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AX,Other antipruritics in ATC,D04AX01,doxepin
C0013085,IN,doxepin,N06AA12,doxepin,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AA,Non-selective monoamine reuptake inhibitors,N06AA12,doxepin
C0013089,IN,doxorubicin,L01DB01,doxorubicin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DB,Anthracyclines and related substances,L01DB01,doxorubicin
C0013090,IN,doxycycline,A01AB22,doxycycline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline
C0013090,IN,doxycycline,J01AA02,doxycycline,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,Tetracycline antibiotics,J01AA,Tetracyclines,J01AA02,doxycycline
C0013092,IN,doxylamine,R06AA09,doxylamine,R,RESPIRATORY SYSTEM DRUGS,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AA,"Aminoalkyl ethers, systemic antihistamines",R06AA09,doxylamine
C0013136,IN,droperidol,N05AD08,droperidol,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AD,"Butyrophenone derivatives, antipsychotics",N05AD08,droperidol
C0013340,IN,dydrogesterone,G03DB01,dydrogesterone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03DB,"Pregnadien derivatives, progestogens",G03DB01,dydrogesterone
C0013360,IN,dyphylline,R03DA01,diprophylline,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC,R03DA,"Xanthines, systemic for obstructive airway disease",R03DA01,diprophylline
C0013547,IN,econazole,D01AC03,econazole,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AC,"Imidazole and triazole derivatives, topical antifungals",D01AC03,econazole
C0013547,IN,econazole,G01AF05,econazole,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AF,"Imidazole derivatives, gyncological antiinfectives",G01AF05,econazole
C0013615,IN,edrophonium,V04CX07,edrophonium,V,VARIOUS DRUG CLASSES IN ATC,V04,DIAGNOSTIC AGENTS,V04C,OTHER DIAGNOSTIC AGENTS in ATC,V04CX,Other diagnostic agents in ATC,V04CX07,edrophonium
C0013954,IN,emepronium,G04BD01,emepronium,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BD,Drugs for urinary frequency and incontinence,G04BD01,emepronium
C0013974,IN,emetine,P01AX02,emetine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AX,Other agents against amoebiasis and other protozoal diseases in ATC,P01AX02,emetine
C0014025,IN,enalapril,C09AA02,enalapril,C,CARDIOVASCULAR SYSTEM DRUGS,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",C09AA02,enalapril
C0014277,IN,enflurane,N01AB04,enflurane,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AB,"Halogenated hydrocarbons, general anesthetics",N01AB04,enflurane
C0014310,IN,enoxacin,J01MA04,enoxacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01M,QUINOLONE ANTIBACTERIALS,J01MA,"Fluoroquinolone antibacterials, systemic",J01MA04,enoxacin
C0014448,IN,eosine yellowish,D08AX02,eosin,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants in ATC,D08AX02,eosin
C0014479,IN,ephedrine,C01CA26,ephedrine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA26,ephedrine
C0014479,IN,ephedrine,R01AA03,ephedrine,R,RESPIRATORY SYSTEM DRUGS,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",R01AA03,ephedrine
C0014479,IN,ephedrine,R01AB05,ephedrine,R,RESPIRATORY SYSTEM DRUGS,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids",R01AB05,ephedrine
C0014479,IN,ephedrine,R03CA02,ephedrine,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C,ADRENERGICS FOR SYSTEMIC USE,R03CA,"Alpha- and beta-adrenoreceptor agonist, systemic drugs",R03CA02,ephedrine
C0014479,IN,ephedrine,S01FB02,ephedrine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01F,MYDRIATICS AND CYCLOPLEGICS,S01FB,Sympathomimetics excl. antiglaucoma preparations,S01FB02,ephedrine
C0014561,,,G03GB03,epimestrol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GB,"Ovulation stimulants, synthetic",G03GB03,epimestrol
C0014563,IN,epinephrine,A01AD01,epinephrine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment in ATC,A01AD01,epinephrine
C0014563,IN,epinephrine,B02BC09,epinephrine,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B02,ANTIHEMORRHAGICS,B02B,VITAMIN K AND OTHER HEMOSTATICS,B02BC,Local hemostatics,B02BC09,epinephrine
C0014563,IN,epinephrine,C01CA24,epinephrine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA24,epinephrine
