cui,rxnorm_tty,rxnorm_name,atc_codes,atc_labels
C0030909,IN,pepsin A,A09AA03,pepsin
C0030968,IN,peracetic acid,,
C0030969,IN,perazine,N05AB10,perazine
C0031007,IN,pergolide,N04BC02,pergolide
C0031013,IN,perhexiline,C08EX02,perhexiline
C0031184,IN,perphenazine,N05AB03,perphenazine
C0031237,IN,pertussis vaccine,J07AJ,Pertussis vaccines
C0031262,IN,petrolatum,,
C0031364,IN,phenacetin,N02BE03,phenacetin
C0031379,IN,phenazopyridine,G04BX06,phenazopyridine
C0031381,,,,
C0031392,IN,phenelzine,N06AF03,phenelzine
C0031398,IN,phenylethyl alcohol,,
C0031404,IN,phenformin,A10BA01,phenformin
C0031406,IN,phenindione,B01AA02,phenindione
C0031408,IN,pheniramine,D04AA16;R06AB05,pheniramine
C0031411,IN,phenmetrazine,,
C0031412,IN,phenobarbital,N03AA02,phenobarbital
C0031422,IN,oxyphenisatin,A06AB01,oxyphenisatine
C0031430,IN,phenolsulfonphthalein,V04CH03,phenolsulfonphthalein
C0031432,IN,phenoperidine,N01AH04,phenoperidine
C0031434,,,,
C0031441,IN,phenoxybenzamine,C04AX02,phenoxybenzamine
C0031444,IN,phenprocoumon,B01AA04,phenprocoumon
C0031447,IN,phentermine,A08AA01,phentermine
C0031448,IN,phentolamine,C04AB01;V03AB36,phentolamine
C0031453,IN,phenylalanine,,
C0031463,IN,phenylbutazone,M01AA01;M02AA01,phenylbutazone
C0031469,IN,phenylephrine,C01CA06;C05AX06;R01AA04;R01AB01;R01BA03;S01FB01;S01GA05,phenylephrine
C0031488,PIN,phenylmercuric acetate,,
C0031495,IN,phenylpropanolamine,R01BA01,phenylpropanolamine
C0031499,,,,
C0031507,IN,phenytoin,N03AB02,phenytoin
C0031560,IN,phloretin,,
C0031562,IN,phlorhizin,,
C0031566,IN,phloroglucinol,A03AX12,phloroglucinol
C0031592,,,,
C0031617,IN,lecithin,,
C0031634,,,C01EB06,fosfocreatine
C0031635,IN,phosphocysteamine,,
C0031642,,,,
C0031676,,,A05BA10,phospholipids
C0031681,,,J05AD02,fosfonet
C0031696,,,,
C0031700,IN,phosphoric acid,,
C0031705,IN,phosphorus,,
C0031721,,,,
C0031849,IN,physostigmine,S01EB05;V03AB19,physostigmine
C0031855,IN,phytic acid,,
C0031862,IN,vitamin K1,B02BA01,phytomenadione
C0031875,,,,
C0031890,IN,picrotoxin,,
C0031923,IN,pilocarpine,N07AX01;S01EB01,pilocarpine
C0031933,,,,
C0031935,IN,pimozide,N05AG02,pimozide
C0031937,IN,pindolol,C07AA03,pindolol
C0031938,IN,pine tar,,
C0031953,PIN,pipemidic acid,J01MB04,pipemidic acid
C0031955,IN,piperacillin,J01CA12,piperacillin
C0031957,IN,piperazine,P02CB01,piperazine
C0031962,IN,piperonyl butoxide,,
C0031965,IN,pipobroman,L01AX02,pipobroman
C0031968,IN,pipothiazine,N05AC04,pipotiazine
C0031977,IN,piracetam,N06BX03,piracetam
C0031978,IN,pirenzepine,A02BX03,pirenzepine
C0031979,IN,piribedil,N04BC08,piribedil
C0031982,IN,pirinitramide,N02AC03,piritramide
C0031990,IN,piroxicam,M01AC01;M02AA07;S01BC06,piroxicam
C0032032,IN,pivampicillin,J01CA02,pivampicillin
C0032036,IN,pizotyline,N02CX01,pizotifen
C0032066,,,J07AK,Plague vaccines
C0032140,IN,plasminogen,,
C0032143,IN,alteplase,B01AD02;S01XA13,alteplase
C0032172,,,,
C0032207,IN,platinum,,
C0032254,,,,
C0032333,IN,podophyllin,,
C0032334,IN,podofilox,D06BB04,podophyllotoxin
C0032375,,,,
C0032393,IN,poloxalene,,
C0032478,IN,polyethylene glycol 400,,
C0032479,IN,polyethylene glycol 4000,,
C0032483,IN,polyethylene glycols,A06AD15,macrogol
C0032493,IN,polygeline,,
C0032535,IN,polymyxin B,A07AA05;J01XB02;S01AA18;S02AA11;S03AA03,polymyxin B
C0032600,IN,polysorbate 20,,
C0032601,IN,polysorbate 80,,
C0032613,IN,polythiazide,C03AA05,polythiazide
C0032704,,,,
C0032821,IN,potassium,,
C0032823,IN,potassium aspartate,,
C0032825,IN,potassium chloride,A12BA01;B05XA01,potassium chloride
C0032831,IN,potassium iodide,R05CA02;S01XA04;V03AB21,potassium iodide
C0032838,IN,potassium permanganate,D08AX06;V03AB18,potassium permanganate
C0032856,IN,povidone,,
C0032857,IN,povidone-iodine,D08AG02;D09AA09;D11AC06;G01AX11;R02AA15;S01AX18,povidone-iodine
C0032896,IN,practolol,C07AB01,practolol
C0032899,IN,prajmaline,C01BA08,prajmaline
C0032910,IN,prazepam,N05BA11,prazepam
C0032911,IN,praziquantel,P02BA01,praziquantel
C0032912,IN,prazosin,C02CA01,prazosin
C0032949,IN,prednimustine,L01AA08,prednimustine
C0032950,IN,prednisolone,A01AC04;A07EA01;C05AA04;D07AA03;D07XA02;H02AB06;R01AD02;S01BA04;S01CB02;S02BA03;S03BA02,prednisolone
C0032952,IN,prednisone,A07EA03;H02AB07,prednisone
C0033008,,,,
C0033056,IN,feprazone,M01AX18;M02AA16,feprazone
C0033059,IN,prenylamine,C01DX02,prenylamine
C0033124,IN,prilocaine,N01BB04,prilocaine
C0033126,IN,primaquine,P01BA03,primaquine
C0033148,IN,primidone,N03AA03,primidone
C0033209,IN,probenecid,M04AB01,probenecid
C0033215,IN,probucol,C10AX02,probucol
C0033216,IN,procainamide,C01BA02,procainamide
C0033218,IN,procaine,C05AD05;N01BA02;S01HA05,procaine
C0033223,IN,procarbazine,L01XB01,procarbazine
C0033228,IN,fenofibrate,C10AB05,fenofibrate
C0033229,IN,prochlorperazine,N05AB04,prochlorperazine
C0033254,IN,procyclidine,N04AA04,procyclidine
C0033294,IN,proflavine,,
C0033308,IN,progesterone,G03DA04,progesterone
C0033362,,,,
C0033382,IN,proline,,
C0033399,IN,promazine,N05AA03,promazine
C0033401,IN,promegestone,G03DB07,promegestone
C0033405,IN,promethazine,D04AA10;R06AD02,promethazine
C0033429,IN,propafenone,C01BC03,propafenone
C0033439,IN,propanidid,N01AX04,propanidid
C0033447,IN,propantheline,A03AB05,propantheline
C0033459,IN,periciazine,N05AC01,periciazine
C0033468,,,,
C0033472,IN,propiolactone,,
C0033473,IN,propiomazine,N05CM06,propiomazine
C0033487,IN,propofol,N01AX10,propofol
C0033492,,,,
C0033493,IN,propoxyphene,N02AC04,dextropropoxyphene
C0033497,IN,propranolol,C07AA05,propranolol
C0033501,IN,propyl gallate,,
C0033508,IN,propylhexedrine,,
C0033509,IN,propyliodone,V08AD03,propyliodone
C0033511,IN,propylthiouracil,H03BA02,propylthiouracil
C0033532,,,,
C0033567,IN,epoprostenol,B01AC09,epoprostenol
C0033602,IN,protamine sulfate (USP),,
C0033603,IN,protamines,V03AB14,protamine
C0033631,,,B05BA04,protein hydrolysates
C0033705,IN,prothionamide,J04AD01,protionamide
C0033706,IN,prothrombin,,
C0033743,IN,protriptyline,N06AA11,protriptyline
C0033798,IN,pseudoephedrine,R01BA02,pseudoephedrine
C0033850,,,,
C0033979,IN,psyllium,,
C0034131,IN,purified protein derivative of tuberculin,,
C0034145,,,,
C0034170,,,,
C0034235,IN,pyrantel,P02CC01,pyrantel
C0034239,IN,pyrazinamide,J04AK01,pyrazinamide
C0034245,IN,pyrethrins,,
C0034261,IN,pyridostigmine,N07AA02,pyridostigmine
C0034263,IN,pyridoxal,,
C0034266,PIN,pyridoxal phosphate,A11HA06,pyridoxal phosphate
C0034268,,,,
C0034272,IN,pyridoxine,A11HA02,pyridoxine (vit B6)
C0034282,IN,pyrilamine,D04AA02;R06AC01,mepyramine
C0034283,IN,pyrimethamine,P01BD01,pyrimethamine
C0034295,IN,pyrithioxin,N06BX02,pyritinol
C0034330,IN,pyrrolidonecarboxylic acid,,
C0034338,IN,pyruvaldehyde,,
C0034392,IN,quercetin,,
C0034403,IN,quinacrine,P01AX05,mepacrine
C0034404,,,,
C0034410,IN,quinestrol,,
C0034414,IN,quinidine,C01BA01,quinidine
C0034417,IN,quinine,P01BC01,quinine
C0034423,,,,
C0034504,IN,racemethionine,,
C0034632,IN,raffinose,,
C0034665,IN,ranitidine,A02BA02,ranitidine
C0034917,,,,
C0035158,,,B02BX03,batroxobin
C0035179,IN,reserpine,C02AA02,reserpine
C0035417,IN,rhamnose,,
C0035525,IN,ribavirin,J05AP01,ribavirin
C0035526,,,,
C0035527,IN,riboflavin,A11HA04;S01XA26,riboflavin;riboflavin (vit B2)
C0035549,IN,ribose,,
C0035554,,,J01GB10,ribostamycin
C0035608,IN,rifampin,J04AB02,rifampicin
C0035629,IN,rimantadine,J05AC02,rimantadine
C0035633,IN,rimiterol,R03AC05,rimiterol
C0035661,IN,ritodrine,G02CA01,ritodrine
C0035750,BN,Rocephin,,
C0035823,IN,rolitetracycline,J01AA09,rolitetracycline
C0035857,IN,rose bengal,,
C0035871,IN,rotenone,,
C0035890,IN,roxarsone,,
C0035891,IN,roxithromycin,J01FA06,roxithromycin
C0035930,IN,rubidium,,
C0035976,IN,rutin,C05CA01,rutoside
C0036002,IN,S-adenosylmethionine,A16AA02,ademetionine
C0036023,IN,saccharin,,
C0036048,IN,safflower oil,,
C0036071,IN,salicylamide,N02BA05,salicylamide
C0036078,IN,sulfasalazine,A07EC01,sulfasalazine
C0036079,IN,salicylic acid,D01AE12;S01BC08,salicylic acid
C0036147,IN,samarium,,
C0036193,IN,saralasin,,
C0036228,IN,sarcosine,,
C0036442,IN,scopolamine,A04AD01;N05CM05;S01FA02,scopolamine
C0036444,PIN,scopolamine hydrobromide,,
C0036516,IN,secobarbital,N05CA06,secobarbital
C0036534,IN,secretin,V04CK01,secretin
C0036579,IN,selegiline,N04BD01,selegiline
C0036581,IN,selenium,,
C0036584,IN,selenomethionine,,
C0036637,,,L01AD03,semustine
C0036720,IN,serine,,
C0036751,IN,serotonin,,
C0036773,,,,
C0036845,IN,sesame oil,,
C0036860,IN,carbaryl,,
C0037098,IN,silicon dioxide,,
C0037105,PIN,silicic acid,,
C0037107,IN,silicon,,
C0037125,IN,silver,D08AL30,silver
C0037129,IN,silver nitrate,D08AL01,silver nitrate
C0037134,IN,silver sulfadiazine,D06BA01,silver sulfadiazine
C0037138,IN,simethicone,,
C0037167,IN,sincalide,V04CC03,sincalide
C0037209,IN,sisomicin,J01GB08,sisomicin
C0037487,PIN,carboxymethylcellulose sodium,,
C0037494,IN,sodium chloride,A12CA01;B05CB01;B05XA03,sodium chloride
C0037501,PIN,sodium dichloroacetate,,
C0037506,PIN,sodium dodecyl sulfate,,
C0037508,IN,sodium fluoride,A01AA01;A12CD01,sodium fluoride
C0037512,PIN,gold sodium thiosulfate,M01CB02,sodium aurotiosulfate
C0037517,IN,sodium hydroxide,,
C0037521,IN,sodium iodide,,
C0037537,PIN,sodium oxybate,N01AX11;N07XX04,sodium oxybate
C0037556,IN,sodium tetradecyl sulfate,C05BB04,sodium tetradecyl sulfate
C0037659,IN,somatostatin,H01CB01,somatostatin
C0037668,,,,
C0037688,IN,sorbitol,A06AD18;A06AG07;B05CX02;V04CC01,sorbitol
C0037707,IN,sotalol,C07AA07,sotalol
C0037732,IN,soybean oil,,
C0037760,,,C01BA04,sparteine
C0037871,IN,spermidine,,
C0037874,IN,spermine,,
C0037907,,,,
C0037956,,,,
C0037962,IN,spiramycin,J01FA02,spiramycin
C0037982,IN,spironolactone,C03DA01,spironolactone
C0038071,IN,squalene,,
C0038143,IN,stannous fluoride,A01AA04,stannous fluoride
C0038148,,,A14AA01;G03BB02,androstanolone
C0038149,IN,stanozolol,A14AA02,stanozolol
C0038164,,,,
C0038229,PIN,stearic acid,,
C0038418,IN,streptokinase,B01AD01,streptokinase
C0038425,IN,streptomycin,A07AA04;J01GA01,streptomycin
C0038432,IN,streptozocin,L01AD04,streptozocin
C0038627,IN,succinylcholine,M03AB01,suxamethonium
C0038633,IN,sucralfate,A02BX02,sucralfate
C0038636,IN,sucrose,,
C0038665,IN,sulbactam,J01CG01,sulbactam
C0038666,IN,sulbenicillin,J01CA16,sulbenicillin
C0038670,IN,sulfacetamide,D10AF06;S01AB04,sulfacetamide
C0038675,IN,sulfadiazine,J01EC02,sulfadiazine
C0038676,IN,sulfadimethoxine,J01ED01,sulfadimethoxine
C0038679,IN,sulfadoxine,,
C0038681,IN,sulfaguanidine,A07AB03,sulfaguanidine
C0038683,IN,sulfalene,J01ED02,sulfalene
C0038684,IN,sulfamerazine,D06BA06;J01ED07,sulfamerazine
C0038685,,,J01ED04,sulfametoxydiazine
C0038686,IN,sulfamethazine,J01EB03,sulfadimidine
C0038687,IN,sulfamethizole,B05CA04;D06BA04;J01EB02;S01AB01,sulfamethizole
C0038689,IN,sulfamethoxazole,J01EC01,sulfamethoxazole
C0038693,IN,sulfamethoxypyridazine,J01ED05,sulfamethoxypyridazine
C0038700,IN,sulfamoxole,J01EC03,sulfamoxole
C0038702,IN,sulfanilamide,D06BA05;J01EB06,sulfanilamide
C0038706,,,J01ED08;S01AB05,sulfafenazol;sulfaphenazole
C0038710,IN,sulfapyridine,J01EB04,sulfapyridine
C0038722,IN,sulfathiazole,D06BA02;J01EB07,sulfathiazole
C0038727,,,,
C0038742,IN,sulfinpyrazone,M04AB02,sulfinpyrazone
C0038744,IN,sulfisomidine,J01EB01,sulfaisodimidine
C0038745,IN,sulfisoxazole,J01EB05;S01AB02,sulfafurazole
C0038753,IN,sulfobromophthalein,V04CE02,sulfobromophthalein
C0038777,IN,sulfur dioxide,,
C0038779,IN,sulfur hexafluoride,,
C0038784,IN,sulfuric acid,,
C0038792,IN,sulindac,M01AB02,sulindac
C0038803,IN,sulpiride,N05AL01,sulpiride
C0038807,IN,sulthiame,N03AX03,sultiame
C0038878,IN,suprofen,M01AE07,suprofen
C0038880,IN,suramin,,
C0039086,IN,synephrine,,
C0039245,IN,tacrine,N06DA01,tacrine
C0039266,IN,talampicillin,J01CA15,talampicillin
C0039267,IN,talc,,
C0039286,IN,tamoxifen,L02BA01,tamoxifen
C0039294,IN,tannic acid,,
C0039297,IN,tantalum,,
C0039350,IN,taurine,,
C0039356,,,,
C0039358,,,,
C0039416,PIN,technetium Tc 99m medronate,,
C0039419,PIN,technetium Tc-99m sulfur colloid,V09DB05,technetium (99mTc) sulfur colloid
C0039468,IN,temazepam,N05CD07,temazepam
C0039512,IN,teniposide,L01CB02,teniposide
C0039542,IN,terbutaline,R03AC03;R03CC03,terbutaline
C0039600,IN,testolactone,,
C0039601,IN,testosterone,G03BA03,testosterone
C0039607,PIN,testosterone propionate,,
C0039614,,,,
C0039623,IN,tetrabenazine,N07XX06,tetrabenazine
C0039629,IN,tetracaine,C05AD02;D04AB06;N01BA03;S01HA03,tetracaine
C0039644,IN,tetracycline,A01AB13;D06AA04;J01AA07;S01AA09;S02AA08;S03AA02,tetracycline
C0039654,,,,
C0039663,IN,dronabinol,A04AD10,dronabinol
C0039677,,,,
C0039692,,,,
C0039705,,,,
C0039736,IN,thalidomide,L04AX02,thalidomide
C0039763,IN,theobromine,C03BD01;R03DA07,theobromine
C0039771,IN,theophylline,R03DA04,theophylline
C0039832,IN,thiabendazole,D01AC06;P02CA02,tiabendazole
C0039834,,,J04AK07,thioacetazone
C0039840,IN,thiamine,A11DA01,thiamine (vit B1)
C0039848,PIN,thiamine pyrophosphate,,
C0039854,IN,thiamphenicol,J01BA02,thiamphenicol
C0039855,IN,thiamylal,,
C0039865,IN,thiethylperazine,R06AD03,thiethylperazine
C0039867,IN,thimerosal,D08AK06,thiomersal
C0039871,IN,thiotepa,L01AC01,thiotepa
C0039902,IN,thioguanine,L01BB03,tioguanine
C0039925,IN,thiopental,N01AF03;N05CA19,thiopental
C0039943,IN,thioridazine,N05AC02,thioridazine
C0039947,IN,thiostrepton,,
C0039955,IN,thiothixene,N05AF04,tiotixene
C0039962,IN,thiram,P03AA05,thiram
C0040005,IN,threonine,,
C0040018,IN,thrombin,B02BC06;B02BD30,thrombin
C0040052,,,,
C0040096,IN,thymol,,
C0040108,IN,moxisylyte,C04AX10;G04BE06,moxisylyte
C0040123,IN,thyroglobulin,,
C0040160,IN,thyrotropin,V04CJ01,thyrotropin
C0040162,IN,thyrotropin-releasing hormone,V04CJ02,protirelin
C0040165,IN,levothyroxine,,
C0040180,IN,tiapride,N05AL03,tiapride
C0040193,IN,ticarcillin,J01CA13,ticarcillin
C0040207,IN,ticlopidine,B01AC05,ticlopidine
C0040209,,,C03CC02,tienilic acid
C0040219,IN,tilidine,N02AX01,tilidine
C0040233,IN,timolol,C07AA06;S01ED01,timolol
C0040263,IN,tinidazole,G01AF21;J01XD02;P01AB02,tinidazole
C0040302,IN,titanium,,
C0040341,IN,tobramycin,J01GB01;S01AA12,tobramycin
C0040372,IN,tolazamide,A10BB05,tolazamide
C0040373,IN,tolazoline,C04AB02;M02AX02,tolazoline
C0040374,IN,tolbutamide,A10BB03;V04CA01,tolbutamide
C0040377,IN,tolmetin,M01AB03;M02AA21,tolmetin
C0040379,IN,tolnaftate,D01AE18,tolnaftate
C0040382,IN,tolperisone,M02AX06;M03BX04,tolperisone
C0040383,IN,toluene,,
C0040610,IN,tramadol,N02AX02,tramadol
C0040613,IN,tranexamic acid,B02AA02,tranexamic acid
C0040636,,,,
C0040778,IN,tranylcypromine,N06AF04,tranylcypromine
C0040779,IN,trapidil,C01DX11,trapidil
C0040805,IN,trazodone,N06AX05,trazodone
C0040815,IN,trehalose,,
C0040829,IN,trenbolone,,
C0040845,IN,tretinoin,D10AD01;L01XF01,tretinoin
C0040846,,,R03AC09;R03CC09,tretoquinol
C0040853,IN,triacetin,,
C0040864,IN,triamcinolone,A01AC01;C05AA12;D07AB09;D07XB02;H02AB08;R01AD11;R03BA06;S01BA05,triamcinolone
C0040869,IN,triamterene,C03DB02,triamterene
C0040878,,,L01AC02,triaziquone
C0040879,IN,triazolam,N05CD05,triazolam
C0040898,IN,trichlorfon,P02BB01,metrifonate
C0040899,IN,trichlormethiazide,C03AA06,trichlormethiazide
C0040905,IN,trichloroethylene,N01AB05,trichloroethylene
C0040958,IN,triclosan,D08AE04;D09AA06,triclosan
C0040964,,,,
C0040975,,,,
C0040976,IN,trientine,A16AX12,trientine
C0040979,IN,trifluoperazine,N05AB06,trifluoperazine
C0040983,,,,
C0040987,IN,trifluridine,S01AD02,trifluridine
C0040988,IN,trifluperidol,N05AD02,trifluperidol
C0040989,IN,triflupromazine,N05AA05,triflupromazine
C0041009,IN,trihexyphenidyl,N04AA01,trihexyphenidyl
C0041014,IN,liothyronine,,
C0041023,IN,trimebutine,A03AA05,trimebutine
C0041030,IN,metipranolol,S01ED04,metipranolol
C0041031,IN,trimeprazine,R06AD01,alimemazine
C0041037,IN,trimetazidine,C01EB15,trimetazidine
C0041038,IN,trimethadione,N03AC02,trimethadione
C0041040,IN,trimethaphan,C02BA01,trimetaphan
C0041041,IN,trimethoprim,J01EA01,trimethoprim
C0041056,IN,trimipramine,N06AA06,trimipramine
C0041073,IN,triolein,,
C0041086,IN,trioxsalen,D05AD01;D05BA01,trioxysalen
C0041090,IN,tripelennamine,D04AA04;R06AC04,tripelennamine
C0041098,IN,triprolidine,R06AX07,triprolidine
C0041165,IN,troleandomycin,J01FA08,troleandomycin
C0041175,IN,tromethamine,B05BB03;B05XX02,trometamol
C0041190,IN,tropicamide,S01FA06,tropicamide
C0041236,IN,trypsin,B06AA07;D03BA01,trypsin
C0041249,IN,tryptophan,N06AX02,tryptophan
C0041286,,,,
C0041345,IN,tubocurarine,M03AA02,tubocurarine
C0041385,,,,
C0041411,IN,turpentine,,
C0041417,,,,
C0041441,IN,tylosin,,
C0041469,,,J07AP,Typhoid vaccines
C0041479,IN,tyramine,,
C0041484,,,,
C0041485,IN,tyrosine,,
C0041499,IN,tyrothricin,D06AX08;R02AB02;S01AA05,tyrothricin
C0041536,IN,ubidecarenone,C01EB09,ubidecarenone
C0041660,PIN,undecylenic acid,D01AE04,undecylenic acid
C0041917,IN,uracil,,
C0041942,IN,urea,B05BC02;D02AE01,carbamide
C0041964,IN,urethane,,
C0041980,IN,uric acid,,
C0041984,IN,uridine,,
C0042071,IN,urokinase,B01AD04,urokinase
C0042105,PIN,ursodiol,A05AA02,ursodeoxycholic acid
C0042147,,,,
C0042285,IN,valine,,
C0042287,,,,
C0042291,PIN,valproic acid,N03AG01,valproic acid
C0042306,IN,vanadium,,
C0042313,IN,vancomycin,A07AA09;J01XA01;S01AA28,vancomycin
C0042315,,,,
C0042395,IN,vasoactive intestinal peptide,,
C0042523,IN,verapamil,C08DA01,verapamil
C0042646,IN,vidarabine,J05AB03;S01AD06,vidarabine
C0042665,IN,viloxazine,N06AX09,viloxazine
C0042670,IN,vinblastine,L01CA01,vinblastine
C0042674,IN,vincamine,C04AX07,vincamine
C0042679,IN,vincristine,L01CA02,vincristine
C0042682,IN,vindesine,L01CA03,vindesine
C0042697,,,,
C0042754,IN,virginiamycin,D06AX10,virginiamycin
C0042839,IN,vitamin A,A11CA01;D10AD02;R01AX02;S01XA02,retinol;retinol (vit A)
C0042845,IN,vitamin B12,B03BA01,cyanocobalamin
C0042866,IN,vitamin D,,
C0042874,IN,vitamin E,A11HA03,tocopherol;tocopherol (vit E)
C0042878,IN,vitamin K,,
C0043031,IN,warfarin,B01AA03,warfarin
C0043047,IN,water,,
C0043112,BN,Wellferon,,
C0043314,IN,xanthine,,
C0043328,IN,lutein,,
C0043339,IN,xenon,N01AX15;V04CX12,xenon
C0043355,IN,xipamide,C03BA10,xipamide
C0043366,IN,xylazine,,
C0043369,IN,xylitol,,
C0043375,IN,xylose,,
C0043392,,,,
C0043465,IN,zeranol,,
C0043474,IN,zidovudine,J05AF01,zidovudine
C0043479,,,N06AB02,zimeldine
C0043491,IN,zinc oxide,,
C0043572,IN,glucomannan,,
C0043603,IN,pamidronate,,
C0043606,,,M03BX09,eperisone
C0043668,IN,doxercalciferol,H05BX03,doxercalciferol
C0043822,IN,drospirenone,G03AC10,drospirenone
C0043832,IN,deferiprone,V03AC02,deferiprone
C0043872,,,,
C0043904,IN,"1,3-butylene glycol",,
C0043982,,,,
C0043992,,,,
C0044018,IN,dioxane,,
C0044170,,,,
C0044401,,,L01BC04,carmofur
C0044410,IN,alfacalcidol,A11CC03,alfacalcidol
C0044438,IN,1-methyl-2-pyrrolidinone,,
C0044470,,,,
C0044472,,,,
C0044680,,,,
C0044923,IN,gemeprost,G02AD03,gemeprost
C0044971,PIN,hydroxyprogesterone caproate (USP),,
C0045027,,,,
C0045093,IN,gemcitabine,L01BC05,gemcitabine
C0045110,,,,
C0045214,IN,2'-fucosyllactose,,
C0045287,IN,"2,2-bis(4-glycidyloxyphenyl)propane",,
C0045436,,,,
C0045511,,,,
C0045888,,,,
C0045967,,,,
C0045968,,,,
C0046054,,,,
C0046056,IN,fluorodeoxyglucose F18,V09IX04,fludeoxyglucose (18F)
C0046078,,,,
C0046100,IN,octinoxate,D02BA02,octinoxate
C0046196,,,,
C0046237,IN,hydroxypropylbetadex (0.58-0.68 MS),,
C0046252,,,,
C0046319,,,,
C0046343,IN,2-methyl-4-isothiazolin-3-one,,
C0046519,IN,ensulizole,,
C0046699,,,,
C0046882,IN,tiratricol,D11AX08;H03AA04,tiratricol
C0046948,IN,amifampridine,N07XX05,amifampridine
C0047006,,,,
C0047317,IN,metacresol,,
C0047506,IN,3-iodobenzylguanidine,,
C0047521,,,,
C0047589,,,,
C0047611,,,,
C0047666,,,,
C0047683,IN,etonogestrel,G03AC08,etonogestrel
C0047696,IN,3-phenyl propionic acid,,
C0047729,,,,
C0047845,,,,
C0048007,,,N06BX22,phenibut
C0048038,IN,apraclonidine,S01EA03,apraclonidine
C0048044,IN,vigabatrin,N03AG04,vigabatrin
C0048045,IN,4-aminomethylbenzoic acid,B02AA03,aminomethylbenzoic acid
C0048047,IN,4-aminophenol,,
C0048176,,,,
C0048197,IN,parachlorophenol,,
C0048207,IN,4-coumaric acid,,
C0048212,IN,para-cresol,,
C0048320,,,,
C0048323,IN,4-hydroxybenzoic acid,,
C0048365,,,R05CB08,domiodol
C0048386,,,,
C0048392,,,,
C0048451,,,,
C0048470,IN,argatroban,B01AE03,argatroban
C0048498,,,,
C0048504,IN,fomepizole,V03AB34,fomepizole
C0048571,,,,
C0048572,,,,
C0048581,,,,
C0048678,IN,4-phenylenediamine,,
C0048721,,,,
C0048852,,,,
C0048897,IN,sapropterin,A16AX07,sapropterin
C0048898,,,,
C0048916,,,,
C0049065,IN,decitabine,L01BC08,decitabine
C0049104,IN,5-chloro-2-methyl-4-isothiazolin-3-one,,
C0049244,,,,
C0049289,IN,5-methoxypsoralen,D05BA03,bergapten
C0049482,,,,
C0049506,IN,mirtazapine,N06AX11,mirtazapine
C0049620,,,,
C0049775,,,,
C0049776,,,,
C0050175,IN,adefovir,,
C0050308,,,,
C0050378,,,,
C0050393,IN,acarbose,A10BF01,acarbose
C0050403,IN,aceclofenac,M01AB16;M02AA25,aceclofenac
C0050409,IN,acemetacin,M01AB11,acemetacin
C0050423,IN,acetamide,,
C0050445,,,,
C0050451,IN,acetohydroxamic acid,G04BX03,acetohydroxamic acid
C0050455,,,,
C0050459,IN,acetophenone,,
C0050461,IN,racecadotril,A07XA04,racecadotril
C0050465,,,,
C0050558,IN,acipimox,C10AD06,acipimox
C0050559,IN,acitretin,D05BB02,acitretin
C0050940,IN,lansoprazole,A02BC03,lansoprazole
C0051027,,,C01EB13,acadesine
C0051034,,,,
C0051066,,,,
C0051080,IN,alanylglutamine,B05XB02,alanyl glutamine
C0051150,IN,alfuzosin,G04CA01,alfuzosin
C0051156,IN,alginic acid,A02BX13,alginic acid
C0051162,IN,alizapride,A03FA05,alizapride
C0051200,,,,
C0051243,,,,
C0051254,IN,aloxiprin,B01AC15;N02BA02,aloxiprin
C0051336,,,,
C0051395,IN,alpha-ketoglutaric acid,,
C0051397,,,,
C0051398,,,,
C0051405,,,,
C0051441,,,,
C0051482,IN,alfaxalone,N01AX05,alfaxalone
C0051510,IN,aluminum acetate,,
C0051515,IN,aluminum magnesium silicate,A02AD05,almasilate
C0051519,IN,aluminum phosphate,A02AB03,aluminium phosphate
C0051570,IN,amezinium,,
C0051601,IN,aminaphthone,,
C0051607,IN,amineptin,N06AA19,amineptine
C0051692,IN,amitraz,,
C0051696,IN,amlodipine,C08CA01,amlodipine
C0051706,,,,
C0051721,PIN,ammonium molybdate,,
C0051736,IN,amorolfine,D01AE16,amorolfine
C0051771,IN,amyl acetate,,
C0051809,IN,anagrelide,L01XX35,anagrelide
C0051821,,,,
C0051839,IN,anethole,,
C0051857,,,,
C0051871,,,,
C0051920,,,,
C0051959,,,,
C0052080,,,,
C0052231,,,,
C0052300,IN,peanut oil,,
C0052327,PIN,arginine aspartate,,
C0052416,IN,arsenic trioxide,L01XX27,arsenic trioxide
C0052422,,,,
C0052427,,,P01BE04,artemotil
C0052429,IN,artemether,P01BE02,artemether
C0052430,IN,artemisinin,P01BE01,artemisinin
C0052432,IN,artesunate,P01BE03,artesunate
C0052506,IN,asiaticoside,,
C0052565,IN,astaxanthin,,
C0052585,IN,sparfloxacin,J01MA09,sparfloxacin
C0052591,,,,
C0052593,IN,atipamezole,,
C0052657,IN,attapulgite,A07BC04,attapulgite
C0052759,IN,azatadine,R06AX09,azatadine
C0052761,PIN,azelaic acid,D10AX03,azelaic acid
C0052762,IN,azelastine,R01AC03;R06AX19;S01GX07,azelastine
C0052772,IN,azidocillin,J01CE04,azidocillin
C0052796,IN,azithromycin,J01FA10;S01AA26,azithromycin
C0052865,IN,bacampicillin,J01CA06,bacampicillin
C0052882,PIN,bacitracin A,,
C0052919,,,,
C0052927,IN,baicalein,,
C0052934,IN,bakuchiol,,
C0052940,IN,balsalazide,A07EC04,balsalazide
