cui,rxnorm_name,atc_code,ladder
C0014942,estrone,G03CC04,"G GENITO URINARY SYSTEM AND SEX HORMONES
G03 SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03C ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03CC Estrogens, combinations with other drugs
G03CC04 estrone"
C0014963,ethacrynic acid,C03CC01,"C CARDIOVASCULAR SYSTEM DRUGS
C03 DIURETICS
C03C HIGH-CEILING DIURETICS
C03CC Aryloxyacetic acid derivatives, high-ceiling diuretics
C03CC01 etacrynic acid"
C0014964,ethambutol,J04AK02,"J ANTIINFECTIVES FOR SYSTEMIC USE
J04 ANTIMYCOBACTERIALS
J04A DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AK Other drugs for treatment of tuberculosis in ATC
J04AK02 ethambutol"
C0014968,ethamsylate,B02BX01,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B02 ANTIHEMORRHAGICS
B02B VITAMIN K AND OTHER HEMOSTATICS
B02BX Other systemic hemostatics in ATC
B02BX01 etamsylate"
C0014987,ethchlorvynol,N05CM08,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05C HYPNOTICS AND SEDATIVES
N05CM Other hypnotics and sedatives in ATC
N05CM08 ethchlorvynol"
C0015011,ethinyl estradiol,G03CA01,"G GENITO URINARY SYSTEM AND SEX HORMONES
G03 SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03C ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03CA Natural and semisynthetic estrogens, plain
G03CA01 ethinylestradiol"
C0015011,ethinyl estradiol,L02AA03,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02 ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02A HORMONES AND RELATED AGENTS
L02AA Estrogens, endocrine therapy drugs
L02AA03 ethinylestradiol"
C0015020,amifostine,V03AF05,"V VARIOUS DRUG CLASSES IN ATC
V03 ALL OTHER THERAPEUTIC PRODUCTS
V03A ALL OTHER THERAPEUTIC PRODUCTS
V03AF Detoxifying agents for antineoplastic treatment
V03AF05 amifostine"
C0015021,ethionamide,J04AD03,"J ANTIINFECTIVES FOR SYSTEMIC USE
J04 ANTIMYCOBACTERIALS
J04A DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AD Thiocarbamide derivatives for treatment of tuberculosis
J04AD03 ethionamide"
C0015042,profenamine,N04AA05,"N NERVOUS SYSTEM DRUGS
N04 ANTI-PARKINSON DRUGS
N04A ANTICHOLINERGIC AGENTS
N04AA Tertiary amines, anticholinergic
N04AA05 profenamine"
C0015043,ethosuximide,N03AD01,"N NERVOUS SYSTEM DRUGS
N03 ANTIEPILEPTICS
N03A ANTIEPILEPTICS
N03AD Succinimide derivatives, antiepileptics
N03AD01 ethosuximide"
C0015046,ethotoin,N03AB01,"N NERVOUS SYSTEM DRUGS
N03 ANTIEPILEPTICS
N03A ANTIEPILEPTICS
N03AB Hydantoin derivatives, antiepileptics
N03AB01 ethotoin"
C0015058,ethyl chloride,N01BX01,"N NERVOUS SYSTEM DRUGS
N01 ANESTHETICS
N01B LOCAL ANESTHETICS
N01BX Other local anesthetics in ATC
N01BX01 ethyl chloride"
C0015099,ethylestrenol,A14AB02,"A ALIMENTARY TRACT AND METABOLISM DRUGS
A14 ANABOLIC AGENTS FOR SYSTEMIC USE
A14A ANABOLIC STEROIDS
A14AB Estren derivatives, systemic
A14AB02 ethylestrenol"
C0015109,ethylmorphine,R05DA01,"R RESPIRATORY SYSTEM DRUGS
R05 COUGH AND COLD PREPARATIONS
R05D COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS
R05DA Opium alkaloids and derivatives, cough suppressants
R05DA01 ethylmorphine"
C0015109,ethylmorphine,S01XA06,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01X OTHER OPHTHALMOLOGICALS IN ATC
S01XA Other ophthalmologicals in ATC
S01XA06 ethylmorphine"
C0015116,etilefrine,C01CA01,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01C CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01CA Adrenergic and dopaminergic cardiac stimulants
C01CA01 etilefrine"
C0015120,etidocaine,N01BB07,"N NERVOUS SYSTEM DRUGS
N01 ANESTHETICS
N01B LOCAL ANESTHETICS
N01BB Amide local anesthetics
N01BB07 etidocaine"
C0015121,etidronic acid,M05BA01,"M MUSCULO-SKELETAL SYSTEM DRUGS
M05 DRUGS FOR TREATMENT OF BONE DISEASES
M05B DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BA Bisphosphonate drugs affecting bone structure and mineralization
M05BA01 etidronic acid"
C0015131,etomidate,N01AX07,"N NERVOUS SYSTEM DRUGS
N01 ANESTHETICS
N01A ANESTHETICS, GENERAL
N01AX Other general anesthetics in ATC
N01AX07 etomidate"
C0015133,etoposide,L01CB01,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01C PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS
L01CB Podophyllotoxin derivatives, antineoplastic drugs
L01CB01 etoposide"
C0015137,etretinate,D05BB01,"D DERMATOLOGICALS
D05 ANTIPSORIATICS
D05B ANTIPSORIATICS FOR SYSTEMIC USE
D05BB Retinoids for treatment of psoriasis
D05BB01 etretinate"
C0015505,factor VIIa,B02BD08,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B02 ANTIHEMORRHAGICS
B02B VITAMIN K AND OTHER HEMOSTATICS
B02BD Blood coagulation factors
B02BD08 coagulation factor VIIa"
C0015528,factor XIII,B02BD07,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B02 ANTIHEMORRHAGICS
B02B VITAMIN K AND OTHER HEMOSTATICS
B02BD Blood coagulation factors
B02BD07 coagulation factor XIII"
C0015620,famotidine,A02BA03,"A ALIMENTARY TRACT AND METABOLISM DRUGS
A02 DRUGS FOR ACID RELATED DISORDERS
A02B DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BA H2-receptor antagonists
A02BA03 famotidine"
C0015707,,M03AC08,"M MUSCULO-SKELETAL SYSTEM DRUGS
M03 MUSCLE RELAXANTS
M03A MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS
M03AC Other quaternary ammonium compounds in ATC, muscle relaxants, peripherally acting
M03AC08 fazadinium bromide"
C0015772,felodipine,C08CA02,"C CARDIOVASCULAR SYSTEM DRUGS
C08 CALCIUM CHANNEL BLOCKERS
C08C SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA Dihydropyridine derivative selective calcium channel blockers with mainly vascular effects
C08CA02 felodipine"
C0015821,fenbendazole,P02CA06,"P ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P02 ANTHELMINTICS
P02C ANTINEMATODAL AGENTS
P02CA Benzimidazole derivatives, antinematodal
P02CA06 fenbendazole"
C0015827,fenfluramine,A08AA02,"A ALIMENTARY TRACT AND METABOLISM DRUGS
A08 ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
A08A ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
A08AA Centrally acting antiobesity products
A08AA02 fenfluramine"
C0015827,fenfluramine,N03AX26,"N NERVOUS SYSTEM DRUGS
N03 ANTIEPILEPTICS
N03A ANTIEPILEPTICS
N03AX Other antiepileptics in ATC
N03AX26 fenfluramine"
C0015837,fenoprofen,M01AE04,"M MUSCULO-SKELETAL SYSTEM DRUGS
M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS
M01AE Propionic acid derivatives, antiinflammatory and antirheumatic products
M01AE04 fenoprofen"
C0015840,fenoterol,G02CA03,"G GENITO URINARY SYSTEM AND SEX HORMONES
G02 OTHER GYNECOLOGICALS in ATC
G02C OTHER GYNECOLOGICALS in ATC
G02CA Sympathomimetics, labour repressants
G02CA03 fenoterol"
C0015840,fenoterol,R03AC04,"R RESPIRATORY SYSTEM DRUGS
R03 DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03A ADRENERGICS, INHALANTS
R03AC Selective beta-2-adrenoreceptor agonist inhalants
R03AC04 fenoterol"
C0015840,fenoterol,R03CC04,"R RESPIRATORY SYSTEM DRUGS
R03 DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03C ADRENERGICS FOR SYSTEMIC USE
R03CC Selective beta-2-adrenoreceptor agonists, systemic
R03CC04 fenoterol"
C0015843,fenspiride,R03BX01,"R RESPIRATORY SYSTEM DRUGS
R03 DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03B OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC
R03BX Other drugs for obstructive airway diseases, inhalants in ATC
R03BX01 fenspiride"
C0015843,fenspiride,R03DX03,"R RESPIRATORY SYSTEM DRUGS
R03 DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03D OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC
R03DX Other systemic drugs for obstructive airway diseases in ATC
R03DX03 fenspiride"
C0015846,fentanyl,N01AH01,"N NERVOUS SYSTEM DRUGS
N01 ANESTHETICS
N01A ANESTHETICS, GENERAL
N01AH Opioid anesthetics
N01AH01 fentanyl"
C0015846,fentanyl,N02AB03,"N NERVOUS SYSTEM DRUGS
N02 ANALGESICS
N02A OPIOID ANALGESICS
N02AB Phenylpiperidine derivatives, opioid analgesics
N02AB03 fentanyl"
C0015888,ferrous ascorbate,B03AA10,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B03 ANTIANEMIC PREPARATIONS
B03A IRON ANTIANEMIC PREPARATIONS
B03AA Iron bivalent, oral antianemic preparations
B03AA10 ferrous ascorbate"
C0015980,interferon-beta,L03AB02,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L03 IMMUNOSTIMULANTS
L03A IMMUNOSTIMULANTS
L03AB Interferons
L03AB02 interferon beta natural"
C0016016,plasmin,B01AD05,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B01 ANTITHROMBOTIC AGENTS
B01A ANTITHROMBOTIC AGENTS
B01AD Enzymes, antithrombotic
B01AD05 fibrinolysin"
C0016225,flavoxate,G04BD02,"G GENITO URINARY SYSTEM AND SEX HORMONES
G04 UROLOGICALS
G04B UROLOGICALS
G04BD Drugs for urinary frequency and incontinence
G04BD02 flavoxate"
C0016229,flecainide,C01BC04,"C CARDIOVASCULAR SYSTEM DRUGS
C01 CARDIAC THERAPY DRUGS
C01B ANTIARRHYTHMICS, CLASS I AND III
C01BC Antiarrhythmics, class Ic
C01BC04 flecainide"
C0016245,floctafenine,N02BG04,"N NERVOUS SYSTEM DRUGS
N02 ANALGESICS
N02B OTHER ANALGESICS AND ANTIPYRETICS in ATC
N02BG Other analgesics and antipyretics in ATC
N02BG04 floctafenine"
C0016267,floxacillin,J01CF05,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01C BETA-LACTAM ANTIBACTERIALS, PENICILLINS
J01CF Beta-lactamase resistant penicillins
J01CF05 flucloxacillin"
C0016277,fluconazole,D01AC15,"D DERMATOLOGICALS
D01 ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A ANTIFUNGALS FOR TOPICAL USE
D01AC Imidazole and triazole derivatives, topical antifungals
D01AC15 fluconazole"
C0016277,fluconazole,J02AC01,"J ANTIINFECTIVES FOR SYSTEMIC USE
J02 ANTIMYCOTICS FOR SYSTEMIC USE
J02A ANTIMYCOTICS FOR SYSTEMIC USE
J02AC Triazole and tetrazole derivatives
J02AC01 fluconazole"
C0016278,flucytosine,D01AE21,"D DERMATOLOGICALS
D01 ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A ANTIFUNGALS FOR TOPICAL USE
D01AE Other antifungals for topical use in ATC
D01AE21 flucytosine"
C0016278,flucytosine,J02AX01,"J ANTIINFECTIVES FOR SYSTEMIC USE
J02 ANTIMYCOTICS FOR SYSTEMIC USE
J02A ANTIMYCOTICS FOR SYSTEMIC USE
J02AX Other antimycotics for systemic use in ATC
J02AX01 flucytosine"
C0016280,fludrocortisone,H02AA02,"H SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H02 CORTICOSTEROIDS FOR SYSTEMIC USE
H02A CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN
H02AA Mineralocorticoids for systemic use, plain
H02AA02 fludrocortisone"
C0016282,flufenamic acid,M01AG03,"M MUSCULO-SKELETAL SYSTEM DRUGS
M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS
M01AG Fenamates, antiinflammatory and antirheumatic drugs
M01AG03 flufenamic acid"
C0016293,flumazenil,V03AB25,"V VARIOUS DRUG CLASSES IN ATC
V03 ALL OTHER THERAPEUTIC PRODUCTS
V03A ALL OTHER THERAPEUTIC PRODUCTS
V03AB Antidotes
V03AB25 flumazenil"
C0016294,flumethasone,D07AB03,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN
D07AB Corticosteroids, moderately potent (group II)
D07AB03 flumetasone"
C0016294,flumethasone,D07XB01,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07X CORTICOSTEROIDS, OTHER COMBINATIONS
D07XB Corticosteroids, moderately potent, other combinations
D07XB01 flumetasone"
C0016295,flunarizine,N07CA03,"N NERVOUS SYSTEM DRUGS
N07 OTHER NERVOUS SYSTEM DRUGS in ATC
N07C ANTIVERTIGO PREPARATIONS
N07CA Antivertigo preparations
N07CA03 flunarizine"
C0016296,flunitrazepam,N05CD03,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05C HYPNOTICS AND SEDATIVES
N05CD Benzodiazepine derivative hypnotics and sedatives
N05CD03 flunitrazepam"
C0016298,fluocinolone acetonide,C05AA10,"C CARDIOVASCULAR SYSTEM DRUGS
C05 VASOPROTECTIVES
C05A AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA Corticosteroids, topical for treatment of hemorrhoids and anal fissures
C05AA10 fluocinolone acetonide"
C0016298,fluocinolone acetonide,D07AC04,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN
D07AC Corticosteroids, potent (group III)
D07AC04 fluocinolone acetonide"
C0016298,fluocinolone acetonide,S01BA15,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01B ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC
S01BA Corticosteroid ophthalmologic antiinflammatory agents, plain
S01BA15 fluocinolone acetonide"
C0016298,fluocinolone acetonide,S02BA08,"S SENSORY ORGAN DRUGS
S02 OTOLOGICALS
S02B Corticosteroid otologicals
S02BA Corticosteroids
S02BA08 fluocinolone acetonide"
C0016299,fluocinonide,C05AA11,"C CARDIOVASCULAR SYSTEM DRUGS
C05 VASOPROTECTIVES
C05A AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA Corticosteroids, topical for treatment of hemorrhoids and anal fissures
C05AA11 fluocinonide"
C0016299,fluocinonide,D07AC08,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN
D07AC Corticosteroids, potent (group III)
D07AC08 fluocinonide"
C0016301,fluocortolone,C05AA08,"C CARDIOVASCULAR SYSTEM DRUGS
C05 VASOPROTECTIVES
C05A AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA Corticosteroids, topical for treatment of hemorrhoids and anal fissures
C05AA08 fluocortolone"
C0016301,fluocortolone,D07AC05,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN
D07AC Corticosteroids, potent (group III)
D07AC05 fluocortolone"
C0016301,fluocortolone,D07XC05,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07X CORTICOSTEROIDS, OTHER COMBINATIONS
D07XC Corticosteroids, potent, other combinations
D07XC05 fluocortolone"
C0016301,fluocortolone,H02AB03,"H SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H02 CORTICOSTEROIDS FOR SYSTEMIC USE
H02A CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN
H02AB Glucocorticoids, Systemic
H02AB03 fluocortolone"
C0016343,floxuridine,L01BC09,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01B ANTIMETABOLITES
L01BC Pyrimidine analogues, antineoplastic antimetabolites
L01BC09 floxuridine"
C0016351,fluorometholone,C05AA06,"C CARDIOVASCULAR SYSTEM DRUGS
C05 VASOPROTECTIVES
C05A AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA Corticosteroids, topical for treatment of hemorrhoids and anal fissures
C05AA06 fluorometholone"
C0016351,fluorometholone,D07AB06,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN
D07AB Corticosteroids, moderately potent (group II)
D07AB06 fluorometholone"
C0016351,fluorometholone,D07XB04,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07X CORTICOSTEROIDS, OTHER COMBINATIONS
D07XB Corticosteroids, moderately potent, other combinations
D07XB04 fluorometholone"
C0016351,fluorometholone,D10AA01,"D DERMATOLOGICALS
D10 ANTI-ACNE PREPARATIONS
D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10AA Corticosteroids, combinations for treatment of acne
D10AA01 fluorometholone"
C0016351,fluorometholone,S01BA07,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01B ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC
S01BA Corticosteroid ophthalmologic antiinflammatory agents, plain
S01BA07 fluorometholone"
C0016351,fluorometholone,S01CB05,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01C ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S01CB Corticosteroids/antiinfectives/mydriatics in combination
S01CB05 fluorometholone"
C0016360,fluorouracil,L01BC02,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01B ANTIMETABOLITES
L01BC Pyrimidine analogues, antineoplastic antimetabolites
L01BC02 fluorouracil"
C0016365,fluoxetine,N06AB03,"N NERVOUS SYSTEM DRUGS
N06 PSYCHOANALEPTICS
N06A ANTIDEPRESSANTS
N06AB Selective serotonin reuptake inhibitors
N06AB03 fluoxetine"
C0016366,fluoxymesterone,G03BA01,"G GENITO URINARY SYSTEM AND SEX HORMONES
G03 SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03B ANDROGENS
G03BA 3-oxoandrosten (4) derivatives
G03BA01 fluoxymesterone"
C0016367,flupenthixol,N05AF01,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05A ANTIPSYCHOTICS
N05AF Thioxanthene derivatives, antipsychotic
N05AF01 flupentixol"
C0016368,fluphenazine,N05AB02,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05A ANTIPSYCHOTICS
N05AB Phenothiazines with piperazine structure, antipsychotics
N05AB02 fluphenazine"
C0016374,flurandrenolide,D07AC07,"D DERMATOLOGICALS
D07 CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN
D07AC Corticosteroids, potent (group III)
D07AC07 fludroxycortide"
C0016375,flurazepam,N05CD01,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05C HYPNOTICS AND SEDATIVES
N05CD Benzodiazepine derivative hypnotics and sedatives
N05CD01 flurazepam"
C0016377,flurbiprofen,M01AE09,"M MUSCULO-SKELETAL SYSTEM DRUGS
M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS
M01AE Propionic acid derivatives, antiinflammatory and antirheumatic products
M01AE09 flurbiprofen"
C0016377,flurbiprofen,M02AA19,"M MUSCULO-SKELETAL SYSTEM DRUGS
M02 TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02A TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02AA Antiinflammatory preparations, non-steroids for topical use
M02AA19 flurbiprofen"
C0016377,flurbiprofen,R02AX01,"R RESPIRATORY SYSTEM DRUGS
R02 THROAT PREPARATIONS
R02A THROAT PREPARATIONS
R02AX Other throat preparations in ATC
R02AX01 flurbiprofen"
C0016377,flurbiprofen,S01BC04,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01B ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC
S01BC Antiinflammatory agents, non-steroidal, ophthalmologic
S01BC04 flurbiprofen"
C0016383,fluspirilene,N05AG01,"N NERVOUS SYSTEM DRUGS
N05 PSYCHOLEPTICS
N05A ANTIPSYCHOTICS
N05AG Diphenylbutylpiperidine derivatives, antipsychotics
N05AG01 fluspirilene"
C0016384,flutamide,L02BB01,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02 ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02B HORMONE ANTAGONISTS AND RELATED AGENTS
L02BB Anti-androgen hormone antagonists and related agents
L02BB01 flutamide"
C0016410,folic acid,B03BB01,"B BLOOD AND BLOOD FORMING ORGAN DRUGS
B03 ANTIANEMIC PREPARATIONS
B03B VITAMIN B12 AND FOLIC ACID
B03BB Folic acid and derivatives as antianemics
B03BB01 folic acid"
C0016410,folic acid,V04CX02,"V VARIOUS DRUG CLASSES IN ATC
V04 DIAGNOSTIC AGENTS
V04C OTHER DIAGNOSTIC AGENTS in ATC
V04CX Other diagnostic agents in ATC
V04CX02 folic acid"
C0016610,fosfomycin,J01XX01,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01X OTHER ANTIBACTERIALS in ATC
J01XX Other antibacterials in ATC
J01XX01 fosfomycin"
C0016610,fosfomycin,S02AA17,"S SENSORY ORGAN DRUGS
S02 OTOLOGICALS
S02A ANTIINFECTIVE DRUGS, OTOLOGIC
S02AA Antiinfectives
S02AA17 fosfomycin"
C0016673,framycetin,D09AA01,"D DERMATOLOGICALS
D09 MEDICATED DRESSINGS
D09A MEDICATED DRESSINGS
D09AA Medicated dressings with antiinfectives
D09AA01 framycetin"
C0016673,framycetin,R01AX08,"R RESPIRATORY SYSTEM DRUGS
R01 NASAL PREPARATIONS
R01A DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AX Other nasal preparations in ATC
R01AX08 framycetin"
C0016673,framycetin,S01AA07,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01A ANTIINFECTIVE OPHTHALMOLOGICS
S01AA Antibiotics, ophthalmologic
S01AA07 framycetin"
C0016745,fructose,V06DC02,"V VARIOUS DRUG CLASSES IN ATC
V06 GENERAL NUTRIENTS
V06D OTHER NUTRIENTS in ATC
V06DC Carbohydrate nutrients
V06DC02 fructose"
C0016778,tegafur,L01BC03,"L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01 ANTINEOPLASTIC AGENTS
L01B ANTIMETABOLITES
L01BC Pyrimidine analogues, antineoplastic antimetabolites
L01BC03 tegafur"
C0016855,furazolidone,G01AX06,"G GENITO URINARY SYSTEM AND SEX HORMONES
G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS
G01AX Other gynecological antiinfectives and antiseptics in ATC
G01AX06 furazolidone"
C0016860,furosemide,C03CA01,"C CARDIOVASCULAR SYSTEM DRUGS
C03 DIURETICS
C03C HIGH-CEILING DIURETICS
C03CA sulfonamides, high-ceiling diuretics, plain
C03CA01 furosemide"
C0016875,fusidic acid,D06AX01,"D DERMATOLOGICALS
D06 ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06A ANTIBIOTICS FOR TOPICAL USE
D06AX Other antibiotics for topical use in ATC
D06AX01 fusidic acid"
C0016875,fusidic acid,D09AA02,"D DERMATOLOGICALS
D09 MEDICATED DRESSINGS
D09A MEDICATED DRESSINGS
D09AA Medicated dressings with antiinfectives
D09AA02 fusidic acid"
C0016875,fusidic acid,J01XC01,"J ANTIINFECTIVES FOR SYSTEMIC USE
J01 ANTIBACTERIALS FOR SYSTEMIC USE
J01X OTHER ANTIBACTERIALS in ATC
J01XC Steroid antibacterials
J01XC01 fusidic acid"
C0016875,fusidic acid,S01AA13,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01A ANTIINFECTIVE OPHTHALMOLOGICS
S01AA Antibiotics, ophthalmologic
S01AA13 fusidic acid"
C0016945,galactose,V04CE01,"V VARIOUS DRUG CLASSES IN ATC
V04 DIAGNOSTIC AGENTS
V04C OTHER DIAGNOSTIC AGENTS in ATC
V04CE liver functional capacity test diagnostic agents
V04CE01 galactose"
C0016967,galantamine,N06DA04,"N NERVOUS SYSTEM DRUGS
N06 PSYCHOANALEPTICS
N06D ANTI-DEMENTIA DRUGS
N06DA Anticholinesterase anti-dementia drugs
N06DA04 galantamine"
C0016971,gallamine,M03AC02,"M MUSCULO-SKELETAL SYSTEM DRUGS
M03 MUSCLE RELAXANTS
M03A MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS
M03AC Other quaternary ammonium compounds in ATC, muscle relaxants, peripherally acting
M03AC02 gallamine"
C0016986,gallopamil,C08DA02,"C CARDIOVASCULAR SYSTEM DRUGS
C08 CALCIUM CHANNEL BLOCKERS
C08D SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
C08DA Phenylalkylamine derivatives, selective calcium channel blockers with direct cardiac effects
C08DA02 gallopamil"
C0017066,ganciclovir,J05AB06,"J ANTIINFECTIVES FOR SYSTEMIC USE
J05 ANTIVIRALS FOR SYSTEMIC USE
J05A DIRECT ACTING ANTIVIRALS
J05AB Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AB06 ganciclovir"
C0017066,ganciclovir,S01AD09,"S SENSORY ORGAN DRUGS
S01 OPHTHALMOLOGICALS
S01A ANTIINFECTIVE OPHTHALMOLOGICS
S01AD Antivirals, ophthalmologic
S01AD09 ganciclovir"
