L1,L2,L3,L4,atc_code,CUI
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08C  SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA  Dihydropyridine derivatives,C08CA01,C0051696
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS","C09BX  ACE inhibitors, other combinations",C09BX03,C0051696
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09DB  Angiotensin II receptor blockers (ARBs) and calcium channel blockers,C09DB04,C0051696
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","C09DX  Angiotensin II receptor blockers (ARBs), other combinations",C09DX03,C0051696
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08G  CALCIUM CHANNEL BLOCKERS AND DIURETICS,C08GA  Calcium channel blockers and diuretics,C08GA02,C0051696
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08C  SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA  Dihydropyridine derivatives,C08CA51,C0051696
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09DB  Angiotensin II receptor blockers (ARBs) and calcium channel blockers,C09DB09,C0051696
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BX  Lipid modifying agents in combination with other drugs,C10BX14,C0051696
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS",C09BB  ACE inhibitors and calcium channel blockers,C09BB07,C0051696
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","C09DX  Angiotensin II receptor blockers (ARBs), other combinations",C09DX07,C0051696
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06D  ANTI-DEMENTIA DRUGS,N06DA  Anticholinesterases,N06DA01,C0039245
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AA  Synthetic anticholinergics, esters with tertiary amino group",A03AA01,C0069833
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03C  ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,A03CA  Synthetic anticholinergic agents in combination with psycholeptics,A03CA03,C0069833
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,C03D  ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DB  Other potassium-sparing agents,C03DB02,C0040869
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01D  CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DB  Anthracyclines and related substances,L01DB09,C0068314
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04A  ANTICHOLINERGIC AGENTS,N04AA  Tertiary amines,N04AA04,C0033254
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01F  MYDRIATICS AND CYCLOPLEGICS,S01FB  Sympathomimetics excl. antiglaucoma preparations,S01FB01,C0031469
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"R01AB  Sympathomimetics, combinations excl. corticosteroids",R01AB01,C0031469
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01C  CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA  Adrenergic and dopaminergic agents,C01CA06,C0031469
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"R01AA  Sympathomimetics, plain",R01AA04,C0031469
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01F  MYDRIATICS AND CYCLOPLEGICS,S01FB  Sympathomimetics excl. antiglaucoma preparations,S01FB51,C0031469
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01B  NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA  Sympathomimetics,R01BA53,C0031469
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01G  DECONGESTANTS AND ANTIALLERGICS,S01GA  Sympathomimetics used as decongestants,S01GA05,C0031469
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01G  DECONGESTANTS AND ANTIALLERGICS,S01GA  Sympathomimetics used as decongestants,S01GA55,C0031469
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01B  NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA  Sympathomimetics,R01BA03,C0031469
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03  THYROID THERAPY,H03B  ANTITHYROID PREPARATIONS,H03BB  Sulfur-containing imidazole derivatives,H03BB01,C0006983
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01A  CARDIAC GLYCOSIDES,C01AA  Digitalis glycosides,C01AA05,C0012265
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AL  Benzamides,N05AL01,C0038803
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04A  ANTICHOLINERGIC AGENTS,N04AA  Tertiary amines,N04AA05,C0015042
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08C  SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA  Dihydropyridine derivatives,C08CA06,C0028094
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03B  MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA  Carbamic acid esters,M03BA02,C0007248
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03B  MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA  Carbamic acid esters,M03BA72,C0007248
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03B  MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA  Carbamic acid esters,M03BA52,C0007248
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03F  PROGESTOGENS AND ESTROGENS IN COMBINATION,"G03FA  Progestogens and estrogens, fixed combinations",G03FA04,C0033308
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D  PROGESTOGENS,G03DA  Pregnen (4) derivatives,G03DA04,C0033308
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01B  NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA  Sympathomimetics,R01BA51,C0031495
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01B  NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA  Sympathomimetics,R01BA01,C0031495
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01E  PROTEIN KINASE INHIBITORS,L01EX  Other protein kinase inhibitors,L01EX02,C1516119
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB08,C0257685
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BA  Bisphosphonates,M05BA08,C0257685
D  DERMATOLOGICALS,D01  ANTIFUNGALS FOR DERMATOLOGICAL USE,D01B  ANTIFUNGALS FOR SYSTEMIC USE,D01BA  Antifungals for systemic use,D01BA01,C0018242
D  DERMATOLOGICALS,D01  ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A  ANTIFUNGALS FOR TOPICAL USE,D01AA  Antibiotics,D01AA08,C0018242
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08C  SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA  Dihydropyridine derivatives,C08CA07,C0028116
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CF  Benzodiazepine related drugs,N05CF04,C1436328
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BA  Benzodiazepine derivatives,N05BA12,C0002333
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AB  Substituted alkylamines,R06AB06,C0006246
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AB  Substituted alkylamines,R06AB06,C0057605
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AB  Substituted alkylamines,R06AB56,C0006246
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AB  Substituted alkylamines,R06AB56,C0057605
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AX  Other antiinfectives and antiseptics,G01AX09,C0017440
D  DERMATOLOGICALS,D01  ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A  ANTIFUNGALS FOR TOPICAL USE,D01AE  Other antifungals for topical use,D01AE02,C0017440
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,"N05AH  Diazepines, oxazepines, thiazepines and oxepines",N05AH01,C0024056
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AL  Benzamides,N05AL04,C0073047
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX  Other nasal preparations,R01AX06,C0085259
D  DERMATOLOGICALS,D06  ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A  ANTIBIOTICS FOR TOPICAL USE,D06AX  Other antibiotics for topical use,D06AX09,C0085259
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07A  PARASYMPATHOMIMETICS,N07AB  Choline esters,N07AB01,C0006945
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07A  PARASYMPATHOMIMETICS,N07AB  Choline esters,N07AB01,C0600175
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB  Parasympathomimetics,S01EB02,C0006945
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB  Parasympathomimetics,S01EB02,C0600175
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BD  Combinations of oral blood glucose lowering drugs,A10BD04,C0289313
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BG  Thiazolidinediones,A10BG02,C0289313
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BD  Combinations of oral blood glucose lowering drugs,A10BD03,C0289313
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04B  DOPAMINERGIC AGENTS,N04BC  Dopamine agonists,N04BC05,C0074710
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0000992
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BB  Sulfonylureas,A10BB31,C0000992
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS","J01CR  Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR50,C0002680
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA  Penicillins with extended spectrum,J01CA51,C0002680
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA  Penicillins with extended spectrum,J01CA01,C0002680
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AA  Antibiotics,S01AA19,C0002680
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS","J01CR  Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR50,C0030840
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CE  Beta-lactamase sensitive penicillins,J01CE10,C0030840
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CE  Beta-lactamase sensitive penicillins,J01CE02,C0030840
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CB  Barbiturates, combinations",N05CB01,C0036516
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CA  Barbiturates, plain",N05CA06,C0036516
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AX  Various alimentary tract and metabolism products,A16AX06,C1321596
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AA  Phenothiazines with aliphatic side-chain,N05AA03,C0033399
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,C03D  ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03DA  Aldosterone antagonists,C03DA01,C0037982
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,"N06B  PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA  Centrally acting sympathomimetics,N06BA04,C0025810
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03B  MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA  Carbamic acid esters,M03BA73,C0025659
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03B  MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA  Carbamic acid esters,M03BA03,C0025659
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03B  MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA  Carbamic acid esters,M03BA53,C0025659
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03B  BELLADONNA AND DERIVATIVES, PLAIN","A03BA  Belladonna alkaloids, tertiary amines",A03BA03,C0596004
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03C  ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,A03CB  Belladonna and derivatives in combination with psycholeptics,A03CB31,C0596004
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CF  Benzodiazepine related drugs,N05CF02,C0078839
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AB  Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB09,C0209227
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AD  Antivirals,S01AD07,C0209227
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AX  Other antihistamines for systemic use,R06AX07,C0041098
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01A  ALKYLATING AGENTS,L01AD  Nitrosoureas,L01AD04,C0038432
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","P03  ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","P03A  ECTOPARASITICIDES, INCL. SCABICIDES",P03AB  Chlorine containing products,P03AB02,C0005038
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01B  ANTIMETABOLITES,L01BC  Pyrimidine analogues,L01BC59,C0040987
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AD  Antivirals,S01AD02,C0040987
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AB  Phenothiazines with piperazine structure,N05AB04,C0033229
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AX  Other antihistamines for systemic use,R06AX02,C0010620
R  RESPIRATORY SYSTEM,R07  OTHER RESPIRATORY SYSTEM PRODUCTS,R07A  OTHER RESPIRATORY SYSTEM PRODUCTS,R07AX  Other respiratory system products,R07AX01,C0028128
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03A  LOW-CEILING DIURETICS, THIAZIDES",C03AB  Thiazides and potassium in combination,C03AB01,C0004975
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,C03E  DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA  Low-ceiling diuretics and potassium-sparing agents,C03EA13,C0004975
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0004975
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03A  LOW-CEILING DIURETICS, THIAZIDES","C03AA  Thiazides, plain",C03AA01,C0004975
M  MUSCULO-SKELETAL SYSTEM,M04  ANTIGOUT PREPARATIONS,M04A  ANTIGOUT PREPARATIONS,M04AA  Preparations inhibiting uric acid production,M04AA01,C0002144
M  MUSCULO-SKELETAL SYSTEM,M04  ANTIGOUT PREPARATIONS,M04A  ANTIGOUT PREPARATIONS,M04AA  Preparations inhibiting uric acid production,M04AA51,C0002144
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD02,C0007559
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10A  LIPID MODIFYING AGENTS, PLAIN",C10AA  HMG CoA reductase inhibitors,C10AA06,C0528023
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01E  SULFONAMIDES AND TRIMETHOPRIM,"J01EE  Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE03,C0041041
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01E  SULFONAMIDES AND TRIMETHOPRIM,J01EA  Trimethoprim and derivatives,J01EA01,C0041041
J  ANTIINFECTIVES FOR SYSTEMIC USE,J04  ANTIMYCOBACTERIALS,J04A  DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AM  Combinations of drugs for treatment of tuberculosis,J04AM08,C0041041
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01E  SULFONAMIDES AND TRIMETHOPRIM,"J01EE  Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE01,C0041041
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01E  SULFONAMIDES AND TRIMETHOPRIM,"J01EE  Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE04,C0041041
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01E  SULFONAMIDES AND TRIMETHOPRIM,"J01EE  Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE02,C0041041
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01E  SULFONAMIDES AND TRIMETHOPRIM,"J01EE  Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE05,C0041041
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01E  SULFONAMIDES AND TRIMETHOPRIM,"J01EE  Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE07,C0041041
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01B  ANTIMETABOLITES,L01BC  Pyrimidine analogues,L01BC05,C0045093
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AF  Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF10,C0971023
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD  Corticosteroids,R01AD06,C0005308
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07B  CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS","D07BC  Corticosteroids, potent, combinations with antiseptics",D07BC01,C0005308
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01B  ANTIINFLAMMATORY AGENTS,"S01BA  Corticosteroids, plain",S01BA06,C0005308
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01B  ANTIINFLAMMATORY AGENTS,S01BB  Corticosteroids and mydriatics in combination,S01BB04,C0005308
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01C  ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CB  Corticosteroids/antiinfectives/mydriatics in combination,S01CB04,C0005308
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02  CORTICOSTEROIDS FOR SYSTEMIC USE,"H02A  CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB  Glucocorticoids,H02AB01,C0005308
C  CARDIOVASCULAR SYSTEM,C05  VASOPROTECTIVES,C05A  AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AA  Corticosteroids,C05AA05,C0005308
S  SENSORY ORGANS,S03  OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03C  CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S03CA  Corticosteroids and antiinfectives in combination,S03CA06,C0005308
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07X  CORTICOSTEROIDS, OTHER COMBINATIONS","D07XC  Corticosteroids, potent, other combinations",D07XC01,C0005308
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07A  CORTICOSTEROIDS, PLAIN","D07AC  Corticosteroids, potent (group III)",D07AC01,C0005308
A  ALIMENTARY TRACT AND METABOLISM,"A07  ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07E  INTESTINAL ANTIINFLAMMATORY AGENTS,A07EA  Corticosteroids acting locally,A07EA04,C0005308
S  SENSORY ORGANS,S02  OTOLOGICALS,S02B  CORTICOSTEROIDS,S02BA  Corticosteroids,S02BA07,C0005308
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03B  OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BA  Glucocorticoids,R03BA04,C0005308
S  SENSORY ORGANS,S03  OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03B  CORTICOSTEROIDS,S03BA  Corticosteroids,S03BA03,C0005308
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01C  ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA  Corticosteroids and antiinfectives in combination,S01CA05,C0005308
D  DERMATOLOGICALS,"D07  CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","D07C  CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","D07CC  Corticosteroids, potent, combinations with antibiotics",D07CC01,C0005308
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01C  PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,L01CB  Podophyllotoxin derivatives,L01CB02,C0039512
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01D  CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DB  Anthracyclines and related substances,L01DB03,C0014582
D  DERMATOLOGICALS,D06  ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A  ANTIBIOTICS FOR TOPICAL USE,D06AX  Other antibiotics for topical use,D06AX02,C0008168
